Date,Phone,State.x,Cuisine Type,SF Link,Price Range,State.y,Cuisines
2023-12-02,9178251889,SC,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKDAuEAO/view,,,
2023-12-02,7202088722,CO,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021p7nOEAQ/view,,,
2023-12-02,6025407222,,中日餐,,,,
2023-12-03,3126786076,IL,中餐,,,,
2023-12-03,9162887237,,北风餐,,,,
2023-12-03,3474632607,TN,中餐,,,,
2023-12-03,7022929083,NV,,,,,
2023-12-04,9737573665,,,,,,
2023-12-04,7066685288,,,,,,
2023-12-04,2128670874,,,,,,
2023-12-04,8582310935,TX,中餐（小火窝）,,,,
2023-12-04,4347996771,,,,,,
2023-12-04,6462502696,MD,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKCjSEAW/view,,,
2023-12-04,8638007800,FL,亚洲餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021NZwTEAW/view,,,
2023-12-04,6462901870,,,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002Qu6VBAAZ/view,,,
2023-12-04,6266677066,CA,Cafe+Snacks,"https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002194vMAA/view 
",,,
2023-12-04,9175150078,VA,中日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021p8DNEAY/view,,,
2023-12-04,8313751111,,美式中餐,,$$,CA,Chinese
2023-12-04,3477400711,MI,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKFmfEAG/view,,,
2023-12-04,2157155003,,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001zSPEeEAO/view,,,
2023-12-04,9173758838,TX,中餐,,,,
2023-12-04,4084217155,CA,中日餐,,,,
2023-12-04,7184143029,,,,,,
2023-12-04,3476970917,NY,,,,,
2023-12-05,3039941535,CO,Japanese,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021p7uFEAQ/view,,,
2023-12-05,9176358307,NY,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo00000251LhMAI/view,,,
2023-12-05,3479511078,North carolina,铁板,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKLFuEAO/view,,,
2023-12-05,7815265160,MA,中餐,"https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKLVVEA4/view 
",,,
2023-12-05,5403462110,,,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKKGtEAO/view,,,
2023-12-05,9523784749,,,,$,MN,Japanese
2023-12-05,9523784749,,,,$,MN,Japanese
2023-12-05,9152732248,,中餐buffet,,$$,TX,Chinese
2023-12-05,6468948289,FL,中日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000025dxFMAQ/view,,,
2023-12-05,8322473055,,,,,,
2023-12-05,3104936435,California,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKG2KEAW/view,,,
2023-12-05,2257887856,,,,,,
2023-12-05,2257887856,,,,,,
2023-12-05,7186666972,,,,,,
2023-12-05,2815801000,,,,$$,TX,Japanese;Chinese
2023-12-06,6823768084,,,,,,
2023-12-06,2163856007,,,,,,
2023-12-06,2163856007,ohayo,中日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000000xKp9MAE/view,,,
2023-12-06,6465786539,,buffet,,,,
2023-12-06,4157679276,CA,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000029kFNMAY/view,,,
2023-12-06,6268995000,,,,,,
2023-12-06,6263770426,加州,中餐快餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000029YhJMAU/view,,,
2023-12-06,5098208133,,,,,,
2023-12-06,9174346866,NY,中餐,,$$,NY,Chinese
2023-12-06,9172829409,,,,,,
2023-12-06,6468661987,,,,,,
2023-12-07,9178266682,NY,手抓海鲜,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOQeEAO/view,,,
2023-12-07,6465910078,NY,日餐堂吃,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002Dz4ZMAS/view,,,
2023-12-07,8016387985,UT,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000020hwe9EAA/view,,,
2023-12-07,9174958806,NY,日餐外卖,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002EGVBMA4/view,,,
2023-12-07,7573320870,,,,,,
2023-12-07,7027711780,,,,,,
2023-12-07,6465778600,康州,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021t4n1EAA/view,,,
2023-12-08,7029579249,,,,,,
2023-12-08,9294208842,,,,,,
2023-12-08,9294208842,,,,,,
2023-12-08,7029579249,NM,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021pAWfEAM/view,,,
2023-12-08,6478780202,,日料,,,,
2023-12-08,9176058288,PA,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKJ38EAG/view,,,
2023-12-08,7188085356,密西西比州,日式铁板外卖,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002IIRxMAO/view,,,
2023-12-08,4153702864,,,,,,
2023-12-08,9296340380,NY,日餐+亚洲餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000024JMsDEAW/view,,,
2023-12-08,6178881875,MA,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002IfoNMAS/view,,,
2023-12-09,5023304262,,,,,,
2023-12-09,3322565728,MARYLAND,POKE BOWL,,,,
2023-12-10,2053626147,,,,,,
2023-12-10,9294109664,FL,中日餐,,,,
2023-12-11,9292831820,MD,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKCkqEAG/view,,,
2023-12-11,7194211777,,,,,,
2023-12-11,9178622552,north carolina,中餐,,,,
2023-12-11,7782296580,,美式中餐,,,,
2023-12-12,6137489453,,,,,,
2023-12-13,3472659099,,,,,,
2023-12-13,3362479043,NC,中餐快餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002bbYvMAI/view,,,
2023-12-13,9176691905,NJ,日餐+铁板,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKIwQEAW/view,,,
2023-12-13,2502172078,,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002cPM2MAM/view,,,
2023-12-14,3433638125,,,,,,
2023-12-14,9172855363,NC,西餐,,,,
2023-12-14,6262446174,,川菜,,,,
2023-12-15,9172935570,NJ,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKIxGEAW/view,,,
