,,,,,,,,,,,,,,TOTAL Y,TOTAL N,
EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Need Update,State,Updated Address,Business Phone,Mobile Phone,166,3075,3241
R86037,*HAPPY CHINA*,474 South Washington Ave,NY,7329681888,7185326586,,new,Y,Y,,474 S Washington Ave,(732) 968-1888,,,,
R86033,*CHINA GARDEN*,1332 Hilltop Rd,MI,2699827828,6466512905,(269) 982-7828,new,Y,,,1332 Hilltop Rd,(269) 982-7828,,,,
R86035,*PANDA GARDEN*,2465 Main St,SC,8034385075,9173990183,(803) 438-5075,new,Y,,,2465 Main St,(803)438-5075,,,,
R86029,*^MAY FLOWER^*,3066 Mount Pleasant St. Nw,DC,2022999502,3473358931,(202) 299-9502,new,Y,,,3066 Mt Pleasant St NW,(202) 299-9502,,,,
R86031,^JOY FOOD ONE^,4910 Morse Rd.,OH,6147759069,6148938057,(614) 775-9069,new,Y,,,4910 Morse Rd,(614) 775-9069,,,,
R86032,PACIFIC ASIAN CUISINE,63 Cumberland St.,RI,4015340100,9176716036,(917) 671-6036,new,Y,,,63 Cumberland St,(401) 534-0100,,,,
R86028,*MISTER WOK*,110 Airport Rd,PA,6103836877,9175171063,(610) 383-6877,new,Y,,,110 Airport Rd,(610) 383-6877,,,,
R86027,*^SUSHI KINGDOM^*,148 Rt 73 North,NJ,8569861211,9176574855,(856) 983-1211,new,Y,,,148 Route 73 N,(856) 983-1211,,,,
R86026,*PANDA CHINA*,1735 St Georges Ave,NJ,7323886868,3479098158,(732) 388-6868,new,Y,,,1735 St Georges Ave,(732) 388-6868,,,,
R86025,*FORTUNE RESTAURANT*,2908 N State Rd,FL,9547308988,5136682221,(954) 730-8988,new,N,,,, ,,,,
R86023,*PANDA*,590 W Pike St,PA,7247467076,4125688117,(724) 746-7076,new,Y,,,590 W Pike St,(724) 746-7076,,,,
R86022,*WOK' N GRILLE*,5311 S Miami Blvd,NC,9194748100,9196999760,(919) 474-8100,new,Y,,,5311 S Miami Blvd,(919) 474-8100,,,,
R86021,*CHINA EXPRESS*,1214 Huntsville Hwy,TN,9312975062,9178562773,(931) 297-5062,new,Y,,,1214 Huntsville Hwy,(931)297-5062,,,,
R86018,*CHINA*,108 North Main St.,KS,7852126188,6207570118,(785) 212-6188,new,N,,,, ,,,,
R86017,*^JD WINGS^*,"3507 Macon Rd.,",GA,7062216575,9173615319,(706) 221-6575,new,N,,,, ,,,,
R86016,*NO 1*,3710 Manchester Rd,OH,3302453333,2163947241,(330) 245-3333,new,Y,,,3710 Manchester Rd,(330) 245-3333,,,,
R86015,*PANDA GARDEN*,4400 Brownsville Rd.,GA,6785675056,9179728686,(678) 567-5056,new,Y,,,4400 Brownsville Rd,(678) 567-5056,,,,
R86009,*SPRING GARDEN*,4916 Wisconsin Ave NW.,DC,2023631698,3016588698,(202) 363-9024,new,Y,,,4916 Wisconsin Ave NW,(202) 363-1698,,,,
R86013,*CHINA 8*,1246 Goderich St,ON,5198323131,6479602288,(519) 832-3131,new,N,,,, ,,,,
R86011,*^OEC JAPANESE EXPRESS SOUTHVIEW^*,1105 Southview Ln,AL,2053314775,9042260254,(205) 331-4775,new,Y,,,1105 Southview Ln,(205) 331-4775,,,,
R86019,*CHENG'S GOURMET*,311 West Broadway,OH,7403429988,7404082431,(740) 342-9988,new,Y,,,311 W Broadway St,(740) 342-9988,,,,
R86012,*^GINGER RESTAURANT^*,2381 Patterson Rd,CO,9702457731,9702345318,(970) 245-7731,new,Y,,,2381 Patterson Rd,(970)245-7731,,,,
R86008,*CHINA WOK*,4437 Summit Bridge Rd.,DE,3023765288,6467259308,(302) 376-5288,new,N,,,, ,,,,
R86007,*^EVER SPRING^*,1786 Merritt Blvd.,MD,4102842020,2677090371,(410) 284-2020,new,Y,,,1786 Merritt Blvd,(410) 284-2020,,,,
R86006,*CHINA WOK*,5900 E Va Beach Blvd.,VA,7574611883,3475756806,(757) 461-1883,new,Y,,,5900 E Virginia Beach Blvd,(757)461-1883,,,,
R86005,*^FUJI JAPAN FLYER^*,14314 Layhill Rd.,MD,2406589898,3016137586,(240) 658-9898,new,Y,,,14314 Layhill Rd,(240)658-9898,,,,
R86003,*^JING'S SUSHI HOUSE Burlington Area^*,"Mt Holly Road,",NJ,6095316684,6098455684,(609) 531-6684,new,N,,,, ,,,,
R86002,*CHINA WOK*,1859B N. US 1 Hwy,FL,7724687333,7729792509,(772) 468-7333,new,N,,,, ,,,,
R86001,*^OSAKA HIBACHI & SUSHI^*,2343 Crawfordville Hwy,FL,8503184888,3477591808,(850) 318-4888,new,N,,,, ,,,,
R85981,TENG DRAGON,2923 8th AVE,NY,6469983270,3474222107,,new,N,,,, ,,,,
R85999,*LAN'S WOK*,302 W. Main St.,PA,7173881936,5706512939,(717) 388-1936,new,Y,,,302 W Main St,(717) 388-1936,,,,
R85973,*GREAT WALL*,988 N. Sherman Ct.,PA,5704557395,3476715334,(570) 455-7395,new,Y,,,988 N Sherman Ct,(570)455-7395,,,,
R85998,*MOON STAR*,768 N. Main St.,WI,6088351828,9175159908,(608) 835-1828,new,Y,,,768 N Main St,(608) 835-1828,,,,
R85997,*WEN XUAN HOUSE*,287 Van Brunt Street,NY,7185227246,9172166117,(718) 522-7246,new,Y,,,287 Van Brunt St,(718) 522-7246,,,,
R85995,*PICK UP SIX*,221 West 230 St.,NY,7186011388,9172917885,(718) 601-1388,new,Y,,,221 W 230th St,(718) 601-1388,,,,
R85996,*GREAT WALL*,4553 New Linden Hill Rd.,DE,3022928982,3025938982,(302) 292-8982,new,Y,,,4553 New Linden Hill Rd,(302)292-8982,,,,
R85931,*MAIN GARDEN 2*,17 S. Washington Ave.,NJ,2013856878,9737278298,(973) 798-6250,new,Y,,,17 S Washington Ave,(201) 385-6878,,,,
R85993,*BIN HAI*,757 Pfingsten Road,IL,8472911660,8478735560,(847) 291-1660,new,Y,,,757 Pfingsten Rd,(847) 291-1660,,,,
R85992,*DRAGON HOUSE*,87 N. Main Street,NY,5855937576,6463883623,(585) 593-7576,new,Y,,,87 N Main St,(585) 593-7576,,,,
R85991,*JADE GARDEN*,1735 Reed,NC,9103830880,9103868036,(910) 383-0880,new,N,,,, ,,,,
