Snowball_ID,Date,Event name,Sessions
75368,20230926,page_view,1
75368,20230926,scroll,1
75368,20230926,session_start,1
75017,20230909,first_visit,1
75017,20230909,page_view,1
75017,20230909,scroll,1
75017,20230909,session_start,1
75017,20230615,first_visit,1
75017,20230615,page_view,1
75017,20230615,session_start,1
75017,20230601,first_visit,1
75017,20230601,page_view,1
75017,20230601,scroll,1
75017,20230601,session_start,1
75017,20230601,video_complete,1
75017,20230601,video_progress,1
75017,20230601,video_start,1
74754,20230620,first_visit,2
74754,20230620,page_view,3
74754,20230620,scroll,3
74754,20230620,session_start,2
74754,20230620,video_complete,2
74754,20230620,video_progress,2
74754,20230620,video_start,2
74675,20230913,first_visit,1
74675,20230913,page_view,1
74675,20230913,scroll,1
74675,20230913,session_start,1
74675,20230913,user_engagement,1
74675,20230907,first_visit,1
74675,20230907,page_view,1
74675,20230907,scroll,1
74675,20230907,session_start,1
74675,20230907,user_engagement,1
74256,20230607,first_visit,1
74256,20230607,form_start,1
74256,20230607,page_view,1
74256,20230607,session_start,1
74038,20230607,first_visit,1
74038,20230607,page_view,1
74038,20230607,scroll,1
74038,20230607,session_start,1
73732,20230606,form_start,1
73732,20230606,page_view,1
73732,20230606,scroll,1
73732,20230606,user_engagement,1
73732,20230606,first_visit,1
73732,20230606,page_view,1
73732,20230606,session_start,1
73732,20230606,user_engagement,1
73650,20230607,form_start,1
73650,20230607,page_view,1
73650,20230607,first_visit,1
73650,20230607,page_view,1
73650,20230607,session_start,1
73611,20230606,first_visit,1
73611,20230606,page_view,1
73611,20230606,scroll,1
73611,20230606,session_start,2
73611,20230606,video_complete,1
73611,20230606,video_progress,1
73611,20230606,video_start,1
73607,20230620,first_visit,1
73607,20230620,page_view,1
73607,20230620,scroll,1
73607,20230620,session_start,1
73570,20230608,first_visit,2
73570,20230608,page_view,2
73570,20230608,scroll,2
73570,20230608,session_start,2
73570,20230608,video_complete,2
73570,20230608,video_progress,2
73570,20230608,video_start,2
73551,20230612,AnyFormSubmit,1
73551,20230612,Any_Form-Submit,1
73551,20230612,first_visit,1
73551,20230612,form_start,1
73551,20230612,page_view,1
73551,20230612,session_start,1
73551,20230612,user_engagement,1
73504,20230607,first_visit,1
73504,20230607,page_view,1
73504,20230607,scroll,1
73504,20230607,session_start,1
73268,20230608,first_visit,1
73268,20230608,page_view,1
73268,20230608,session_start,1
73268,20230608,user_engagement,1
73105,20230607,first_visit,1
73105,20230607,page_view,1
73105,20230607,session_start,1
73094,20230608,first_visit,1
73094,20230608,page_view,1
73094,20230608,scroll,1
73094,20230608,session_start,2
73094,20230608,user_engagement,1
73047,20230628,first_visit,1
73047,20230628,page_view,1
73047,20230628,scroll,1
73047,20230628,session_start,1
73047,20230628,video_complete,1
73047,20230628,video_progress,1
73047,20230628,video_start,1
73043,20230605,first_visit,1
73043,20230605,page_view,1
73043,20230605,session_start,1
73043,20230605,user_engagement,1
72800,20230627,page_view,2
72800,20230627,session_start,2
72800,20230619,page_view,2
72800,20230619,session_start,2
72800,20230617,page_view,2
72800,20230617,session_start,2
72800,20230613,page_view,2
72800,20230613,session_start,2
72800,20230610,page_view,2
72800,20230610,session_start,2
72800,20230605,page_view,2
72800,20230605,session_start,2
72776,20230728,first_visit,1
72776,20230728,page_view,1
72776,20230728,scroll,1
72776,20230728,session_start,1
72776,20230728,first_visit,1
72776,20230728,page_view,2
72776,20230728,session_start,2
72776,20230728,user_engagement,1
72727,20230615,page_view,1
72727,20230615,session_start,1
72727,20230615,user_engagement,1
72727,20230612,first_visit,1
72727,20230612,form_start,1
72727,20230612,page_view,1
72727,20230612,scroll,1
72727,20230612,session_start,1
72727,20230612,user_engagement,1
72727,20230612,video_complete,1
72727,20230612,video_progress,1
72727,20230612,video_start,1
72528,20230916,first_visit,1
72528,20230916,page_view,1
72528,20230916,session_start,1
72528,20230916,user_engagement,1
72321,20230610,AnyFormSubmit,1
72321,20230610,Any_Form-Submit,1
72321,20230610,form_start,1
72321,20230610,page_view,2
72321,20230610,session_start,2
72321,20230610,user_engagement,2
72321,20230604,AnyFormSubmit,1
72321,20230604,Any_Form-Submit,1
72321,20230604,form_start,1
72321,20230604,page_view,2
72321,20230604,session_start,2
72321,20230604,user_engagement,2
72321,20230603,AnyFormSubmit,1
72321,20230603,Any_Form-Submit,1
72321,20230603,first_visit,2
72321,20230603,form_start,1
72321,20230603,page_view,2
72321,20230603,referraliwatch,1
72321,20230603,scroll,2
72321,20230603,session_start,2
72321,20230603,user_engagement,2
72174,20230618,first_visit,1
72174,20230618,page_view,1
72174,20230618,scroll,1
72174,20230618,session_start,1
72174,20230618,user_engagement,1
72113,20230606,first_visit,1
72113,20230606,page_view,1
72113,20230606,scroll,1
72113,20230606,session_start,2
72113,20230606,user_engagement,1
72110,20230607,first_visit,1
72110,20230607,page_view,1
72110,20230607,session_start,1
71992,20230602,first_visit,2
71992,20230602,page_view,2
71992,20230602,scroll,2
71992,20230602,session_start,2
71992,20230602,video_complete,2
71992,20230602,video_progress,2
71992,20230602,video_start,2
71879,20230906,first_visit,1
71879,20230906,page_view,1
71879,20230906,scroll,1
71879,20230906,session_start,1
71879,20230906,user_engagement,1
71643,20230609,first_visit,1
71643,20230609,page_view,1
71643,20230609,scroll,1
71643,20230609,session_start,1
71568,20230607,first_visit,1
71568,20230607,page_view,3
71568,20230607,session_start,3
71476,20230609,first_visit,2
71476,20230609,page_view,2
71476,20230609,session_start,2
71420,20230614,first_visit,1
71420,20230614,page_view,1
71420,20230614,scroll,1
71420,20230614,session_start,1
71420,20230606,first_visit,1
71420,20230606,page_view,1
71420,20230606,scroll,1
71420,20230606,session_start,1
71281,20230613,first_visit,1
71281,20230613,page_view,1
71281,20230613,scroll,1
71281,20230613,session_start,1
71254,20230920,first_visit,1
71254,20230920,page_view,1
71254,20230920,session_start,1
71046,20230608,first_visit,1
71046,20230608,page_view,1
71046,20230608,scroll,1
71046,20230608,session_start,1
70844,20230620,AnyFormSubmit,1
70844,20230620,Any_Form-Submit,1
70844,20230620,form_start,1
70844,20230620,page_view,1
70844,20230620,scroll,1
70844,20230620,user_engagement,1
70844,20230620,first_visit,1
70844,20230620,page_view,1
70844,20230620,session_start,1
70844,20230620,user_engagement,1
70644,20230620,first_visit,1
70644,20230620,page_view,1
70644,20230620,scroll,1
70644,20230620,session_start,1
70529,20230608,first_visit,1
70529,20230608,page_view,1
70529,20230608,scroll,1
70529,20230608,session_start,1
70529,20230608,user_engagement,1
70470,20230603,page_view,1
70470,20230603,session_start,1
70470,20230602,page_view,1
70470,20230602,session_start,1
70470,20230601,first_visit,2
70470,20230601,page_view,2
70470,20230601,session_start,2
70358,20230625,first_visit,1
70358,20230625,page_view,1
70358,20230625,scroll,1
70358,20230625,session_start,1
70358,20230625,user_engagement,1
70358,20230625,video_complete,1
70358,20230625,video_progress,1
70358,20230625,video_start,1
70333,20230608,page_view,1
70333,20230608,scroll,1
70333,20230608,session_start,1
70333,20230607,first_visit,2
70333,20230607,page_view,2
70333,20230607,scroll,2
70333,20230607,session_start,2
70288,20230607,first_visit,1
70288,20230607,page_view,1
70288,20230607,session_start,1
70131,20230626,first_visit,1
70131,20230626,page_view,1
70131,20230626,scroll,1
70131,20230626,session_start,1
70119,20230614,first_visit,1
70119,20230614,page_view,1
70119,20230614,scroll,1
70119,20230614,session_start,1
70119,20230614,user_engagement,1
70008,20230614,page_view,1
70008,20230614,scroll,1
70008,20230614,user_engagement,1
70008,20230614,first_visit,1
70008,20230614,page_view,2
70008,20230614,session_start,2
70008,20230614,user_engagement,1
70008,20230610,form_start,1
70008,20230610,page_view,2
70008,20230610,scroll,2
70008,20230610,session_start,2
70008,20230610,user_engagement,2
70008,20230609,first_visit,1
70008,20230609,page_view,1
70008,20230609,session_start,1
69664,20230608,first_visit,1
69664,20230608,page_view,1
69664,20230608,session_start,1
69593,20230629,first_visit,1
69593,20230629,page_view,1
69593,20230629,session_start,1
69553,20230605,page_view,1
69553,20230605,session_start,1
69553,20230603,first_visit,1
69553,20230603,page_view,1
69553,20230603,scroll,1
69553,20230603,session_start,1
69435,20230711,first_visit,1
69435,20230711,page_view,1
69435,20230711,scroll,1
69435,20230711,session_start,1
69435,20230711,user_engagement,1
69332,20230629,first_visit,2
69332,20230629,page_view,2
69332,20230629,session_start,2
69236,20230611,first_visit,2
69236,20230611,page_view,2
69236,20230611,scroll,2
69236,20230611,session_start,2
69236,20230611,user_engagement,2
69236,20230611,video_complete,2
69236,20230611,video_progress,2
69236,20230611,video_start,2
69125,20230619,AnyFormSubmit,1
69125,20230619,Any_Form-Submit,1
69125,20230619,first_visit,1
69125,20230619,form_start,1
69125,20230619,page_view,1
69125,20230619,session_start,1
69125,20230619,user_engagement,1
69119,20230607,first_visit,1
69119,20230607,page_view,1
69119,20230607,scroll,1
69119,20230607,session_start,1
69119,20230607,video_complete,1
69119,20230607,video_progress,1
69119,20230607,video_start,1
69091,20230608,page_view,1
69091,20230608,scroll,1
69091,20230608,session_start,2
69091,20230608,user_engagement,2
69091,20230607,first_visit,2
69091,20230607,page_view,3
69091,20230607,scroll,2
69091,20230607,session_start,3
68885,20230606,Phone_Number_Click,1
68885,20230606,click,1
68885,20230606,first_visit,1
68885,20230606,page_view,1
68885,20230606,scroll,1
68885,20230606,session_start,1
68885,20230606,user_engagement,1
68885,20230606,video_complete,1
68885,20230606,video_progress,1
68885,20230606,video_start,1
68758,20230607,first_visit,1
68758,20230607,page_view,1
68758,20230607,session_start,2
68758,20230607,user_engagement,1
68615,20230608,first_visit,1
68615,20230608,page_view,1
68615,20230608,scroll,1
68615,20230608,session_start,1
68615,20230608,user_engagement,1
68071,20230612,first_visit,1
68071,20230612,page_view,1
68071,20230612,scroll,1
68071,20230612,session_start,1
68071,20230612,video_complete,1
68071,20230612,video_progress,1
68071,20230612,video_start,1
67836,20230627,first_visit,1
67836,20230627,page_view,1
67836,20230627,session_start,1
66833,20230615,page_view,3
66833,20230615,session_start,3
66833,20230614,first_visit,1
66833,20230614,page_view,1
66833,20230614,session_start,1
66758,20230614,first_visit,2
66758,20230614,page_view,2
66758,20230614,scroll,2
66758,20230614,session_start,2
66743,20230614,first_visit,1
66743,20230614,page_view,1
66743,20230614,scroll,1
66743,20230614,session_start,1
66743,20230613,first_visit,2
66743,20230613,page_view,3
66743,20230613,session_start,3
66743,20230613,video_complete,2
66743,20230613,video_progress,2
66743,20230613,video_start,3
66703,20230703,first_visit,1
66703,20230703,page_view,1
66703,20230703,session_start,1
66699,20230604,first_visit,1
66699,20230604,page_view,1
66699,20230604,session_start,1
66474,20230616,first_visit,1
66474,20230616,page_view,1
66474,20230616,session_start,1
66455,20230614,page_view,1
66455,20230614,user_engagement,1
66455,20230614,first_visit,1
66455,20230614,page_view,1
66455,20230614,session_start,1
66455,20230614,user_engagement,1
65913,20230612,first_visit,2
65913,20230612,page_view,2
65913,20230612,scroll,1
65913,20230612,session_start,2
65905,20230614,first_visit,2
65905,20230614,page_view,2
