fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
Didn't Fill,DC,Unkown,1970,9,USA,Apple,Unknown
Didn't Fill,DC,Unkown,1970,9,USA,Apple,Unknown
Filled,NJ,Unknown,1988,4,USA,Apple,Unknown
Didn't Fill,CA,Unkown,1988,9,USA,Apple,Unknown
Didn't Fill,MA,Unkown,1994,9,USA,Apple,Unknown
Didn't Fill,MA,Unkown,1994,9,USA,Apple,Unknown
Didn't Fill,NY,Unknown,1996,4,USA,Apple,Unknown
Didn't Fill,NY,Unkown,1997,9,USA,Apple,Unknown
Didn't Fill,CA,Unkown,2000,4,USA,Apple,Unknown
Didn't Fill,GA,Unknown,2002,4,USA,Apple,Unknown
Filled,OH,Unknown,2003,4,USA,Apple,Unknown
Didn't Fill,FL,Unkown,2003,4,USA,Apple,Unknown
Didn't Fill,UT,Unkown,2007,9,USA,Apple,Unknown
Didn't Fill,NV,Unknown,2008,9,USA,Apple,Unknown
Didn't Fill,TX,Unkown,2009,19,USA,Apple,Unknown
Didn't Fill,IL,Unkown,2012,9,USA,Apple,Unknown
Didn't Fill,MN,Unkown,2013,4,USA,Apple,Unknown
Didn't Fill,TX,Unkown,2015,19,USA,Apple,Unknown
Didn't Fill,TX,Unknown,2016,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,2017,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,2017,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,2017,9,USA,Apple,Unknown
Didn't Fill,FL,Unknown,2018,4,USA,Apple,Unknown
Didn't Fill,NV,Unknown,2021,9,USA,Apple,Unknown
Didn't Fill,CA,Unknown,NA,1,USA,Apple,Chinese
Didn't Fill,NJ,Unknown,NA,1,USA,Apple,Japanese
Didn't Fill,LA,Unknown,NA,1,USA,Apple,Japanese
Didn't Fill,MI,Unknown,NA,2,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,2,USA,Apple,Chinese
Didn't Fill,OR,Unknown,NA,2,USA,Apple,Chinese
Didn't Fill,NJ,Unknown,NA,2,USA,Apple,Cajun_Seafood
Didn't Fill,CA,Unkown,NA,2,USA,Apple,Chinese
Didn't Fill,SC,Unknown,NA,2,USA,Apple,Chinese
Didn't Fill,FL,Unknown,NA,2,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,3,USA,Apple,Japanese
Didn't Fill,DE,Unknown,NA,3,USA,Apple,Chinese
Didn't Fill,VA,Unknown,NA,3,USA,Apple,Asian_Fusion
Didn't Fill,AB,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Japanese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Japanese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Japanese
Didn't Fill,ON,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,AB,Unkown,NA,4,Canada,Apple,Chinese
Filled,BC,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,4,Canada,Apple,Chinese
Didn't Fill,ND,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,IN,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,OH,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,TX,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NY,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,MO,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,LA,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,IN,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,NJ,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,PA,Unknown,NA,4,USA,Apple,Unknown
Filled,GA,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,VA,Unknown,NA,4,USA,Apple,Unknown
Filled,NC,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NY,Unknown,NA,4,USA,Apple,Unknown
Didn't Fill,TN,Unkown,NA,4,USA,Apple,Japanese
Didn't Fill,OH,Unkown,NA,4,USA,Apple,Cajun_Seafood
Didn't Fill,CA,Unknown,NA,4,USA,Apple,Chinese
Didn't Fill,GA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,TX,Unkown,NA,4,USA,Apple,Unknown
Filled,FL,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NY,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NY,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,VA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,IN,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NV,Unkown,NA,4,USA,Apple,Unknown
Filled,NY,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,PA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,MO,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,MA,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,OK,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,OK,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,MI,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,NY,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,MI,Unkown,NA,4,USA,Apple,Unknown
Didn't Fill,AZ,Unknown,NA,5,USA,Apple,Chinese
Didn't Fill,MA,Unknown,NA,5,USA,Apple,Chinese
