Snowball_ID,Date,first_visit,page_view,session_start,scroll,video_complete,video_progress,video_start,user_engagement,form_start,click,AnyFormSubmit,Any_Form-Submit,Phone_Number_Click,referraliwatch,Company,Trade.Name,Company.Name,Executive.Title.Description,First.Name,Last.Name,Telephone.No.,Address,City,State,Zip,Employee.Size,Minority.Owned.Indicator,Minority.Code,Sales.Volume,LSDI_ETHNIC.CODE,Ethic.Code,Ethnic.Group,Small.Business.Indicator
67836,20230627,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HAWAIIAN STYLE GRILL,HAWAIIAN TIME,,,JASON,WOLL,(360) 993-5306,5000 E FOURTH PLAIN BLVD STE A106,VANCOUVER,WA,98661-6585,7,N,,193523,T3,Japanese,W,Y
66833,20230615,0,3,3,0,0,0,0,0,0,0,0,0,0,0,MOMIJI SUSHI BAR & RESTAURANT,,,,SEBASTIAN,RAY,(503) 837-0111,183 MAIN ST W,MONMOUTH,OR,97361-2136,10,N,,156269,T3,Japanese,W,Y
66833,20230614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MOMIJI SUSHI BAR & RESTAURANT,,,,SEBASTIAN,RAY,(503) 837-0111,183 MAIN ST W,MONMOUTH,OR,97361-2136,10,N,,156269,T3,Japanese,W,Y
66758,20230614,2,2,2,2,0,0,0,0,0,0,0,0,0,0,SUKI RAMEN,,,,,,(503) 484-0776,8145 SE 82ND AVE,PORTLAND,OR,97266-6501,NA,,,NA,,Japanese,,
66743,20230614,1,1,1,1,0,0,0,0,0,0,0,0,0,0,MASTER KONG,,,,,,(971) 373-8248,8435 SE DIVISION ST,PORTLAND,OR,97266-1550,2,N,,60919,0,Chinese,,Y
66743,20230613,2,3,3,0,2,2,3,0,0,0,0,0,0,0,MASTER KONG,,,,,,(971) 373-8248,8435 SE DIVISION ST,PORTLAND,OR,97266-1550,2,N,,60919,0,Chinese,,Y
66703,20230703,1,1,1,0,0,0,0,0,0,0,0,0,0,0,AKIRA SUSHI,,,,,,(971) 255-1130,1718 NE 122ND AVE,PORTLAND,OR,97230-1939,7,N,,87243,0,Japanese,,Y
66699,20230604,1,1,1,0,0,0,0,0,0,0,0,0,0,0,GUJO RAMEN,,,,,,(503) 466-9968,4708 NW BETHANY BLVD STE E6,PORTLAND,OR,97229-9258,NA,,,NA,,Japanese,,
66474,20230616,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MATT & MEMERE'S,,,,,,(971) 267-7554,3582 SE POWELL BLVD,PORTLAND,OR,97202-1878,NA,,,NA,,Cajun Seafood,,
66455,20230614,1,1,1,0,0,0,0,1,0,0,0,0,0,0,TORA SUSHI LOUNGE TILLAMOOK,,,,,,(503) 354-2645,212 MAIN AVE # 220,TILLAMOOK,OR,97141-2235,NA,,,NA,,Japanese,,
66455,20230614,1,1,1,0,0,0,0,1,0,0,0,0,0,0,TORA SUSHI LOUNGE TILLAMOOK,,,,,,(503) 354-2645,212 MAIN AVE # 220,TILLAMOOK,OR,97141-2235,NA,,,NA,,Japanese,,
65913,20230612,2,2,2,1,0,0,0,0,0,0,0,0,0,0,I-TEA,,,,,,(530) 838-9288,236 A ST,DAVIS,CA,95616-4503,NA,,,NA,,Japanese,,
65905,20230614,2,2,3,0,0,0,0,3,0,0,0,0,0,0,DAVIS SUSHI BUFFET,,,PRINCIPAL,SARA,ONAY,(530) 297-1999,1260 LAKE BLVD STE 103,DAVIS,CA,95616-2616,9,N,,192761,0,Japanese,,Y
65701,20230605,1,1,1,0,0,0,0,0,1,0,0,0,0,0,RAMEN 101,,,,,,(209) 594-1703,866 W BENJAMIN HOLT DR,STOCKTON,CA,95207-3652,NA,,,NA,,Japanese,,
65697,20230617,1,2,2,1,0,0,0,0,0,0,0,0,0,0,SHOGUN,,,,HAPPY,LIL,(209) 476-1345,7610 PACIFIC AVE STE B4,STOCKTON,CA,95207-1947,3,N,,106792,0,Japanese,,Y
65530,20230615,1,1,1,1,0,0,0,0,0,1,0,0,0,0,SIZZLING LUNCH,,,CHIEF EXECUTIVE OFFICER,LONG,LIN,(408) 826-4058,1114 BRANHAM LN,SAN JOSE,CA,95118-3701,9,N,Y,175656,R3,Japanese,O,Y
65220,20230601,1,1,1,1,1,1,1,0,0,0,0,0,0,0,HONG KONG GARDEN RESTAURANT,,,,PERRY,CHOY,(831) 688-3869,14 SEASCAPE VLG,APTOS,CA,95003-6100,4,N,Y,227926,R3,Chinese,O,Y
65209,20230613,1,1,1,0,0,0,0,0,0,0,0,0,0,0,FLOWERING TEA HOUSE,FLOWERING TEA HOUSE,,PRESIDENT,SHIWEI,FANG,(707) 775-3088,1367 N MCDOWELL BLVD STE 110,PETALUMA,CA,94954-7142,6,N,Y,298438,R3,Chinese,O,Y
65099,20230613,1,1,1,1,0,0,0,1,1,0,1,1,0,0,ALLEY KITCHENS,,,,,,(510) 356-4467,2309 TELEGRAPH AVE,BERKELEY,CA,94704-1612,7,N,,87243,0,Japanese,,Y
64945,20230607,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CHINA CAFE,,,,,,(510) 632-1212,8012 MACARTHUR BLVD,OAKLAND,CA,94605-3548,NA,,,NA,,Chinese,,
64945,20230603,3,4,4,0,0,0,0,0,0,0,0,0,0,0,CHINA CAFE,,,,,,(510) 632-1212,8012 MACARTHUR BLVD,OAKLAND,CA,94605-3548,NA,,,NA,,Chinese,,
