fill_info,State,Contact_Title,Year_Established,Employee_Size,Category,Country
Didn't Fill,DC,OWNER,1970,9,NA,USA
Didn't Fill,DC,OWNER,1970,9,NA,USA
Filled,NJ,NA,1988,4,NA,USA
Didn't Fill,CA,OWNER,1988,9,NA,USA
Didn't Fill,MA,OWNER,1994,9,NA,USA
Didn't Fill,MA,OWNER,1994,9,NA,USA
Didn't Fill,NY,NA,1996,4,NA,USA
Didn't Fill,NY,OWNER,1997,9,NA,USA
Didn't Fill,CA,MANAGER,2000,4,NA,USA
Didn't Fill,GA,NA,2002,4,NA,USA
Filled,OH,NA,2003,4,NA,USA
Didn't Fill,FL,MANAGER,2003,4,NA,USA
Didn't Fill,UT,OWNER,2007,9,NA,USA
Didn't Fill,NV,NA,2008,9,NA,USA
Didn't Fill,TX,OWNER,2009,19,NA,USA
Didn't Fill,IL,MANAGER,2012,9,NA,USA
Didn't Fill,MN,MANAGER,2013,4,NA,USA
Didn't Fill,TX,MANAGER,2015,19,NA,USA
Didn't Fill,TX,NA,2016,9,NA,USA
Didn't Fill,FL,OWNER,2017,9,NA,USA
Didn't Fill,FL,OWNER,2017,9,NA,USA
Didn't Fill,FL,OWNER,2017,9,NA,USA
Didn't Fill,FL,NA,2018,4,NA,USA
Didn't Fill,NV,NA,2021,9,NA,USA
Didn't Fill,CA,NA,NA,1,Chinese,USA
Didn't Fill,NJ,NA,NA,1,Japanese,USA
Didn't Fill,LA,NA,NA,1,Japanese,USA
Didn't Fill,MI,NA,NA,2,Japanese,USA
Didn't Fill,OR,NA,NA,2,Chinese,USA
Didn't Fill,OR,NA,NA,2,Chinese,USA
Didn't Fill,NJ,NA,NA,2,Cajun Seafood,USA
Didn't Fill,CA,OWNER,NA,2,Chinese,USA
Didn't Fill,SC,NA,NA,2,Chinese,USA
Didn't Fill,FL,NA,NA,2,Chinese,USA
Didn't Fill,CA,NA,NA,3,Japanese,USA
Didn't Fill,DE,NA,NA,3,Chinese,USA
Didn't Fill,VA,NA,NA,3,Asian Fusion,USA
Didn't Fill,AB,OWNER,NA,4,Chinese,Canada
Didn't Fill,ON,OWNER,NA,4,Chinese,Canada
Didn't Fill,ON,OWNER,NA,4,Chinese,Canada
Didn't Fill,ON,OWNER,NA,4,Japanese,Canada
Didn't Fill,ON,OWNER,NA,4,Japanese,Canada
Didn't Fill,ON,OWNER,NA,4,Japanese,Canada
Didn't Fill,ON,OWNER,NA,4,Chinese,Canada
Didn't Fill,AB,OWNER,NA,4,Chinese,Canada
Filled,BC,OWNER,NA,4,Chinese,Canada
Didn't Fill,BC,OWNER,NA,4,Chinese,Canada
