Snowball Map,List Source,Restaurant Name,Mailing Address,City Name,State,TELEPHONENUMBER,Zip Code,Contact First Name,Contact Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
59384,Yelp Greendot (Q42022),886,26 SAINT MARKS PL,NEW YORK,NY,(646) 882-0231,10003-8026,,,,,,Chinese
59385,Yelp Greendot (Q42022),57401,7580 BEECHMONT AVE,CINCINNATI,OH,(513) 782-5100,45255-4221,,,4,N,,Japanese
59386,Yelp Greendot (Q42022),57401,4503 JOHN F KENNEDY PKWY KING SOOPERS,FORT COLLINS,CO,(970) 223-5759,80525-3250,,,5,N,,Japanese
59387,Google API (Q42022),1 CHINESE CARRY OUT,2416 PENNSYLVANIA AVE,BALTIMORE,MD,(410) 728-3399,21217-1709,MEI,CHEN,4,Y,,Chinese
59388,Yelp Greendot (Q42022),1 OR 8,229 DEKALB AVE,BROOKLYN,NY,(718) 384-2152,11205-4042,JOHN,GUNDLACH,2,Y,,Japanese
59389,Google API (Q42022),101 ASIAN KITCHEN,7170 BEVERLY BLVD # 2547,LOS ANGELES,CA,(323) -93-2999,90036-2547,MING,LIUNG,4,Y,2016,Chinese
59390,Google API (Q42022),110 Japan,179 WALT WHITMAN RD,HUNTINGTN STA,NY,(631) 673-5888,11746-4117,SONNY,LIN,9,N,2014,Chinese
59391,Yelp Greendot (Q42022),17 RIVER GRILLE,17 RIVER ST,CHAGRIN FALLS,OH,(440) 893-0797,44022-3004,,,,,,Japanese
59392,Yelp Greendot (Q42022),18 MALAYSIA,4956 MARTIN VIEW LN,WINSTON SALEM,NC,(336) 659-1668,27104-5066,,,,,,Japanese
59393,Yelp Greendot (Q42022),192 CRAB & LOBSTER,5073 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,(407) 337-8888,34746-5345,,,,,,Cajun Seafood
59394,Yelp Greendot (Q42022),1ST AVE GOURMET,1274 1ST AVE FRNT 1,NEW YORK,NY,(212) 472-8480,10065-5619,JI,JEONG,1,Y,,Japanese
59395,Yelp Greendot (Q42022),2 DIE FOR SUSHI,7625 TOPANGA CANYON BLVD,CANOGA PARK,CA,(818) 999-2008,91304-5535,SUNG,LEE,8,Y,,Japanese
59396,Yelp Greendot (Q42022),2 FRIENDS AND A CHEF,831 US-59 S,CLEVELAND,TX,(888) 267-0331,77327,,,,,,Cajun Seafood
59397,Yelp Greendot (Q42022),2.99 SUSHI ROLL,633 S ARROYO PKWY STE 1,PASADENA,CA,(626) 396-1117,91105-3282,,,,,,Japanese
59398,Yelp Greendot (Q42022),2050 LOBBY LOUNGE AND BAR,2050 GATEWAY PL,SAN JOSE,CA,(408) 453-4000,95110-1011,DAVID,COSTAIN,315,N,,Japanese
59399,Yelp Greendot (Q42022),220 MERRILL,220 E MERRILL ST,BIRMINGHAM,MI,(248) 646-2220,48009-6106,,,1,Y,,Japanese
59400,Yelp Greendot (Q42022),23 ICHIBAN WOK & SUSHI,3055 ROUTE 23,OAK RIDGE,NJ,(973) 545-2700,07438-8926,SONNY,ZIBA,8,Y,,Japanese
59401,Yelp Greendot (Q42022),26 THAI SUSHI & BAR - BROOKHAVEN,705 TOWN BLVD NE STE Q330,BROOKHAVEN,GA,(678) 973-0226,30319-7204,,,,,,Japanese
59402,Yelp Greendot (Q42022),3 BROTHERS TERIYAKI,23722 WESTERN AVE,HARBOR CITY,CA,(310) 326-3843,90710-1321,TODD,SAKADA,7,Y,,Japanese
59403,Yelp Greendot (Q42022),3 LITTLE PIGS CHI,3220 W GRAND AVE,CHICAGO,IL,(312) 883-3326,60651-4180,,,,,,Chinese
59404,Yelp Greendot (Q42022),3 MONKEYS STREET BAR & KITCHEN,554 MA-28,HARWICH,MA,(774) 408-7210,2645,,,,,,Japanese
