Year,Holiday,Date
2016,New Year’s Day,01-01
2017,New Year’s Day,01-01
2018,New Year’s Day,01-01
2019,New Year’s Day,01-01
2020,New Year’s Day,01-01
2021,New Year’s Day,01-01
2022,New Year’s Day,01-01
2023,New Year’s Day,01-01
2024,New Year’s Day,01-01
2016,Martin Luther King,01-18
2017,Martin Luther King,01-16
2018,Martin Luther King,01-15
2019,Martin Luther King,01-21
2020,Martin Luther King,01-20
2021,Martin Luther King,01-18
2022,Martin Luther King,01-17
2023,Martin Luther King,01-16
2024,Martin Luther King,01-15
2016,Chinese New Year,02-08
2017,Chinese New Year,01-28
2018,Chinese New Year,02-16
2019,Chinese New Year,02-05
2020,Chinese New Year,01-25
2021,Chinese New Year,02-12
2022,Chinese New Year,02-01
2023,Chinese New Year,01-22
2024,Chinese New Year,02-10
2016,Valentine’s Day,02-14
2017,Valentine’s Day,02-14
2018,Valentine’s Day,02-14
2019,Valentine’s Day,02-14
2020,Valentine’s Day,02-14
2021,Valentine’s Day,02-14
2022,Valentine’s Day,02-14
2023,Valentine’s Day,02-14
2024,Valentine’s Day,02-14
2016,President’s Day,02-15
2017,President’s Day,02-20
2018,President’s Day,02-19
2019,President’s Day,02-18
2020,President’s Day,02-17
2021,President’s Day,02-15
2022,President’s Day,02-21
2023,President’s Day,02-20
2024,President’s Day,02-19
2016,St. Patrick’s Day,03-17
2017,St. Patrick’s Day,03-17
2018,St. Patrick’s Day,03-17
2019,St. Patrick’s Day,03-17
2020,St. Patrick’s Day,03-17
2021,St. Patrick’s Day,03-17
2022,St. Patrick’s Day,03-17
2023,St. Patrick’s Day,03-17
2024,St. Patrick’s Day,03-17
2016,Memorial Day,05-30
2017,Memorial Day,05-29
2018,Memorial Day,05-28
2019,Memorial Day,05-27
2020,Memorial Day,05-25
2021,Memorial Day,05-31
2022,Memorial Day,05-30
2023,Memorial Day,05-29
2024,Memorial Day,05-27
2016,Juneteenth,06-19
2017,Juneteenth,06-19
2018,Juneteenth,06-19
2019,Juneteenth,06-19
2020,Juneteenth,06-19
2021,Juneteenth,06-19
2022,Juneteenth,06-19
2023,Juneteenth,06-19
2024,Juneteenth,06-19
2016,4th of July,07-04
2017,4th of July,07-04
2018,4th of July,07-04
2019,4th of July,07-04
2020,4th of July,07-04
2021,4th of July,07-04
2022,4th of July,07-04
2023,4th of July,07-04
2024,4th of July,07-04
2016,Labor Day,09-05
2017,Labor Day,09-04
2018,Labor Day,09-03
2019,Labor Day,09-02
2020,Labor Day,09-07
2021,Labor Day,09-06
2022,Labor Day,09-05
2023,Labor Day,09-04
2024,Labor Day,09-02
2016,Veterans Day,11-11
2017,Veterans Day,11-11
2018,Veterans Day,11-11
2019,Veterans Day,11-11
2020,Veterans Day,11-11
2021,Veterans Day,11-11
2022,Veterans Day,11-11
2023,Veterans Day,11-11
2024,Veterans Day,11-11
2016,Thanksgiving,11-24
2017,Thanksgiving,11-23
2018,Thanksgiving,11-22
2019,Thanksgiving,11-28
2020,Thanksgiving,11-26
2021,Thanksgiving,11-25
2022,Thanksgiving,11-24
2023,Thanksgiving,11-23
2024,Thanksgiving,11-28
2016,Christmas Eve,12-24
2017,Christmas Eve,12-24
2018,Christmas Eve,12-24
2019,Christmas Eve,12-24
2020,Christmas Eve,12-24
2021,Christmas Eve,12-24
2022,Christmas Eve,12-24
2023,Christmas Eve,12-24
2024,Christmas Eve,12-24
