Area Code,City,State,Country
201,Bayonne,New Jersey,US
201,Bergenfield,New Jersey,US
201,Cliffside Park,New Jersey,US
201,Englewood,New Jersey,US
201,Fair Lawn,New Jersey,US
201,Fort Lee,New Jersey,US
201,Hackensack,New Jersey,US
201,Hoboken,New Jersey,US
201,Jersey City,New Jersey,US
201,Kearny,New Jersey,US
201,North Bergen,New Jersey,US
201,Paramus,New Jersey,US
201,Ridgewood,New Jersey,US
201,Teaneck,New Jersey,US
201,Union City,New Jersey,US
201,West New York,New Jersey,US
202,Washington,District of Columbia,US
203,Bridgeport,Connecticut,US
203,Danbury,Connecticut,US
203,East Haven,Connecticut,US
203,Meriden,Connecticut,US
203,Milford,Connecticut,US
203,Naugatuck,Connecticut,US
203,New Haven,Connecticut,US
203,North Haven,Connecticut,US
203,Norwalk,Connecticut,US
203,Shelton,Connecticut,US
203,Stamford,Connecticut,US
203,Stratford,Connecticut,US
203,Trumbull,Connecticut,US
203,Waterbury,Connecticut,US
203,West Haven,Connecticut,US
203,Westport,Connecticut,US
205,Alabaster,Alabama,US
205,Bessemer,Alabama,US
205,Birmingham,Alabama,US
205,Center Point,Alabama,US
205,Homewood,Alabama,US
205,Hoover,Alabama,US
205,Mountain Brook,Alabama,US
205,Tuscaloosa,Alabama,US
205,Vestavia Hills,Alabama,US
206,Bainbridge Island,Washington,US
206,Burien,Washington,US
206,Des Moines,Washington,US
206,Mercer Island,Washington,US
206,Seattle,Washington,US
206,Shoreline,Washington,US
206,White Center,Washington,US
207,Auburn,Maine,US
207,Augusta,Maine,US
207,Bangor,Maine,US
207,Biddeford,Maine,US
207,Brunswick,Maine,US
207,Lewiston,Maine,US
207,South Portland,Maine,US
207,South Portland,Maine,US
208,Boise,Idaho,US
208,Caldwell,Idaho,US
208,Coeur d'Alene,Idaho,US
208,Idaho Falls,Idaho,US
208,Lewiston,Idaho,US
208,Meridian,Idaho,US
208,Moscow,Idaho,US
208,Nampa,Idaho,US
208,Pocatello,Idaho,US
208,Twin Falls,Idaho,US
209,Atwater,California,US
209,Ceres,California,US
209,Lodi,California,US
209,Los Banos,California,US
209,Manteca,California,US
209,Merced,California,US
209,West Modesto,California,US
209,Stockton,California,US
209,Tracy,California,US
209,Turlock,California,US
210,San Antonio,Texas,US
212,New York City,New York,US
212,New York City,New York,US
213,Los Angeles,California,US
214,Allen,Texas,US
214,Arlington,Texas,US
214,Carrollton,Texas,US
214,Cedar Hill,Texas,US
214,Coppell,Texas,US
214,Dallas,Texas,US
214,DeSoto,Texas,US
214,Duncanville,Texas,US
214,Farmers Branch,Texas,US
214,Flower Mound,Texas,US
214,Frisco,Texas,US
214,Garland,Texas,US
214,Grand Prairie,Texas,US
214,Irving,Texas,US
214,Lancaster,Texas,US
214,Lewisville,Texas,US
214,McKinney,Texas,US
214,Mesquite,Texas,US
214,Plano,Texas,US
214,Richardson,Texas,US
214,Rowlett,Texas,US
214,The Colony,Texas,US
214,University Park,Texas,US
214,Waxahachie,Texas,US
215,Levittown,Pennsylvania,US
215,Philadelphia,Pennsylvania,US
216,Brook Park,Ohio,US
216,East Cleveland,Ohio,US
216,Cleveland Heights,Ohio,US
216,East Cleveland,Ohio,US
216,South Euclid,Ohio,US
216,Garfield Heights,Ohio,US
216,Lakewood,Ohio,US
216,Maple Heights,Ohio,US
216,Parma,Ohio,US
216,Shaker Heights,Ohio,US
216,South Euclid,Ohio,US
217,Champaign,Illinois,US
217,Charleston,Illinois,US
217,Danville,Illinois,US
217,Decatur,Illinois,US
217,Quincy,Illinois,US
217,Springfield,Illinois,US
217,Urbana,Illinois,US
218,Andover,Minnesota,US
218,Duluth,Minnesota,US
218,Moorhead,Minnesota,US
219,East Chicago,Indiana,US
219,Gary,Indiana,US
219,Hammond,Indiana,US
219,Highland,Indiana,US
219,Hobart,Indiana,US
219,LaPorte,Indiana,US
