brizo_id,campaign_name,year,month,gmv_level,dm_drop
2effec62291c9824,2024_04_Group_C_CW_Gift_SMS_(Brizo),2024,4,No Segmentation,Drop 1
1b5f3234ea8af24d,2024_07_Brizo_A_Copy1_(1_25280),2024,7,No Segmentation,Drop 1
43e01284c0aa62df,2025_01_D_English,2025,1,No Segmentation,Drop 1
29da4a0d040636ab,2025_03_B_Heartfelt_(22407_44812),2025,3,No Segmentation,Drop 1
ad443a24cd556db0,2024_12_A_Chinese_Unknown,2024,12,No Segmentation,Drop 1
3e5ce72e5d529d8b,2025_06_Brizo_Full_List,2025,6,No Segmentation,Drop 1
3829077727904d74,2025_02_Drop1D_Bilingual_DE,2025,2,No Segmentation,Drop 1
3d250ae5d5b4fecb,2024_04_Group_C_CW_Gift_SMS_(Brizo),2024,4,No Segmentation,Drop 1
7a492de733cf80fb,2025_06_Brizo_Full_List,2025,6,No Segmentation,Drop 1
133b35fabc6a43d9,2024_01_Brizo_US_(1_56002),2024,1,No Segmentation,Drop 1
6f0af594f86b99d7,2024_11_Chinese_(1_20118),2024,11,No Segmentation,Drop 1
3fbdfa530f27dfb4,2025_06_Group_B_Japanese,2025,6,No Segmentation,Drop 1
611a1ee9376aa8cf,2025_04_Group_B_Air_Purifier_(25602_51230),2025,4,No Segmentation,Drop 1
b82e7ccda1b3cf04,2025_04_Group_B_Air_Purifier_(25602_51230),2025,4,No Segmentation,Drop 1
aa39098262394207,2024_04_Group_A_Free_Trial_SMS_(Brizo),2024,4,No Segmentation,Drop 1
9b9d9ae748be0cba,2024_12_A_Chinese_Unknown,2024,12,No Segmentation,Drop 1
b66a80f9fc1ac546,2024_12_B_English,2024,12,No Segmentation,Drop 1
a3bba01ecfadbc47,2025_04_Group_B_Air_Purifier_(25602_51230),2025,4,No Segmentation,Drop 1
66585f127bf60aef,2024_09_Brizo_B_(Evergreen)_24230_49312,2024,9,No Segmentation,Drop 1
b77af0f2c0296773,2025_07_D_RevenueLowGMV,2025,7,Low GMV,Drop 1
53e48f2724afc577,2025_06_Brizo_Full_List,2025,6,No Segmentation,Drop 1
87dc201fee914a01,2025_06_Group_B_Japanese,2025,6,No Segmentation,Drop 1
3a8b51084f410ff0,2025_05_Group_B_Low_GMV,2025,5,Low GMV,Drop 1
8df4ba5983558100,2024_11_2nd_DM_Chinese,2024,11,No Segmentation,Drop 2
b134f1591fd20c5d,2024_11_Chinese_(1_20118),2024,11,No Segmentation,Drop 1
