brizo_id,count
1001,1
1002,6
1007,2
1013,1
1020,2
1027,2
1028,1
1030,2
1040,3
1060,1
1062,1
1075,1
1077,1
1082,1
1085,1
1089,4
1095,1
1104,3
1106,1
1108,2
1109,1
1128,1
1129,1
1201,1
1247,1
1301,4
1331,1
1342,1
1373,1
1375,1
1376,1
1420,1
1430,1
1440,1
1453,2
1474,1
1504,1
1516,1
1518,2
1519,1
1520,2
1527,1
1532,1
1537,1
1540,1
1545,5
1550,1
1566,2
1569,1
1570,1
1571,1
1581,2
1583,1
1588,1
1602,1
1603,1
1604,3
1605,2
1609,2
1610,2
1702,2
1721,1
1747,1
1748,1
1749,2
1752,4
1757,3
1760,1
1772,1
1776,2
1778,1
1801,2
1810,1
1826,3
1830,1
1832,1
1841,1
1843,1
1844,4
1845,1
1851,2
1852,2
1862,1
1863,1
1867,1
1876,3
1879,1
1880,1
1886,1
1887,3
1890,2
1902,1
1905,1
1906,5
1913,2
1915,5
1923,4
1930,2
1938,1
1940,1
1945,2
1952,1
1960,2
1970,2
1982,1
2025,1
2026,3
2038,1
2043,1
2048,2
2050,1
2052,1
2053,2
2061,1
2062,1
2066,2
2067,1
2072,1
2090,1
2109,2
2111,6
2115,1
2116,1
2118,2
2119,1
2120,1
2122,1
2124,2
2127,2
2128,2
2130,2
2131,2
2132,1
2134,1
2135,1
2136,1
2138,2
2139,2
2140,1
2141,1
2143,1
2144,1
2145,2
2148,2
2149,3
2150,1
2151,1
2152,3
2155,3
2169,5
2170,3
2176,1
2180,1
2184,2
2188,1
2189,2
2190,1
2215,6
2301,4
2302,1
2324,1
2332,1
2339,1
2343,1
2346,2
2347,1
2356,1
2359,1
2360,1
2368,3
2370,2
2379,1
2420,1
2421,1
2445,3
2446,5
2453,2
2458,1
2459,1
2460,1
2467,1
2472,3
2476,3
2481,1
2492,1
2536,1
2539,1
2540,1
2554,1
2559,1
2562,1
2563,1
2571,2
2601,1
2632,1
2633,1
2649,1
2664,1
2703,3
2719,1
2720,1
2721,2
2723,1
2724,1
2726,2
2740,3
2743,1
2744,1
2746,1
2747,1
2760,2
2762,1
2766,1
2767,1
2769,1
2771,1
2777,2
2780,1
2790,1
2804,1
2806,1
2809,1
2816,1
2818,2
2840,7
2842,2
2852,3
2857,1
2860,3
2861,3
2863,4
2864,3
2865,3
2871,2
2878,1
2879,4
2881,1
2882,3
2886,6
2888,4
2889,4
2891,4
2893,4
2895,5
2896,1
2898,2
2903,7
2904,5
2905,2
2906,5
2907,2
2908,5
2909,4
2910,4
2911,1
2914,1
2915,4
2917,2
2919,5
2920,5
2921,2
3038,6
3042,4
3045,1
3051,8
3053,4
3054,4
3055,4
3060,13
3062,3
3063,5
3064,3
3076,2
3077,2
3079,11
3087,2
3101,4
3102,9
3103,17
3104,3
3106,1
3109,5
3110,4
3217,1
3220,1
3222,1
3226,1
3234,1
3235,2
3242,1
3244,4
3246,2
3251,2
3254,3
3257,1
3261,1
3262,1
3263,1
3264,3
3276,2
3301,12
3303,1
3304,2
3431,4
3440,1
3444,1
3452,1
3455,2
3458,2
3561,4
3570,2
3576,2
3584,2
3743,3
3748,1
3755,1
3766,3
3773,1
3784,1
3785,2
3801,7
3813,1
3820,4
3824,2
3825,2
3826,2
3833,4
3835,2
3841,2
3842,6
3851,2
3857,3
3860,2
3865,3
3867,6
3868,2
3872,1
3874,3
3878,4
3885,1
3886,1
3894,3
3904,4
3906,1
3907,1
3909,4
4005,5
4009,1
4011,7
4032,2
4038,1
4039,3
4043,4
4062,5
4072,2
4073,1
4074,6
4086,2
4087,3
4090,2
4092,1
4093,1
4096,1
4101,20
4102,4
4103,6
4106,7
4210,6
4217,1
4239,1
4240,9
4252,1
4256,1
4257,1
4261,1
4270,1
4280,2
4281,3
4294,1
4330,10
4346,2
4347,1
4364,3
4401,13
4412,6
4416,1
4426,1
4444,1
4457,1
4468,2
4473,4
4530,2
4538,2
4572,2
4578,2
4605,4
4609,3
4619,1
4654,1
4730,3
4736,3
4743,2
4757,1
4769,3
4841,4
4843,1
4856,2
4901,7
4915,3
4930,1
4937,1
4938,2
4953,2
4967,1
4976,4
5033,1
5101,1
5201,1
5401,2
5403,2
5404,1
5602,2
5672,1
5751,1
5847,1
6001,1
6002,2
6010,8
6013,1
6016,1
6018,1
6019,1
6029,2
6032,4
6033,6
6035,2
6037,2
6040,3
6042,3
6051,3
6053,4
6057,1
6062,4
6066,6
6067,4
6070,4
6071,1
6074,4
6076,1
6078,2
6082,5
6085,1
6088,1
6092,1
6095,3
6096,4
6098,2
6103,2
6105,4
6106,5
6107,3
6108,3
6109,8
6110,1
6111,5
6112,2
6117,1
6118,2
6119,5
6120,4
6226,2
6234,2
6238,2
6239,1
6241,2
6248,1
6250,2
6260,3
6268,3
6320,4
6331,1
6333,1
6335,1
6338,1
6339,1
6340,5
6351,3
6355,4
6357,3
6360,8
6370,1
6371,1
6374,2
6375,1
6378,1
6382,3
6385,2
6401,1
6405,5
6410,3
6413,4
6415,5
6416,4
6418,1
6419,1
6420,1
6422,1
6424,1
6426,1
6437,2
6443,2
6447,1
6450,4
6451,2
6457,14
6460,10
6468,3
6470,3
6471,2
6472,1
6473,5
6475,3
6477,3
6478,2
6479,3
6480,1
6483,4
6484,3
6488,1
6489,7
6492,6
6498,1
6510,9
6511,10
6512,3
6513,1
6514,5
6515,4
6516,10
6517,1
6518,2
6519,2
6604,5
6605,4
6606,6
6608,2
6610,2
6611,2
6614,8
6615,2
6704,3
6705,4
6708,3
6716,1
6762,1
6770,3
6776,5
6786,1
6787,3
6790,7
6795,2
6798,2
6801,7
6804,3
6810,4
6811,8
6812,2
6820,2
6824,2
6825,4
6830,9
6840,3
6850,4
6851,3
6854,5
6855,1
6870,2
6877,1
6878,1
6880,8
6890,1
6897,3
6901,3
6902,4
6905,4
6906,3
6907,1
7001,2
7002,16
7003,18
7004,6
7005,5
7006,17
7008,4
7009,4
7010,5
7011,7
7012,6
7013,9
