list_source,year_month,landing_start_date,landing_end_date
2024-11—2nd DM - English_Other,2024-11,11/18/2024,11/14/2024
2024-04—Group C: CW Gift_SMS (Brizo),2024-04,3/27/2024,4/9/2024
2025-07—C-LaborLowGMV,2025-07,7/7/2025,6/13/2025
2025-01—D - English,2025-01,1/2/2024,1/12/2024
2024-06—Group A: SQL_Trial (Brizo) 1-28314,2024-06,5/28/2024,6/10/2024
2025-03—B - Heartfelt (22407-44812),2025-03,3/3/2025,3/10/2025
2025-05—Group A - High GMV,2025-05,5/8/2025,5/15/2025
2024-06—Group B: 50% (Brizo) 28315-57074,2024-06,5/28/2024,6/10/2024
2024-11—Unknown (28987-50734),2024-11,11/18/2024,11/14/2024
2024-05—Group B: Bifold (Brizo) 28315-57074,2024-05,4/26/2024,5/9/2024
2024-02—Brizo - SQL Gift (G1),2024-02,1/26/2024,2/8/2024
2024-09—Brizo A (Creative) 1-24229,2024-09,9/3/2024,9/16/2024
2024-11—Chinese (1-20118),2024-11,11/18/2024,11/14/2024
2025-01—B - Chinese (Low GMV),2025-01,1/2/2024,1/12/2024
2024-03—Group B - Trial Only,2024-03,2/26/2024,3/8/2024
2024-12—A - Chinese _Unknown,2024-12,12/2/2024,12/4/2024
2024-08—Brizo - A ($100) 1-18487,2024-08,8/1/2024,8/12/2024
2025-01—A - Chinese (High GMV),2025-01,1/2/2024,1/12/2024
2025-04—Group A - Giftcard (1-25601),2025-04,4/1/2025,4/11/2025
2024-08—Brizo - C ($300) 35527-51230,2024-08,8/1/2024,8/12/2024
2024-11—English (20119-28986),2024-11,11/18/2024,11/14/2024
2024-07—Brizo A - Copy1  (1-25280),2024-07,7/2/2024,7/11/2024
2024-10—A - Western 1-26130,2024-10,10/1/2024,10/14/2024
2025-07—B-RevenueHighGMV,2025-07,7/7/2025,6/13/2025
2025-01—C - Bilingual,2025-01,1/2/2024,1/12/2024
2025-06—Group B - Japanese,2025-06,5/12/2025,5/19/2025
2025-02—Drop1C - Bilingual VO,2025-02,2/10/2025,2/13/2025
2024-07—Brizo B - Copy2 (25281-51743),2024-07,7/2/2024,7/11/2024
2024-01—Brizo - CAN (69821-78112),2024-01,12/26/2023,1/8/2024
2025-03—A - Credibility (1-22406),2025-03,3/3/2025,3/10/2025
2025-02—Drop1B - Chinese DE,2025-02,2/10/2025,2/13/2025
2025-02—Drop2A - Chinese VO,2025-02,2/10/2025,2/13/2025
2025-02—Drop2C - Bilingual VO,2025-02,2/10/2025,2/13/2025
2024-01—Brizo - US (1-56002),2024-01,12/26/2023,1/8/2024
2025-02—Drop1D - Bilingual DE,2025-02,2/10/2025,2/13/2025
2024-04—Group B: SMS Only (Brizo),2024-04,3/27/2024,4/9/2024
2024-08—Brizo - B ($200) 18488-35526,2024-08,8/1/2024,8/12/2024
2024-04—Group A: Free Trial_SMS (Brizo),2024-04,3/27/2024,4/9/2024
2025-02—Drop2D - Bilingual DE,2025-02,2/10/2025,2/13/2025
2024-11—2nd DM - Chinese,2024-11,11/18/2024,11/14/2024
2024-10—B - Chinese 26131-51680,2024-10,10/1/2024,10/14/2024
2025-06—Group A - Chinese,2025-06,5/12/2025,5/19/2025
2024-12—B - English,2024-12,12/2/2024,12/4/2024
2025-07—A-LaborHighGMV,2025-07,7/7/2025,6/13/2025
2024-09—Brizo B (Evergreen) 24230-49312,2024-09,9/3/2024,9/16/2024
2024-05—Group A: Post-Card (Brizo) 1-28314,2024-05,4/26/2024,5/9/2024
2024-02—Brizo - CW Gift (G2),2024-02,1/26/2024,2/8/2024
2024-03—Group C - SQL Gift and Trial,2024-03,2/26/2024,3/8/2024
2025-05—Group B - Low GMV,2025-05,5/8/2025,5/15/2025
2024-02—Brizo - No Promo(G3),2024-02,1/26/2024,2/8/2024
2024-03—Group A - SQL Gift_No Trial,2024-03,2/26/2024,3/8/2024
2025-07—D-RevenueLowGMV,2025-07,7/7/2025,6/13/2025
2025-04—Group B - Air Purifier (25602-51230),2025-04,4/1/2025,4/11/2025
2025-02—Drop1A - Chinese VO,2025-02,2/10/2025,2/13/2025
2025-02—Drop2B - Chinese DE,2025-02,2/10/2025,2/13/2025
2025-06—Brizo Full List,2025-06,5/12/2025,5/19/2025
