CSV File,Columns
2024-03—Active Account_Contact.csv,"['Account Name', 'Billing Street', 'Billing City', 'Billing Zip/Postal Code', 'Mailing State/Province (text only)', 'Mailing Country (text only)', 'Business Phone', 'Mobile - Primary', 'Email']"
2024-06—Group A: SQL_Trial (MNQ) 57075-63073.csv,"['Check Map', 'Check B#', 'Check M#', 'Snowball Map', 'Map', 'Group', 'Create Date', 'Last Name', 'Company / Account', 'Street', 'Zip/Postal Code', 'State/Province (text only)', 'Mobile - Primary', 'Business Phone', 'Rejected Reason', 'Rejected Time']"
2024-11—2nd DM - English_Other.csv,"['Snowball Map', 'Brizo ID', 'Language Preference', 'Name', 'Street', 'City/Town', 'Zip/Postal Code', 'State/Province Code', 'Country', 'Cuisines (Regional)', 'Price Range', 'Opening Hours', 'Vitality Score', 'Established', 'Phone', 'Most Common Email', 'Density @5mi', 'Time Zone Name', 'Median Price', 'Full Name', 'Role']"
2024-04—Group C: CW Gift_SMS (Brizo).csv,"['Check Map', 'Check B#', 'Check M#', 'Snowball Map', 'Group', 'brizo_id', 'Mapping', 'Name', 'First Seen', 'Street', 'City/Town', 'State/Province Code', 'Zip/Postal Code', 'Country', 'First Name', 'Last Name', 'Contact LinkedIn', 'Phone', 'Contact Count', 'Most Common Email', 'Cuisines (Regional)', 'Price Range', 'Vitality Score', 'Reputation Score', 'Technology Vendors']"
2024-04—Lariat Test.csv,"['Name', 'First Seen', 'Street', 'City/Town', 'State/Province Code', 'Zip/Postal Code', 'Country', 'First Name', 'Last Name', 'Contact LinkedIn', 'Business Phone', 'Contact Count', 'Most Common Email', 'Cuisines (Regional)', 'Price Range', 'Vitality Score', 'Reputation Score', 'Technology Vendors']"
2025-07—C-LaborLowGMV.csv,"['Snowball Map', 'Temp_Lead Score', 'BRIZO_ID', 'NAME_ESTABLISHMENT', 'PHONE_ESTABLISHMENT', 'STREET', 'UNIT', 'CITYTOWN', 'ZIPCODE', 'STATE_CODE', 'COUNTRY', 'CUISINE']"
2025-01—D - English.csv,"['Snowball ID', 'BRIZO_ID', 'STATUS', 'ESTABLISHMENT_NAME', 'STREET', 'CITY', 'ZIPCODE', 'STATE', 'COUNTRY', 'CUISINES_REGIONAL', 'PRICE_RANGE', 'VITALITY_SCORE', 'ESTABLISHED', 'ESTABLISHMENT_PHONE', 'EMAIL', 'FULL_NAME', 'ROLE_TITLE', 'Language Preference', 'Lead Score']"
2024-06—Group A: SQL_Trial (Brizo) 1-28314.csv,"['Check Map', 'Check B#', 'Check M#', 'Snowball Map', 'Group', 'brizo_id', 'Mapping', 'Name', 'First Seen', 'Street', 'City/Town', 'State/Province Code', 'Zip/Postal Code', 'Country', 'First Name', 'Last Name', 'Contact LinkedIn', 'Phone', 'Phone Type', 'Most Common Email', 'Cuisines (Regional)', 'Price Range', 'Technology Vendors']"
2024-06—Unqualified.csv,"['Created Date', 'Lead Source', 'Lead Channel', 'Company / Account', 'Business Phone', 'Mobile - Primary', 'Street', 'Zip/Postal Code', 'State/Province (text only)', 'Lead Status', 'Lead Owner', 'Unqualified Reason', 'Converted Date', 'Opportunity Name', 'Oppt Close Date']"
2025-03—B - Heartfelt (22407-44812).csv,"['Snowball Map', 'BRIZO_ID', 'STATUS', 'ESTABLISHMENT_NAME', 'STREET', 'CITY', 'ZIPCODE', 'STATE', 'COUNTRY', 'CUISINES_REGIONAL', 'PRICE_RANGE', 'VITALITY_SCORE', 'ESTABLISHED', 'ESTABLISHMENT_PHONE', 'EMAIL', 'FULL_NAME', 'ROLE_TITLE', 'Language Preference', 'Lead Score', 'Group']"
2025-05—Group A - High GMV.csv,"['Snowball Map', 'Mapping', 'Lead Score', 'BRIZO_ID', 'NAME_ESTABLISHMENT', 'PHONE_ESTABLISHMENT', 'STREET', 'UNIT', 'CITYTOWN', 'ZIPCODE', 'STATE', 'COUNTRY', 'TIME_ZONE_NAME', 'CUISINES_REGIONAL']"
2024-06—Group B: 50% (Brizo) 28315-57074.csv,"['Check Map', 'Check B#', 'Check M#', 'Snowball Map', 'Group', 'brizo_id', 'Mapping', 'Name', 'First Seen', 'Street', 'City/Town', 'State/Province Code', 'Zip/Postal Code', 'Country', 'First Name', 'Last Name', 'Contact LinkedIn', 'Phone', 'Phone Type', 'Most Common Email', 'Cuisines (Regional)', 'Price Range', 'Technology Vendors']"
2024-01—Old List - CAN (78113-81103).csv,"['Snowball Map', 'Name', 'CBE Contact Last Name', 'CBE Contact First Name', 'Price', 'Category', 'Phone Number', 'Street', 'City', 'State', 'Zip', 'CBE Location Employment Size Description', 'CBE Vendor Ethnicity Description']"
