Snowball Map,Dedupe Key,brizo_id,Name,Street,Business Type,Amenities,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes,Technology Vendors
69821,1150 MorniM1B 3,05ab28e7adfae48e,Fusion Sushi,1150 Morningside Ave,Restaurant,Delivery; Online Ordering; Takeout,Toronto,ON,M1B 3A4,Canada,,,,,,,,(647) 866-6187,,Japanese; Chinese,$,Soups; Seafood; Sushi,Skip the Dishes; Uber Eats
69822,211 12 AveT2R 0,0a93eb307809169b,Sushi AOI,211 12 Ave SW,Restaurant,Restroom; Groups; Online Ordering; Seating; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Calgary,AB,T2R 0G9,Canada,,,,,,,,(587) 998-4816,,Japanese,,Soups; Smoked Salmon; Sushi; Noodles; Steaks,Skip the Dishes; Uber Eats
69823,108 DundasM5G 1,0a205e90071a5e4e,You Don Ya,108 Dundas St W,Hotel/Resort; Restaurant,Restroom; Groups; Table Service; Alcohol; Online Ordering; Digital Payments; Seating; Reservations; Delivery; Contactless Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Toronto,ON,M5G 1C3,Canada,A.,Yonge Kim,Business Owner,Owner,,,2018.0,(647) 748-9399,,Japanese,$$,Smoked Salmon; Sashimi; Sushi,Google Analytics; WooCommerce; Stripe; Google Maps; Ritual; DoorDash; Uber Eats
69824,1821 TransV2C 3,0b3ed8519ca5564c,Arigato Sushi Valleyview,1821 Trans Canada Hwy E,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Credit Cards; Curbside Pickup; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Takeout,Kamloops,BC,V2C 3Z7,Canada,,,,,,,,(250) 372-9244,,Japanese,$$,Sushi,MailChimp; Google Maps
69825,1507 PowelV5L 5,0d4a78c91a1f2bd1,mizu sushi co.,1507 Powell St,Hotel/Resort; Restaurant,Wheelchair Accessible; Gift Cards; Parking; Catering; Debit Cards; Delivery; Takeout,Vancouver,BC,V5L 5C3,Canada,,,,,eat@mizusushi.co,,,(514) 827-5837,,Japanese,$$$,Sushi,
69826,4527 8 AveT2A 0,0caee06b4f5444da,Gong Kee BBQ Noodle House,4527 8 Ave SE,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Online Ordering; TV; Seating; Reservations; Delivery; Credit Cards; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Calgary,AB,T2A 0A7,Canada,,,,,,,,(403) 235-1993,,Vietnamese; Chinese,$,Seafood; BBQ; Chicken; Noodles,Google Analytics; Skip the Dishes
69827,240 McPhilR3E 2,1020bb34977f9167,Isaytakoyummy,240 McPhillips St,Restaurant,Restroom; Groups; Wi-Fi; Alcohol; Online Ordering; Reservations; Delivery; Credit Cards; Debit Cards; Dine-in; Outdoor Seating; Takeout,Winnipeg,MB,R3E 2K4,Canada,,,,,,,,(204) 615-2695,isaytakoyummy@yahoo.com,Japanese; Chinese,$,Seafood; French Fries,Skip the Dishes; Uber Eats; DoorDash
69828,3443 WolfeL5C 1,1073ffdf1be10f64,Fu Ji Fuji noodle house,3443 Wolfedale Rd,Restaurant,Delivery; Online Ordering; Takeout,Mississauga,ON,L5C 1V8,Canada,,,,,,,,(905) 277-0001,,Chinese; Taiwanese,$,Noodles,Uber Eats
69829,10736 82 AT6E 6,112cdc8c2e6e8eb3,Tokyo Noodle Shop,10736 82 Ave NW,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Business Services; Credit Cards; Buffet; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Takeout,Edmonton,AB,T6E 6P4,Canada,,,,,,,,(780) 430-0838,,Japanese,$$,Smoked Salmon; Seafood; Sashimi; Sushi; Chicken; Ramen; Noodles,Facebook Pixel; Fantuan; Oracle GloriaFood; Skip the Dishes; Arrow; Google Maps; FoodBooking; GlobalFood; DoorDash; Uber Eats
69830,2213 CentrT2E 2,1191c68a06b96765,Centre Street Japanese Hotpot,2213 Centre St N,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; Contactless Delivery; Catering; Debit Cards; Dine-in; Takeout,Calgary,AB,T2E 2T4,Canada,,,,,,,2014.0,(403) 455-3188,,Japanese,$$,Smoothies; Hot Pot,Fantuan; Skip the Dishes; DI develop; DoorDash
