EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Matching Address?,Updated Address,Business Phone
80001,*^TRAINING 2,9340 SW 56 St,FL,3055966288,3053239681,,new,Y,no,9340 SW 56th St,(305) 596-6288
Commerce Twp R88332,EASTERN,1233 Grant Ave,NY,7182935194,9174027566,,open,N,no
Dublin R88316,CHINA HOUSE,7419 Memphis Ave,OH,2163518888,,,open,N,no
G82896,OISHI JAPANESE FOOD(GREENDOT TESTING),2526 67th Ave Loop,MS,9172852220,,,new,N,no
G82991,AOMI SUSHI (Greendot testing),3717 Airport Blvd NW,NC,9172852220,3042808033,,new,Y,yes,3717 Airport Blvd NW,(252)674-7686
G83113,CHEN SEAFOOD(GREENDOT TESTING),449 E Mills Ave,LA,9172852220,,,new,Y,yes,449 E Mills Ave,(337) 442-6595
G88752,CHINA GOURMET (GREENDOT TESTING),"15275 Collier Blvd.,",FL,9172852220,,,new,Y,no,15275 Collier Blvd,(239) 352-0441
G88956,YUAN YUAN(GREENDOT TESTING),1010 W Broadway Ave,MN,9172852220,,,new,Y,yes,1010 W Broadway Ave,(612)302-8888
N,WOK N ROLL,9542 Argyle Forest Blvd,FL,9044256999,,(904) 425-6999,open,Y,yes,9542 Argyle Forest Blvd,(904) 425-6999
N,China Wok,175 E. Alex-Bell Rd,OH,9374285858,9292719006,,open,Y,no,175 E Alex Bell Rd,(937) 428-5858
R80000,*TRAINING DGT*,"3033 Monument Rd,",FL,9046464200,9173657881,,new,Y,no,3033 Monument Rd,(904) 646-4200
R81001,BEST FOOD IN TOWN,325 E Jimmie Leeds Rd,NJ,6096528322,,,open,Y,yes,325 E Jimmie Leeds Rd,(609) 652-8322
R81002,PANDA HOUSE,853 Briley Pkwy,TN,6153668885,,,open,Y,yes,853 Briley Pkwy,(615) 366-8885
R81007,*LITTLE BASIL*,906 Conestoga Road,PA,6105254210,,,open,Y,no,906 Conestoga Rd,(610)525-4210
R81008,TASTY,1234 Farmington Ave,CT,8605215288,,,open,Y,yes,1234 Farmington Ave,(860) 521-5288
R81009,CHINA KING,1759 Lexington Ave,NY,2124102838,9294353904,,open,Y,yes,1759 Lexington Ave,(212) 410-2838
R81013,GREAT WALL,25 TAYLOR SQUARE,NY,9146815128,,,open,Y,no,25 Taylor Sq,(914)681-5128
R81016,CHINA KING,2003 N. Market Street,DE,3029840408,3028881688,,open,Y,no,2003 N Market St,(302)984-0408
R81018,CHINA GARDEN,15 S Main Street,PA,5708228086,,,open,Y,no,15 S Main St,(570)822-8086
R81019,CHINA KING,1732 N. Keyser Ave,PA,5705589558,,,open,Y,no,1732 N Keyser Ave,(570)558-9558
R81021,FENG'S KITCHEN,1840C Meadow Ln,WI,2625441998,2625273996,,open,Y,no,1840 Meadow Ln,(262)544-1998
R81022,NEW DE XING,225-21 Merrick Blvd.,NY,7189783496,,,open,Y,no,225-21 Merrick Blvd,(718)978-3496
R81023,MANDARIN TASTE,"6805 York Road, Suite B",MD,4103772500,,,open,Y,no,6805 York Rd,(410)377-2500
R81026,NEW GOLDEN GARDEN,1062 Motor Parkway,NY,6312329888,6468237123,,open,Y,no,1062 Motor Pkwy,(631) 232-9888
R81028,CHINA WOK,3431 Boston Rd,NY,7186527931,,,open,Y,yes,3431 Boston Rd,(718) 652-7931
R81029,HONG KONG,5350 Summit Bridge Rd,DE,3023789127,,,open,Y,yes,5350 Summit Bridge Rd,(302) 378-9127
R81031,CHINA KING,25637 Canal Rd,AL,2512241888,,,open,Y,yes,25637 Canal Rd,(251) 224-1888
R81033,CHAI HWA,3762 White Plains Rd,NY,7182313306,,,open,N,no
