Check Map,Check B#,Check M#,Snowball Map,Group,brizo_id,Mapping,Name,First Seen,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact LinkedIn,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Vitality Score,Reputation Score,Technology Vendors
-,-,-,37341,Group C,000243c264f11715,3206 Grand33133,Minty Z,10/25/2020,3206 Grand Ave,Miami,FL,33133,United States,Alex,Falco,,(786)409-7151,1,servicedirectory494@gmail.com,Chinese,$$,,,Bentobox; EatLocal; DoorDash; OpenTable; Uber Eats
-,-,-,37342,Group C,00093eaf976cbbe0,8412 N Arm33604,China Wok,3/1/2020,8412 N Armenia Ave,Tampa,FL,33604,United States,Johnny,Wong,,(813)933-8191,1,,Chinese,$,,,Google Maps; Uber Eats
-,-,-,37343,Group C,000faf1d085e5299,4709 E Sou85042,China Restaurant,3/1/2020,4709 E Southern Ave,Phoenix,AZ,85042,United States,Pung,Chan,,(602)431-9189,1,info@chinarestaurantaz.com,Chinese,$,,,Google Analytics; Grubhub; Squarespace; Chinese Menu Online; Apple Pay; MailChimp; BeyondMenu; Google Maps; Opencart; Uber Eats; DoorDash
-,-,-,37344,Group C,001402d688f359ba,17860 SE 134491,Fuji Japanese Steakhouse,3/1/2020,17860 SE 109th Ave,Summerfield,FL,34491,United States,John,McKinney,,(352)347-6119,1,,Japanese,$$,,,
-,-,-,37345,Group C,0026c52a91255f3b,16725 E Av85268,Oka Sushi,3/1/2020,16725 E Avenue of the Fountains,Fountain Hills,AZ,85268,United States,,,,(480)837-5575,0,oka.sushi.fountainhills@gmail.com,Japanese,$$,,,Wix Restaurants; Grubhub; DoorDash; Uber Eats
-,-,-,37346,Group C,002ab4c7b86738ff,217 Duval 33040,Stinkin Crawfish,3/17/2021,217 Duval St,Key West,FL,33040,United States,,,,(305)440-2436,0,info@stinkincrawfish.com,Creole; Caribbean; Cajun,$$,,,Google Analytics; OpenTable; Postmates; Wix Restaurants; Eventbrite; Caviar; Uber Eats; DoorDash
-,-,-,37347,Group C,003ad7d5d827a550,5322 Kelly33615,New Bamboo Express,3/1/2020,5322 Kelly Rd,Tampa,FL,33615,United States,,,,(813)888-8989,0,info@newbambooexpresstampa.com,Japanese; Chinese,$,,,Chinese Menu Online; EatStreet; Apple Pay; Seamless; MailChimp; Caviar; Google Analytics; Grubhub; MenuPages; Squarespace; Postmates; Google Maps; BeyondMenu; Opencart; Uber Eats; DoorDash
-,-,-,37348,Group C,00426bdb81de52fa,2320 Apala32301,Pho Me Vietnamese Noodle Bar,3/1/2020,2320 Apalachee Pkwy,Tallahassee,FL,32301,United States,,,,(850)597-9051,0,phomenoodlebar@gmail.com,Japanese; Vietnamese; Chinese; Thai,$,,,Facebook Pixel; WooCommerce; BiteSquad; Google Maps; Uber Eats; DoorDash; Postmates
-,-,-,37349,Group C,0043b1364f35c396,3868 N Uni33351,INACTIVE BIZ DO NOT CHANGE,3/1/2020,3868 N University Dr,Fort Lauderdale,FL,33351,United States,,,,(786)973-5555,0,,Japanese,$,,,ezCater; DoorDash; Uber Eats
-,-,-,37350,Group C,0048558069b6dc7e,3715 E Bus33612,China Latina,3/1/2020,3715 E Busch Blvd,Tampa,FL,33612,United States,Guozhang,Huang,,(813)868-3228,1,77919192@qq.com,Chinese,$,,,Google Maps
