Created Date,Lead Source,Mobile - Primary,Business Phone,Street,Zip/Postal Code,State/Province (text only),Company / Account,Lead Status,Lead Owner,Unqualified Reason,Converted Date,Opportunity Name,Oppt Close Date,Oppt Close Date
10/31/2022,Telemarketer,(917) 982-4235,(860) 445-8889,26-28 Eastern Point Rd,6340,CT,China Express R83856,Converted,Jiaxin Chen,Current Client,11/6/2022,China Express-,11/17/2022,11/17/2022
10/31/2022,Telemarketer,(608) 322-2103,(608) 758-4085,1902 W COURT ST,53548,WI,NEW KING WOK R83865,Converted,Jiaxin Chen,Current Client,11/8/2022,NEW KING WOK-,11/19/2022,11/19/2022
11/8/2022,Telemarketer,(917) 669-0108,(262) 255-8188,W 186 N9519 Bancroft Drive,53051,WI,Chinatown kitchen R83858,Converted,Jessica Wang,Current Client,11/8/2022,Chinatown kitchen-,11/17/2022,11/17/2022
10/31/2022,Telemarketer,(917) 680-8089,(304) 725-8868,60 PATRICK HENRY WAY,25414,WV,CHINA FORTUNE R83857,Converted,Ailin Li,Current Client,11/8/2022,CHINA FORTUNE-,11/23/2022,11/23/2022
10/31/2022,Marketing Inbound,(347) 981-8670,(281) 972-0066,13500 W. Airport Blvd,77498,TX,Ming R83901,Converted,Jessica Wang,Current Client,11/8/2022,Ming,12/8/2022,12/8/2022
11/8/2022,Marketing Inbound,(917) 562-8585,(212) 825-0314,"77 Pearl St #3, New York, NY 10004",10004,NY,Super Golden Chopsticks R83863,Converted,Yaning Wang,Current Client,11/9/2022,Super Golden Chopsticks-,12/30/2022,12/30/2022
10/31/2022,Telemarketer,(407) 868-2328,(407) 522-9896,6433 Raleigh St,32835,FL,China Grill R83871,Converted,Jiaxin Chen,Current Client,11/9/2022,China Grill-,11/21/2022,11/21/2022
10/31/2022,Telemarketer,(608) 333-7205,(608) 838-9188,4850 LARSON BEACH RD,53558,WI,MAIN MOON R83872,Converted,Jessica Wang,Current Client,11/12/2022,6083337205-Ms.郑,11/22/2022,11/22/2022
10/31/2022,Telemarketer,(646) 339-3810,(910) 370-0470,2743 W 5TH ST,28358,NC,CHINA GARDEN R83876,Converted,Jiaxin Chen,Current Client,11/14/2022,CHINA GARDEN-,11/30/2022,11/30/2022
10/31/2022,Marketing Inbound,(917) 349-9881,(585) 458-8810,353 LEXINGTON AVE,14613,NY,Min's Chinese R83951,Converted,Ailin Li,Current Client,11/15/2022,9173499881-Ms. 郑-送餐-,12/12/2022,12/12/2022
10/31/2022,Telemarketer,(720) 206-7034,(720) 600-0579,1104 Francis St,80501,CO,Luu's Asian Cuisine R83879,Converted,Jessica Wang,Current Client,11/16/2022,Susan-7202067034,11/27/2022,11/27/2022
10/31/2022,Marketing Inbound,(917) 657-1689,(616) 355-2728,226 N River Avenue,49424,MI,Great Wall R83885,Converted,Jessica Wang,Current Client,11/16/2022,Mr.吴,11/30/2022,11/30/2022
10/31/2022,Marketing Inbound,(239) 297-7722,(239) 693-6688,14630 PALM BEACH BLVD # 4,33905,FL,CHINA CITY R83887,Converted,Jessica Wang,Current Client,11/17/2022,Mr.郑,11/30/2022,11/30/2022
11/17/2022,AE Sourced,(917) 254-0047,217-525-7777,2703 N. Dirksen Pkwy,62702,IL,Thai Basil R83888,Converted,Jessica Wang,Current Client,11/17/2022,Sherry,11/29/2022,11/29/2022
11/18/2022,Marketing Inbound,(408) 833-3330,(408) 287-1688,1455 Bird Avenue,95125,CA,Great Wall restaurant R83896,Converted,Yaning Wang,Current Client,11/18/2022,Great Wall (LA)-,11/30/2022,11/30/2022
11/18/2022,Marketing Inbound,(208) 830-4921,(208) 376-2828,8630 W OVERLAND RD,83709,ID,Lucky Palace R83895,Converted,Wonders Lead queue,Current Client,11/18/2022,Lucky Palace-,11/29/2022,11/29/2022
10/31/2022,Telemarketer,(917) 856-8798,(904) 425-6999,9542 ARGYLE FOREST BLVD #13,32222,FL,Wok N Roll R88995,Converted,Ailin Li,Current Client,11/21/2022,WOK N ROLL-,11/29/2022,11/29/2022
10/31/2022,Telemarketer,(305) 323-9681,(305) 596-6288,9340 SW 56TH ST,33165,FL,CHINA WOK R83909,Converted,Ailin Li,Current Client,11/21/2022,CHINA WOK-,11/30/2022,11/30/2022
10/31/2022,Telemarketer,(678) 979-6788,(706) 216-2017,837 GA-400 #115,30534,GA,CHIN CHIN CHINESE RESTAURANT R83971,Converted,Jiaxin Chen,Current Client,11/21/2022,CHIN CHIN CHINESE RESTAURANT-,12/19/2022,12/19/2022
11/22/2022,AE Sourced,(917) 362-8287,（803）735-8601,331 #B 4 Killian Rd.,29203,SC,China Dragon Star R83906,Converted,Jessica Wang,Current Client,11/22/2022,Ms.欧,12/7/2022,12/7/2022
10/31/2022,Telemarketer,(347) 993-7593,(804) 732-8818,3301 S CRATER RD,23805,VA,A HIBACHI R83912,Converted,Ailin Li,Current Client,11/25/2022,A HIBACHI-,12/5/2022,12/5/2022
10/31/2022,Marketing Inbound,(612) 840-0633,(952) 431-9998,1062 County Rd. 42E,55337,MN,Golden Wok R83919,Converted,Ailin Li,Current Client,11/26/2022,Golden Wok-,9/26/2023,9/26/2023
10/31/2022,Marketing Inbound,(917) 325-1997,(618) 281-8888,1240 Columbia Centre Columbia,62236,IL,China Star R83926,Converted,Jessica Wang,Current Client,11/29/2022,Mr.潘,12/17/2022,12/17/2022
10/31/2022,Marketing Inbound,(646) 203-5266,(919) 419-8800,3515 Witherspoon Boulevard,27707,NC,Peony Asian Bistro R83927,Converted,Yaning Wang,Current Client,11/30/2022,Peony Asian Bistro-,12/14/2022,12/14/2022
10/31/2022,Marketing Inbound,(904) 240-2044,(770) 717-9295,4024 LAWRENCEVILLE HWY,30047,GA,Panda Chinese Restaurant R83936,Converted,Yaning Wang,Current Client,12/1/2022,7707179295-Mr.王-送餐-,12/9/2022,12/9/2022
10/31/2022,Channel Partner,(702) 885-8188,(702) 880-8818,11710 W CHARLESTON BLVD,89135,NV,China A Gogo (11710 w charleston) R83935,Converted,Wonders Lead queue,Current Client,12/1/2022,China A Gogo - (11710 w charleston),1/13/2023,1/13/2023
10/31/2022,Marketing Inbound,(914) 282-8887,(914) 232-2368,138 Bedford Rd,10536,NY,Peking City R88695,Converted,Jessica Wang,Current Client,12/2/2022,Ms.陈,7/14/2018,7/14/2018
10/31/2022,Marketing Inbound,(704) 877-7470,(704) 876-9950,608 Turnersburg Hwy A,28625,NC,Grow Green R83966,Converted,Ailin Li,Current Client,12/3/2022,Grow Green-,12/17/2022,12/17/2022
10/31/2022,AE Sourced,(913) 233-6211,(816) 461-3564,1020 South Sterling Ave.,64054,MO,LAO PEKING CHINESE RESTAURANT R83957,Converted,Jessica Wang,Current Client,12/4/2022,Ms.刘,12/15/2022,12/15/2022
10/31/2022,Marketing Inbound,(973) 678-3339,,458 Central Avenue,7018,NJ,Golden Dragon R83958,Converted,Yaning Wang,Current Client,12/5/2022,Golden Dragon-,12/21/2022,12/21/2022
12/7/2022,AE Sourced,(917) 656-8825,（276）466-8700,1301 Old Euclid Ctr.,24201,VA,Happy Star R83962,Converted,Jessica Wang,Current Client,12/7/2022,Ms.林,12/15/2022,12/15/2022
12/6/2022,Marketing Inbound,(901) 848-8883,(662) 584-2981,3903 N GLOSTER ST,38804,MS,Lobster King R83965,Converted,Wonders Lead queue,Current Client,12/7/2022,Johnny Chen,12/21/2022,12/21/2022
10/31/2022,Telemarketer,(917) 340-5252,(561) 998-9366,1906 CLINT MOORE RD,33496,FL,LUCKY EXPRESS R83982,Converted,Jiaxin Chen,Current Client,12/8/2022,LUCKY EXPRESS-,12/21/2022,12/21/2022
10/31/2022,Telemarketer,(239) 223-9255,(239) 573-9988,2522 SANTA BARBARA BLVD #306,33914,FL,CHINA EXPRESS II R83973,Converted,Jessica Wang,Current Client,12/8/2022,Ms.陈,12/21/2022,12/21/2022
10/31/2022,Marketing Inbound,(646) 886-0909,(603) 332-1000,24 SIGNAL ST,3867,NH,Dynasty Restaurant R83979,Converted,Ailin Li,Current Client,12/9/2022,Dynasty Restaurant-,2/1/2023,2/1/2023
10/31/2022,Marketing Inbound,(863) 326-0464,(863) 294-4993,1104 SPIRIT LAKE RD,33880,FL,Even Green R83992,Converted,Ailin Li,Current Client,12/12/2022,EVER GREEN-,1/4/2023,1/4/2023
12/5/2022,Marketing Inbound,(929) 666-9009,(918) 537-2098,407 N. York Street Suite C,74403,OK,Sakura Ramen R83998,Converted,Ailin Li,Current Client,12/14/2022,9296669009 -Rain-JP 來取-,3/3/2023,3/3/2023
10/31/2022,Telemarketer,(941) 302-5138,(941) 727-9060,8756 E STATE RD 70,34202,FL,SUNNY WOK R85161,Converted,Jiaxin Chen,Current Client,12/15/2022,Sunny Wok,2/22/2023,2/22/2023
10/31/2022,Marketing Inbound,(203) 482-7265,(860) 927-4809,1 Landmark Ln.,6757,CT,Shang Hai R83996,Converted,Jessica Wang,Current Client,12/15/2022,Ms.张,12/28/2022,12/28/2022
