Restaurant ID,Account Name,Account: Business Phone,Mobile - Primary,Billing Street,Billing Zip/Postal Code,Billing State/Province (text only)
R83826,China Wok R83826,(317) 392-8889,(917) 553-8557,1615 E Michigan Rd.,46176,IN
R83822,Golden Dragon R83822,(803) 485-2980,(929) 386-8858,102 Main Street,29148,SC
R83829,Akira R83829,(202) 588-1510,(646) 552-8558,2479 18 St NW,20009,MD
R83828,Mizu R83828,(228) 813-5104,(228) 313-5708,11515 Hwy 49,39503,MS
R83837,Dundalk R83837,(646) 255-3091,(443) 564-5685,2031 Merritt Avenue,21222,MD
R83831,China Gate R83831,-,(917) 601-9851,5824 N Wayne Rd,48185,MI
R83836,China Wok R83836,(516) 637-3335,(678) 779-1178,2475 Jefferson Rd,30607,GA
R83832,China King R83832,(347) 606-5958,(347) 606-5959,1105 East Michigan Ave,49201,MI
R83833,Panda House R83833,(706) 847-5004,(706) 217-7766,3925 Cleveland Hwy,30721,GA
R83835,China Brother R83835,(407) 854-0886,(407) 360-5746,2087 Town Center Blvd,32837,FL
R83783,China King R83783,(859) 252-2449,(859) 539-5642,1497 Alexandria Dr,40504,KY
R83838,Hot Work R83838,(419) 683-4288,(917) 517-2333,402 E. Main St.,44827,OH
R86709,Hunan Delight R86709,(215) 245-1999,(267) 267-5068,2066 Street Rd,19020,PA
R83839,China House R83839,(636) 456-5998,(929) 920-8896,1018 N Hwy 47,63383,MO
R83897,*HONG KONG* R83897,(914) 576-7979,(407) 242-9600,418 Pelham Rd,10805,NY
R83851,China Wok R83851,(954) 613-7678,(954) 505-6158,1618 Sheridan St,33020,FL
R83852,Bamboo Wok R83852,(239) 417-9988,(646) 249-6711,8595 Collier Blvd,34114,FL
R83853,Cathay House R83853,(254) 776-1072,(405) 712-2633,825 Wooded Acres Dr,76710,TX
R83856,China Express R83856,(860) 445-8889,(917) 982-4235,26-28 Eastern Point Rd,6340,CT
R83855,Joy Luck R83855,(302) 834-2409,(302) 250-0089,570 Peoples Plaza,19702,DE
R83862,Great Wall R83862,(608) 784-8777,(608) 738-1001,322 Main St,54601,WI
R83899,Sichuan Cottage R83899,(917) 647-8744,(646) 288-5112,8 s. main street,7746,NJ
R83865,NEW KING WOK R83865,(608) 758-4085,(608) 322-2103,1902 W COURT ST,53548,WI
R83859,Golden Garden R83859,(973) 666-3672,(646) 270-9231,317 Central Ave,7018,NJ
R83858,Chinatown kitchen R83858,(262) 255-8188,(917) 669-0108,W 186 N9519 Bancroft Drive,53051,WI
R83857,CHINA FORTUNE R83857,(304) 725-8868,(917) 680-8089,60 PATRICK HENRY WAY,25414,WV
R83901,Ming R83901,(281) 972-0066,(347) 981-8670,13500 W. Airport Blvd,77498,TX
R83863,Super Golden Chopsticks R83863,(212) 825-0314,(917) 562-8585,"77 Pearl St #3, New York, NY 10004",10004,NY
R83861,Happy Wok R83861,(254) 224-6936,(917) 345-1188,1910 Park Lake Dr,76708,IN
R83871,China Grill R83871,(689) 239-2601,(407) 868-2328,6433 Raleigh St,32835,FL
R83866,Best Taste Asian R83866,(908) 369-6988,(917) 519-1584,378 S Branch Rd,8844,NJ
R83867,Jade Dragon R83867,(212) 534-6399,(917) 361-0786,2037 1st Ave.,10029,NY
R83868,Fortune Cookie R83868,(315) 738-0088,(929) 655-6888,4456 COMMERCIAL DR,13413,NY
R83869,YUM YUM R83869,(718) 370-1000,(917) 536-3868,1778 Forest Ave,10303,NY
R83872,MAIN MOON R83872,(608) 838-9188,(608) 333-7205,4850 LARSON BEACH RD,53558,WI
R83873,Hunan House R83873,-,(201) 616-1775,382 Summit Avenue,7306,NJ
R83875,China One R83875,(304) 842-9898,(304) 629-3620,111 E Main St.,26330,WV
R81618,China Kitchen R81618,(305) 448-6561,(917) 293-8813,4303 NW 7th St,33126,FL
R83876,CHINA GARDEN R83876,(910) 370-0470,(646) 339-3810,2743 W 5TH ST,28358,NC
R83907,*^KAEDE HIBACHI^* R83907,(772) 877-3729,(772) 251-9207,3235 SW Port St Lucie Blvd,34953,FL
R83877,Wing On R83877,(765) 644-9100,(626) 428-4302,2320 S Scatterfield Rd,46016,IN
R83886,Hibachi Express R83886,(347) 548-4224,(347) 258-8966,220 -11 Linden Blvd,11411,NY
R83878,Eastern Chinese R83878,(910) 298-2387,(317) 908-1564,118 Crossover Rd,28518,NC
R83951,Min's Chinese R83951,(585) 458-8810,(917) 349-9881,353 LEXINGTON AVE,14613,NY
R83879,Luu's Asian Cuisine R83879,(720) 600-0579,(720) 206-7034,1104 Francis St,80501,CO
R83882,Yang's Kitchen R83882,(347) 755-1010,(843) 568-1177,3691 Ladson Road,29456,SC
R83881,Great Wall R83881,(407) 957-8882,(407) 433-3609,4433 13 St,34769,FL
R83937,Hong Kong R83937,(973) 373-0668,(718) 501-4303,"514-520 Stuyvesant Ave.,",7111,NJ
R86261,Joy Luck R86261,(386) 426-0797,(646) 436-9051,2966 South Ridgewood Avenue,32141,FL
R83885,Great Wall R83885,(616) 355-2728,(917) 657-1689,226 N River Avenue,49424,MI
R83883,Top's China R83883,(804) 328-2271,(917) 225-8370,68 South Airport Dr.,23075,VA
R83887,CHINA CITY R83887,(239) 693-6688,(239) 297-7722,14630 PALM BEACH BLVD # 4,33905,FL
R83892,ZOU CHINESE & THAI R83892,(516) 837-3728,(917) 423-5566,252 Merrick Rd,11563,NY
R83888,Thai Basil R83888,(217) 525-7777,(917) 254-0047,2703 N. Dirksen Pkwy,62702,IL
R83889,Shang Hai Chinese Restaurant R83889,(610) 539-0108,(917) 601-3848,1930 West Main St,19403,PA
R83891,Panda R83891,(516) 223-2277,(516) 816-6737,193A Atlantic Ave,11520,NY
R83893,Golden Dragon R83893,(724) 662-1913,(347) 237-6881,244 N. Erie St.,16137,PA
R83896,Great Wall restaurant R83896,(408) 287-1688,(408) 833-3330,1455 Bird Avenue,95125,CA
R83895,Lucky Palace R83895,(208) 376-2828,(208) 830-4921,8630 W OVERLAND RD,83709,ID
R83898,China One R83898,(302) 836-9110,(917) 371-7601,1841 Pulaski Highway,19701,DE
R83905,China 1 R83905,(517) 279-9088,(517) 617-6298,373 North Willowbrook Rd,49036,MI
R88995,Wok N Roll R88995,(904) 425-6999,(917) 856-8798,9542 ARGYLE FOREST BLVD #13,32222,FL
R83909,CHINA WOK R83909,(305) 596-6288,(305) 323-9681,9340 SW 56TH ST,33165,FL
R83971,CHIN CHIN CHINESE RESTAURANT R83971,(706) 216-2017,(678) 979-6788,837 GA-400 #115,30534,GA
R83903,China Star R83903,(912) 232-4328,(917) 826-9995,1163 WHEATON ST,31404,GA
R83906,China Dragon Star R83906,(803) 735-3323/9919/8601,(917) 362-8287,331 #B 4 Killian Rd.,29203,SC
R83908,Wok & Roll R83908,(904) 646-4200,(917) 365-7881,3033 Monument,32225,FL
R83987,chopsticks house R83987,(973) 743-8282,(929) 392-6552,2 Bloomfield Ave.,7003,NJ
R83915,No. 1 R83915,(212) 304-2913,(646) 431-2632,4480 Broadway 192nd Street,10040,NY
R83911,New China House R83911,(352) 787-3384,(352) 989-6158,27615 U.S. HWY. 27 #111,34748,FL
R83917,CHOPSTICK EXPRESS R83917,(480) 831-6685,(602) 513-1890,939 E. Guadalupe Rd,85283,AZ
R83913,PANDA KING R83913,(718) 321-9292,(917) 855-5031,149-11 41st Ave.,11355,NY
R83912,A HIBACHI R83912,(804) 732-8818,(347) 993-7593,3301 S CRATER RD,23805,VA
