Created Date,Lead Source,Company / Account,Business Phone,Mobile - Primary,Street,Zip/Postal Code,State/Province (text only),Lead Status,Lead Owner,Unqualified Reason,Converted Date,Opportunity Name,Oppt Close Date
10/31/2022,Telemarketer,China Express R83856,(860) 445-8889,(917) 982-4235,26-28 Eastern Point Rd,6340,CT,Converted,Jiaxin Chen,Current Client,11/6/2022,China Express-,11/17/2022
10/31/2022,Telemarketer,NEW KING WOK R83865,(608) 758-4085,(608) 322-2103,1902 W COURT ST,53548,WI,Converted,Jiaxin Chen,Current Client,11/8/2022,NEW KING WOK-,11/19/2022
11/8/2022,Telemarketer,Chinatown kitchen R83858,(262) 255-8188,(917) 669-0108,W 186 N9519 Bancroft Drive,53051,WI,Converted,Jessica Wang,Current Client,11/8/2022,Chinatown kitchen-,11/17/2022
10/31/2022,Telemarketer,CHINA FORTUNE R83857,(304) 725-8868,(917) 680-8089,60 PATRICK HENRY WAY,25414,WV,Converted,Ailin Li,Current Client,11/8/2022,CHINA FORTUNE-,11/23/2022
10/31/2022,Marketing Inbound,Ming R83901,(281) 972-0066,(347) 981-8670,13500 W. Airport Blvd,77498,TX,Converted,Jessica Wang,Current Client,11/8/2022,Ming,12/8/2022
11/8/2022,Marketing Inbound,Super Golden Chopsticks R83863,(212) 825-0314,(917) 562-8585,"77 Pearl St #3, New York, NY 10004",10004,NY,Converted,Yaning Wang,Current Client,11/9/2022,Super Golden Chopsticks-,12/30/2022
10/31/2022,Telemarketer,China Grill R83871,(407) 522-9896,(407) 868-2328,6433 Raleigh St,32835,FL,Converted,Jiaxin Chen,Current Client,11/9/2022,China Grill-,11/21/2022
10/31/2022,Telemarketer,MAIN MOON R83872,(608) 838-9188,(608) 333-7205,4850 LARSON BEACH RD,53558,WI,Converted,Jessica Wang,Current Client,11/12/2022,6083337205-Ms.郑,11/22/2022
10/31/2022,Telemarketer,CHINA GARDEN R83876,(910) 370-0470,(646) 339-3810,2743 W 5TH ST,28358,NC,Converted,Jiaxin Chen,Current Client,11/14/2022,CHINA GARDEN-,11/30/2022
10/31/2022,Marketing Inbound,Min's Chinese R83951,(585) 458-8810,(917) 349-9881,353 LEXINGTON AVE,14613,NY,Converted,Ailin Li,Current Client,11/15/2022,9173499881-Ms. 郑-送餐-,12/12/2022
