Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score,Version
6231,19359f372803f9d5,open,Stix,3405 Lowery Pkwy,Fultondale,35068,Alabama,United States,Japanese,$$,65,2008,2058499677,,Nick Carpenter,Operations,Chinese,1.04,2
6232,980fde668269fd4b,possibly closed,Brick and Spoon,3662 Airport Blvd,Mobile,36608,Alabama,United States,"Creole, Caribbean, Cajun",$$,0,0,2517251522,alex.eaton@brickandspoonrestaurant.com,,,Chinese,1.36,2
6233,c5c43d7df6c60633,open,Stix,3250 Galleria Cir,Hoover,35244,Alabama,United States,Japanese,$$,56,1995,2059823070,,David Chen,,Chinese,0.69,2
6234,785dabe2ae0087f0,open,Ichiban Express,8835 US Highway 431,Albertville,35950,Alabama,United States,Japanese,$,36,0,2566602616,,,,Chinese,1.26,2
6235,1beaac61234b566e,open,Asian Garden,2488 Hillcrest Rd,Mobile,36695,Alabama,United States,Chinese,$$,35,2011,2516618338,,,,Chinese,1.2,2
6236,49028e5f8632d50a,open,Ninja,935 US Highway 72 E,Athens,35611,Alabama,United States,Japanese,$$,32,0,2569985088,,,,Chinese,0.97,2
6237,4a9b5f517d6a9a27,open,Dragon City,1250 S McKenzie St,Foley,36535,Alabama,United States,Chinese,$,41,2010,2519521688,,Hangyi Jhang,Owner,Chinese,1.49,2
6238,a1bfa7c6c61f0d1f,open,Wok Cuisine,27 Park Rd,Pleasant Grove,35127,Alabama,United States,Chinese,,78,0,2055185153,,,,Chinese,1.36,2
6239,18e9232f40ec0e94,open,New China Restaurant,1720 2nd Ave SW,Cullman,35055,Alabama,United States,Chinese,$,48,0,2567756999,,,,Chinese,1.46,2
6240,0c5ae602aa28f52f,open,Mandarin House,2430 US-43,Winfield,35594,Alabama,United States,Chinese,$$,72,1998,2054874449,info@mandarinhousewinfield.com,,,Chinese,1.6,2
