Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score,Version
23107,6d010f9fb9ba894d,open,Surin 280,16 Perimeter Park S,Birmingham,35243,Alabama,United States,Japanese,$$,61,2007,2059688161,willp@surinthai.com,,,Chinese,0.83,3
23108,f95f76bbb479a554,open,Mikata Japanese Steakhouse & Sushi Bar,1109 Boll Weevil Cir,Enterprise,36330,Alabama,United States,Japanese,$$,72,0,3344752409,,,,Chinese,0.8,3
23109,4e432d205438d9a3,open,Ming's Garden,1046 Main St,Gardendale,35071,Alabama,United States,Chinese,$$,31,1991,2056317746,,Ming Chow,Owner,Chinese,1.2,3
23110,31b26b10183a3b09,open,Hibachi Sushi Grill & Buffet,3903 Pepperell Pkwy,Opelika,36801,Alabama,United States,"Japanese, Chinese",$,56,2010,3347058616,,,,Chinese,1.54,3
23111,6bec7c1a34e08982,open,Panda Wok,3044 McGehee Rd,Montgomery,36111,Alabama,United States,Chinese,$,43,2012,3346494649,,James P,Owner,Chinese,1.7,3
23112,65c50ba9279ea998,open,Chongwah Express,1001 Rainbow Dr,Gadsden,35901,Alabama,United States,Chinese,$,31,1994,2565468442,,Hai Chung,Owner,Chinese,1.77,3
23113,a31762180466190e,open,Rice Asian Grill & Sushi Bar,3964 Government Blvd,Mobile,36693,Alabama,United States,Japanese,$$,48,2013,2038326911,riceasiangrillandsushibar@yahoo.com,,,Chinese,0.93,3
23114,b74b83d26e8245c6,open,Family Garden Chinese Restaurant,3916 US Highway 80 W,Phenix City,36870,Alabama,United States,Chinese,$,38,2005,3344484787,,Jade Badgett,,Chinese,1.49,3
23115,b4681051f72fd14c,open,Hibachi Joe's,3675 Montgomery Hwy,Dothan,36303,Alabama,United States,Japanese,,43,0,3344790207,hibachidothan@gmail.com,,,Chinese,1.11,3
23116,cb1388cb7d3f4acd,open,New China,819 E Glenn Ave,Auburn,36830,Alabama,United States,Chinese,$,39,1994,3348219995,,LI Guo Yang,Owner,Chinese,1.34,3
23117,0fa9684b019c7738,open,China Chef Restaurant,27955 US-98,Daphne,36526,Alabama,United States,Chinese,$,54,2000,2516266188,info@chinachefdaphne.com,,,Chinese,1.46,3
23118,c65b4e31da69d5b8,open,New China Restaurant,110 Sutton Bridge Rd,Rainbow City,35906,Alabama,United States,Chinese,$,27,1996,2564423767,,Peter Chen,,Chinese,1.49,3
23119,7d722694cb345d24,open,Tokyo Sushi and Hibachi,14001 Highway 43,Russellville,35653,Alabama,United States,Japanese,$$$,65,0,2562775054,,,,Chinese,0.97,3
23120,29521d1bc3ef0ef9,open,Osaka Sushi Bar,8860 Minnie Brown Rd,Montgomery,36117,Alabama,United States,Japanese,$$,58,2016,3342398205,,Kevin L,Owner,Chinese,1.04,3
23121,deebadb0a2af7669,open,Hot Wok Express,6570 AL-69,Tuscaloosa,35405,Alabama,United States,Chinese,$,36,2005,2057580148,,Lee Anni,,Chinese,1.49,3
23122,8cfa2b10b998b863,open,Banana Leaves,9035 Madison Blvd,Madison,35758,Alabama,United States,"Japanese, Chinese",$$$,74,0,2569333303,,,,Chinese,0.43,3
23123,268c4120ad159981,open,Wok N Roll,175 Inverness Plz,Birmingham,35242,Alabama,United States,Chinese,$,44,0,2055180868,,,,Chinese,1.17,3
23124,c36c78868e3636e8,open,Hunan Garden,1851 Montgomery Hwy S,Hoover,35244,Alabama,United States,Chinese,$,31,1983,2059879599,,Thu Wang,Owner,Chinese,1.2,3
23125,f100be02c440106e,open,Jin Jin Restaurant,621 Boll Weevil Cir,Enterprise,36330,Alabama,United States,Chinese,$,38,2001,3343935600,,Zhu Heng Qiang,Owner,Chinese,1.49,3
23126,07377211418b7c11,open,Mr Wang's Restaurant,217 Lakeshore Pkwy,Homewood,35209,Alabama,United States,Chinese,$,54,1998,2059459000,bubbawang@ilovemrwangs.com,,,Chinese,1.6,3
