Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score,Version
35640,1fb8003b07a65eb8,possibly closed,Dothan Ice Cream Company dba Stix & Cones (Nov. 2018),150 N Foster St,Dothan,36303,Alabama,United States,Japanese,$$,0,2015,3343050111,brett@dothanicecream.com,,,Unknown,1.11,3
35641,9840cbf31306864d,open,Brick & Spoon Tuscaloosa,2318 4th St,Tuscaloosa,35401,Alabama,United States,"Creole, Caribbean, Cajun",$$,76,0,2053455551,contact@brickandspoon.com,,,Unknown,1.53,3
35642,bc9f6e75dbf7b2d6,open,Cajun Steamer Bar & Grill,3151 Green Valley Rd,Birmingham,35243,Alabama,United States,"Creole, Caribbean, Cajun",$$,78,0,2054908438,,,,English,1.21,3
35643,7d7e06583e7922ba,open,Tokyo Sushi Hibachi and Asian,41208 US-280,Sylacauga,35150,Alabama,United States,Japanese,$$,48,0,2563691653,,,,English,1.11,3
35644,55a2139c19c38817,open,Tokyo Japan Hibachi and Sushi,109 E Willow St,Scottsboro,35768,Alabama,United States,Japanese,$,67,0,2562591100,ddmc.brightowl@gmail.com,,,English,1.37,3
35645,73917fb5bff530f7,open,Cajun Nation Seafood Market And Restaurant,24996 Cowpen Creek Rd,Robertsdale,36567,Alabama,United States,Cajun,,15,0,,,,,Unknown,1.1,3
35646,930bf311a882710f,open,Mr. Chen's Authentic Chinese Cooking & Oriental Market,514 14th St,Tuscaloosa,35401,Alabama,United States,Chinese,$$$,54,2012,2053436889,,Thomas Chen,General,English,1.49,3
35647,76509b9e301e9580,open,Aloha Ramen House,1591 Hughes Rd,Madison,35758,Alabama,United States,Japanese,$$$,63,0,2569457480,,,,Unknown,0.43,3
35648,6cc356db0733afb1,open,Cajun Seafood House,2531 Rocky Ridge Rd,Vestavia Hills,35243,Alabama,United States,"Creole, Cajun",$$,72,2014,2058237395,jduran026@yahoo.com,,,English,1.24,3
35649,a7b1c6412d0dc70e,open,Thai Basil & Sushi,445 Main St,Trussville,35173,Alabama,United States,"Japanese, Thai",$$,45,0,2055371133,nayauburn@hotmail.com,,,Unknown,0.4,3
35650,1e96c8b415b13573,open,Big Fish Restaurant & Bar,25814 Canal Rd,Orange Beach,36561,Alabama,United States,"Japanese, Thai",$$,76,2009,2519815516,bigfishrestaurantbar@gmail.com,,,Unknown,0.86,3
35651,a2a6c620b5d33ad5,open,THAI BASIL SUSHI II,1402 University Blvd,Tuscaloosa,35401,Alabama,United States,"Japanese, Thai",$$$,38,0,2057527970,,,,Unknown,0.86,3
35652,baac46501e521965,open,Sakura Cafe,7357 Theodore Dawes Rd,Theodore,36582,Alabama,United States,Japanese,$,34,0,2516533696,,,,English,1.33,3
35653,6e48f1e383ebf152,open,219,219 Conti St,Mobile,36602,Alabama,United States,"Caribbean, Cajun",$$,58,0,2514385234,,,,English,1.57,3
35654,ed7cde627c42fdaf,open,Yummy Yaki,7721 Airport Blvd,Mobile,36608,Alabama,United States,"American, Japanese",$$$,84,0,2514089499,,,,Unknown,1.03,3
35655,9bc5733bcc338738,open,Crawfish Warehouse,1825 6th Ave S,Jasper,35501,Alabama,United States,"Creole, Cajun",,47,0,2052652205,crawfishwarehouse@gmail.com,,,Unknown,1.5,3
35656,f3a89d25f1955129,open,Sakana Sushi Bar & Grill,1944 Hoover Ct,Hoover,35226,Alabama,United States,Japanese,$$$,74,0,2058482270,,,,Unknown,0.43,3
35657,3e54a50b70170bee,open,Zheng's Garden Chinese Restaurant,135 Plaza Ln,Oxford,36203,Alabama,United States,"Chinese, Thai",$,67,2006,2568310678,k6jenifer@gmail.com,,,English,1.6,3
35658,c0505b6b98e659de,open,Golden Gate Chinese Restaurant,1725 Ashville Rd,Leeds,35094,Alabama,United States,Chinese,$,65,2002,2056998802,info@goldengateleeds.com,,,English,1.67,3
35659,579c26c64f6170e2,open,Cajun's Seafood,4301 N Jackson Hwy,Sheffield,35660,Alabama,United States,"Creole, Cajun",$$,35,1981,2563811573,,Randle Perkins,Owner,English,1.56,3
35660,66f71d9f75336276,open,Sushi Fresh,9533 Vaughn Rd,Pike Road,36064,Alabama,United States,Japanese,,61,0,3344168098,,,,Unknown,0.84,3
35661,30d08d0a540f735b,open,Cajun Crab,1000 Eastdale Cir,Montgomery,36117,Alabama,United States,"Creole, Caribbean, Cajun",,30,0,3345933666,,,,Unknown,1.31,3
35662,237798408fd64649,open,Wasabi,1103 Columbus Pkwy,Opelika,36804,Alabama,United States,Japanese,$,48,2013,3347375558,,,,Unknown,1.43,3
35663,bc344aba6e12e37d,open,Sakura Hibachi Sushi,1317 Main St,Greensboro,36744,Alabama,United States,Japanese,,20,0,2052398627,,,,Unknown,1.13,3
35664,99c8b6fb1f525cd0,open,Wings Plus 3,437 Green Springs Hwy,Birmingham,35209,Alabama,United States,"American, Cajun",$,63,2007,2059426490,,Freddy Jarsi,Owner,Unknown,1.67,3
35665,c982f3801b501657,open,Isshin Asian Cafe,815 Pelham Rd S,Jacksonville,36265,Alabama,United States,Japanese,$$,45,2013,2564359940,info@isshinjacksonville.com,,,English,1,3
35666,db389662ece44a59,open,HAPPY DRAGON,100 Hampton Dr,Calera,35040,Alabama,United States,"Japanese, Chinese",$$$,27,0,2056908028,,,,English,0.69,3
35667,6a336a5151fb1896,open,MK's Asian Kitchen,2490 Enterprise Dr,Opelika,36801,Alabama,United States,Chinese,$,37,2007,3347496989,,Shiah Gan,General,English,1.77,3
35668,049cce50f579712a,open,Jude's Grill,1535 Hackberry Ln,Tuscaloosa,35401,Alabama,United States,Japanese,,31,0,2054753434,,,,Unknown,1.09,3
35669,2890946d1f62ca21,open,Yamato Steak House of Japan,105 Mountain St NW,Jacksonville,36265,Alabama,United States,Japanese,$$,76,2010,2567820588,dlin@uab.edu,,,English,1.14,3
35670,ab175b6e87ce6c05,open,AJ Hibachi Wings & Seafoods,1106 Highway 280 Byp,Phenix City,36867,Alabama,United States,Japanese,$$$,24,0,3345605215,,,,Unknown,0.86,3
35671,cb787538c02c7e55,open,Cajun Connection,400 Frisco St,Winfield,35594,Alabama,United States,Cajun,,36,0,2054870487,,,,English,1.39,3
35672,255f91a49af5ed78,open,JP & Son,1640 AL-77,Gadsden,35907,Alabama,United States,Cajun,$$$,48,0,2564565080,jpandsoncafe@gmail.com,,,Unknown,1.1,3
35673,7861547dd403c8f0,open,Poke Bowl Sushi Burritos and Boba,229 E 20th Ave,Gulf Shores,36542,Alabama,United States,"Hawaiian, Japanese",$$$,28,0,2516095004,,,,Unknown,0.54,3
35674,c38b0884cbff1909,open,Rice Box,1420 Waddell Dr,Huntsville,35806,Alabama,United States,Japanese,$$$,43,0,2567223802,info@riceboxal.com,,,English,0.43,3
35675,184892cb3d758e9a,open,Cajun Grill,2801 S Memorial Pkwy,Huntsville,35801,Alabama,United States,Cajun,$,34,0,2565347225,,Hyeok Pak,Owner,English,1.24,3
35676,5c180b5f382774ca,open,Cajun Corner,209 E Broad St,Eufaula,36027,Alabama,United States,"Caribbean, Cajun",$$,74,0,3346160816,info@thecajuncorner.com,,,English,1.57,3
35677,340adfa2828af020,open,Lai Lai Restaurant,1223 McFarland Blvd NE,Tuscaloosa,35406,Alabama,United States,Chinese,$,18,1998,2053452472,lailai.tuscaloosa@gmail.com,,,English,1.31,3
35678,5e586a98e295e1e2,open,Daruma Japanese Steak House,27955 US-98,Daphne,36526,Alabama,United States,Japanese,$$$,63,0,2516263828,,,,Unknown,0.54,3
35679,1c622b580f9c50b6,open,Pinto Thai,16712 Highway 280,Chelsea,35043,Alabama,United States,"Japanese, Thai",$$,40,2015,2056774207,pintothai@outlook.com,,,Unknown,0.57,3
35680,339df33858e2d774,possibly closed,Chin Chin,3449 Malcolm Dr,Montgomery,36116,Alabama,United States,Chinese,$,0,2011,3343949998,info@chinchinmg.com,,,English,1.67,3
35681,9619f8b0812479f1,open,Shiki Japanese Thai Sushi Bar,6521 Highway 69 S,Tuscaloosa,35405,Alabama,United States,"Japanese, Thai",$$,63,0,2053661177,,,,English,0.83,3
