Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score,Version
40934,2d972ab29835b508,open,Stix and Cones,123 N Foster St,Dothan,36303,Alabama,United States,Japanese,,58,0,3343050111,stix901@stixonline.com,,,Unknown,1.09,4
40935,78091e87dd592bd7,open,Cajun Steamer Bar & Grill,180 Main St,Hoover,35244,Alabama,United States,"Creole, Caribbean, Cajun",$$,68,2005,2059857785,jennahosemann@cajunsteamer.com,Jenna Hosemann,Sales & Marketing,English,1.1,4
40936,a17752ab31c3947f,open,Surin of Thailand,64 Church St,Mountain Brook,35213,Alabama,United States,Japanese,$$,44,2002,2058714531,,Surin Techaiakpong,Owner,Unknown,0.79,4
40937,7b5ca20c4360b7fe,open,Tim's Cajun Kitchen,114 Jordan Ln NW,Huntsville,35805,Alabama,United States,"Caribbean, Cajun",$$,34,1993,2565337589,timscajunkitchen@aol.com,,,English,1.56,4
40938,fdff3137bf91b2c1,open,Tokyo Japanese Steak and Sushi Bar,6521 Highway 69 S,Tuscaloosa,35405,Alabama,United States,Japanese,$$,30,1997,2053661177,,Tommy Lee,General,Unknown,0.86,4
40939,cbcbf960676156ef,open,FUKU RAMEN,210 Doug Baker Blvd,Birmingham,35242,Alabama,United States,Japanese,$$$,17,0,2057470557,,,,Unknown,0.43,4
40940,88d9ddbdf82e73c8,possibly closed,The Seafood King,1843 Montgomery Hwy S,Hoover,35244,Alabama,United States,"Creole, Cajun",$$,0,2018,2057773518,theseafoodking1843@gmail.com,,,English,0.96,4
40941,c9f986e7e88d6fa8,open,Rayza's Restaurant,9475 US Highway 90,Daphne,36526,Alabama,United States,"Korean, Japanese",$$$,72,0,2513832060,rayzarestaurant@gmail.com,,,Unknown,0.57,4
40942,0f285a710397aae5,open,Zen Asia,965 US Highway 80 W,Demopolis,36732,Alabama,United States,Japanese,$,7,0,3342871342,,,,English,1.23,4
40943,325b7840ba95ef77,open,Golden City - Columbiana,113 W College St,Columbiana,35051,Alabama,United States,Chinese,$$,34,0,2056715388,adrianwang1996@gmail.com,,,English,1.03,4
40944,cec873837ad7eb55,open,POKEMEN,2701 Frederick Rd,Opelika,36801,Alabama,United States,"Hawaiian, Japanese",$$,72,2019,3347376353,ychoi0227@gmail.com,,,English,1.23,4
40945,2f1bb9ed4695b973,open,Shu Shop,1820 3rd Ave N,Birmingham,35203,Alabama,United States,Japanese,$$,83,0,2052916660,shushopbham@gmail.com,,,English,1.04,4
40946,e8939dec8dd60c69,open,TJs Crawfish Shack,303 W Grand Ave,Rainbow City,35906,Alabama,United States,"Creole, Cajun",,32,0,2565533674,,,,English,1.21,4
