Check Map,Check B#,Check M#,Snowball Map,Group,Create Date,Mapping,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),Lead Source,Lead Channel,BusinessPhone,MobilePrimary
-,-,-,60435,Group B,10/31/2022,7434 43064,Wild Ginger Asian Fusion,7434 oh-161 east,Plain City,43064,OH,Telemarketer,Telemarketer,(614)389-8988
-,-,-,60436,Group B,10/31/2022,5230 43220,K House （小葵 家）,5230 bethel center mall,Columbus,43220,OH,Telemarketer,Telemarketer,(614)826-0019
-,-,-,60437,Group B,10/31/2022,9823 20740,Eddie's Cafe,9823 rhode island ave,College Park,20740,MD,Telemarketer,Telemarketer,(301)345-1791
-,-,-,60438,Group B,10/31/2022,3110 43221,Light Bulb Asian Cafe,3110 tremont rd,Upper Arlington,43221,OH,Telemarketer,Telemarketer,(614)914-8665
-,-,-,60439,Group B,10/31/2022,160 e43040,Stir Fresh Asian Canteen,160 emmaus rd,Marysville,43040,OH,Telemarketer,Telemarketer,(937)738-7117
-,-,-,60440,Group B,10/31/2022,1268 43147,Thai Paradise,1268 hill rd n,Pickerington,43147,OH,Telemarketer,Telemarketer,(614)920-6005
-,-,-,60441,Group B,10/31/2022,4400 43224,J Zhen Asian Bistro & Bar,4400 karl rd,Columbus,43224,OH,Telemarketer,Telemarketer,(614)447-8862
-,-,-,60442,Group B,10/31/2022,201 s21701,Quickway Hibachi,201 shorebird st,Frederick,21701,MD,Telemarketer,Telemarketer,(301)663-1318
-,-,-,60443,Group B,10/31/2022,700 c43205,Koco Asian foods,700 children's dr,Columbus,43205,OH,Telemarketer,Telemarketer,(614)232-8888
-,-,-,60444,Group B,10/31/2022,2400 45805,Chopsticks Express,2400 elida rd,Lima,45805,OH,Telemarketer,Telemarketer,(567)712-6580
-,-,-,60445,Group B,10/31/2022,207 g13790,MAI THAI RESTAURANT,207 grand ave,JOHNSON CITY,13790,NY,Telemarketer,Telemarketer,(607)203-1619
-,-,-,60446,Group B,10/31/2022,3040 43616,China One Buffet,3040 navarre ave,Oregon,43616,OH,Telemarketer,Telemarketer,(567)315-8910
-,-,-,60447,Group B,10/31/2022,22 e 10965,KWAN THAI LLC,22 e central ave,PEARL RIVER,10965,NY,Telemarketer,Telemarketer,(845)735-5906
-,-,-,60448,Group B,10/31/2022,2509 43619,What The Fried Rice (WTF-R),2509 oregon rd,Northwood,43619,OH,Telemarketer,Telemarketer,(419)724-2370
-,-,-,60449,Group B,10/31/2022,134 n10801,ATIT THAI RESTAURANT,134 north ave,NEW ROCHELLE,10801,NY,Telemarketer,Telemarketer,(914)266-8352
-,-,-,60450,Group B,10/31/2022,47 me11726,THAI GREENLEAF INC,47 merrick rd,COPIAGUE,11726,NY,Telemarketer,Telemarketer,(631)789-8866
-,-,-,60451,Group B,10/31/2022,2595043551,Ya Ya Kitchen,25950 n dixie hwy #300,Perrysburg,43551,OH,Telemarketer,Telemarketer,(419)872-1900
-,-,-,60452,Group B,10/31/2022,2822 13211,THAI LOVE NY,2822 lemoyne ave,SYRACUSE,13211,NY,Telemarketer,Telemarketer,(315)928-5659
-,-,-,60453,Group B,10/31/2022,5927 43440,Crabby Joe's Dockside,5927 saylor st,Marblehead,43440,OH,Telemarketer,Telemarketer,(419)967-9055
-,-,-,60454,Group B,10/31/2022,4037 11714,KAZE SUSHI,4037 hempstead tpke,BETHPAGE,11714,NY,Telemarketer,Telemarketer,(516)644-5585
