Check Map,Check B#,Check M#,Snowball Map,Group,Create Date,Mapping,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),Lead Source,Lead Channel,BusinessPhone,MobilePrimary
-,-,-,65404,Group B,10/31/2022,404 8th st50009,Nomi's Asian Cuisine,404 8th st sw,Altoona,50009,IA,Telemarketer,Telemarketer,(515) 414-6792
-,-,-,65405,Group B,10/31/2022,223 welch 50014,Taste Place,223 welch ave,Ames,50014,IA,Telemarketer,Telemarketer,(515) 292-7719
-,-,-,65406,Group B,10/31/2022,315 w adam50801,Jade Garden,315 w adams st,Creston,50801,IA,Telemarketer,Telemarketer,(641) 782-2551
-,-,-,65407,Group B,10/31/2022,93 2nd st52241,Peking Buffet,93 2nd st,Coralville,52241,IA,Telemarketer,Telemarketer,(319) 333-1369
-,-,-,65408,Group B,10/31/2022,2015 e was52641,Jumbo Buffet,2015 e washington st,Mt Pleasant,52641,IA,Telemarketer,Telemarketer,(319) 385-2123
-,-,-,65409,Group B,10/31/2022,205 w 2nd 52761,Bobby's Asian Cuisine,205 w 2nd st,Muscatine,52761,IA,Telemarketer,Telemarketer,(319) 255-0561
-,-,-,65410,Group B,10/31/2022,208 s 2nd 50208,VIET-THAI TASTE LLC,208 s 2nd ave w,NEWTON,50208,IA,Telemarketer,Telemarketer,(641) 792-3912
-,-,-,65411,Group B,10/31/2022,1254 e 14t50316,BAN THAI RESTAURANT,1254 e 14th st,DES MOINES,50316,IA,Telemarketer,Telemarketer,(515) 262-4658
-,-,-,65412,Group B,10/31/2022,4100 unive50311,HUHOT MONGOLIAN GRILL,4100 university ave,DES MOINES,50311,IA,Telemarketer,Telemarketer,(515) 457-9090
-,-,-,65413,Group B,10/31/2022,1821 22nd 50266,EAT THAI  LLC,1821 22nd st ste 103,WEST DES MOINES,50266,IA,Telemarketer,Telemarketer,(515) 440-2075
-,-,-,65414,Group B,10/31/2022,6301 unive50613,HU HOT MONGLIAN GRILL,6301 university ave,CEDAR FALLS,50613,IA,Telemarketer,Telemarketer,(319) 553-1100
-,-,-,65415,Group B,10/31/2022,1233 4th s50677,GREAT DRAGON CHINESE REST,1233 4th st sw,WAVERLY,50677,IA,Telemarketer,Telemarketer,(319) 352-4006
-,-,-,65416,Group B,10/31/2022,2720 w loc52804,DRAGON PALACE,2720 w locust st ste b14,DAVENPORT,52804,IA,Telemarketer,Telemarketer,(563) 386-0967
-,-,-,65417,Group B,10/31/2022,3006 e 53r52807,HUHOT MONGOLIAN GRILL,3006 e 53rd st,DAVENPORT,52807,IA,Telemarketer,Telemarketer,(563) 359-0011
-,-,-,65418,Group B,10/31/2022,3721 state52722,TERIYAKI MADNESS,3721 state st,BETTENDORF,52722,IA,Telemarketer,Telemarketer,(563) 888-1187
-,-,-,65419,Group B,10/31/2022,1501 main 52632,PEKING BUFFET ZHENG LLC,1501 main st,KEOKUK,52632,IA,Telemarketer,Telemarketer,(319) 313-8821
-,-,-,65420,Group B,10/31/2022,1725 blair52302,NARA THAI CUISINE,1725 blairs ferry rd,MARION,52302,IA,Telemarketer,Telemarketer,(319) 389-4527
-,-,-,65421,Group B,10/31/2022,119 n main52641,PAD THAI  LLC,119 n main st,MOUNT PLEASANT,52641,IA,Telemarketer,Telemarketer,(319) 385-8520
-,-,-,65422,Group B,10/31/2022,725 mormon52246,PHAISPICE NOODLE HOUSE,725 mormon trek blvd,IOWA CITY,52246,IA,Telemarketer,Telemarketer,(319) 339-1999
-,-,-,65423,Group B,10/31/2022,122 e wash52240,OSAKA HOUSE,122 e washington st,IOWA CITY,52240,IA,Telemarketer,Telemarketer,(319) 338-9988
-,-,-,65424,Group B,10/31/2022,4565 south51106,TOKYO JPNESE STKHUSE SUSHI BAR,4565 southern hills dr,SIOUX CITY,51106,IA,Telemarketer,Telemarketer,(712) 224-2009
-,-,-,65425,Group B,10/31/2022,12871 univ50325,ZUZAP,12871 university ave,CLIVE,50325,IA,Telemarketer,Telemarketer,(515) 440-1144
-,-,-,65426,Group B,10/31/2022,4214 fleur50321,CHENG'S GARDEN - Permanently closed,4214 fleur dr suite 2,DES MOINES,50321,IA,Telemarketer,Telemarketer,(515) 953-6249
-,-,-,65427,Group B,10/31/2022,2916 e uni50317,CHINA HOUSE,2916 e university ave,DES MOINES,50317,IA,Telemarketer,Telemarketer,(515) 266-7000
-,-,-,65428,Group B,10/31/2022,624 w milw50588,CHINA HOUSE,624 w milwaukee ave,STORM LAKE,50588,IA,Telemarketer,Telemarketer,(712) 732-1676
-,-,-,65429,Group B,10/31/2022,140 s main52060,GREAT WALL,140 s main st,MAQUOKETA,52060,IA,Telemarketer,Telemarketer,(563) 652-5021
-,-,-,65430,Group B,10/31/2022,3521 singi51106,HUNAN PALACE,3521 singing hills blvd,SIOUX CITY,51106,IA,Telemarketer,Telemarketer,(712) 222-1022
-,-,-,65431,Group B,10/31/2022,624 12th a52401,PANDA LIN,624 12th ave se,CEDAR RAPIDS,52401,IA,Telemarketer,Telemarketer,(319) 826-6891
-,-,-,65432,Group B,10/31/2022,305 w 4th 50701,RED APPLE CHINESE RESTAURANT,305 w 4th st,WATERLOO,50701,IA,Telemarketer,Telemarketer,(319) 833-7299
-,-,-,65433,Group B,10/31/2022,2607 beave50310,RICE BOWL RESTAURANT - Permanently closed,2607 beaver ave,DES MOINES,50310,IA,Telemarketer,Telemarketer,(515) 255-0165
-,-,-,65434,Group B,10/31/2022,611 g ave50638,TASTY HOUSE CHINESE RESTAURANT,611 g ave,GRUNDY CENTER,50638,IA,Telemarketer,,(319) 825-1688
-,-,-,65435,Group B,10/31/2022,555 hwy 9652317,YANG CHOW WOK,555 hwy 965 s,NORTH LIBERTY,52317,IA,Telemarketer,Telemarketer,(319) 665-8788
-,-,-,65436,Group B,10/31/2022,2302 musca52240,CHINA WOK - Permanently closed,2302 muscatine ave,IOWA CITY,52240,IA,Telemarketer,Telemarketer,(319) 341-8828
-,-,-,65437,Group B,10/31/2022,2010 se de50021,China Buffet,2010 se delaware ave ste 240,Ankeny,50021,IA,Telemarketer,Telemarketer,(515) 963-9599
-,-,-,65438,Group B,10/31/2022,411 chestn50022,China Buffett,411 chestnut st,Atlantic,50022,IA,Telemarketer,Telemarketer,(712) 243-1688
-,-,-,65439,Group B,10/31/2022,201 4th st50440,Grand Buffet,201 4th st,Grafton,50440,IA,Telemarketer,,(218) 327-6093
-,-,-,65440,Group B,10/31/2022,1419 lake 50588,China One,1419 lake ave,Storm Lake,50588,IA,Telemarketer,Telemarketer,(712) 732-0088
-,-,-,65441,Group B,10/31/2022,4302 unive50613,East China,4302 university ave ste g,Cedar Falls,50613,IA,Telemarketer,Telemarketer,(319) 277-0022
-,-,-,65442,Group B,10/31/2022,1702 w bro51501,Bluffs China Buffet,1702 w broadway ste 3,Council Bluffs,51501,IA,Telemarketer,Telemarketer,(712) 388-0388
-,-,-,65443,Group B,10/31/2022,3200 16th 52404,China Inn -  Permanently closed,3200 16th ave sw ste d,Cedar Rapids,52404,IA,Telemarketer,Telemarketer,(319) 363-3388
-,-,-,65444,Group B,10/31/2022,793 middle52722,Red Ginger,793 middle rd,Bettendorf,52722,IA,Telemarketer,,(563) 355-4898
-,-,-,65445,Group B,10/31/2022,2016 cedar52761,China Garden Inc,2016 cedar plaza dr ste 3,Muscatine,52761,IA,Telemarketer,Telemarketer,(563) 288-6943
-,-,-,65446,Group B,10/31/2022,4009 e 53r52807,Red Lantern Chinese Cuisine,4009 e 53rd st,Davenport,52807,IA,Telemarketer,,(563) 355-7970
-,-,-,65447,Group B,3/10/2023,317 240th 51331,Bracco Okoboji,317 240th ave,Arnolds Park,51331,IA,Telemarketer,Telemarketer,(712) 332-7900
-,-,-,65448,Group B,3/10/2023,615 3rd st50309,Buzzard Billy's,615 3rd st,Des Moines,50309,IA,Telemarketer,Telemarketer,(515) 244-2899
-,-,-,65449,Group B,3/10/2023,1594 vt ro5847,Cajun's Snack Bar,1594 vt route 100,Lowell,5847,VT,Telemarketer,Telemarketer,(802) 744-2002
-,-,-,65450,Group B,10/31/2022,164 s main5033,Colatina Exit,164 s main st,Bradford,5033,VT,Telemarketer,Telemarketer,(802) 222-5651
-,-,-,65451,Group B,10/31/2022,61 pleasan5091,Angkor Wat Restaurant,61 pleasant st,Woodstock,5091,VT,Telemarketer,Telemarketer,(802) 457-9029
-,-,-,65452,Group B,10/31/2022,972 putney5301,Taste of Thai,972 putney rd,Brattleboro,5301,VT,Telemarketer,Telemarketer,(802) 490-4482
-,-,-,65453,Group B,10/31/2022,36 thorsen5401,Bangkok Bistro in the alley,36 thorsen way,Burlington,5401,VT,Telemarketer,Telemarketer,(802) 489-5333
-,-,-,65454,Group B,10/31/2022,370 shelbu5401,M-Saigon,370 shelburne rd,Burlington,5401,VT,Telemarketer,Telemarketer,(802) 904-3259
-,-,-,65455,Group B,10/31/2022,271 n main5701,SHANG HAI AND POKYO RESTAURANT,271 n main st ste 208,RUTLAND,5701,VT,Telemarketer,Telemarketer,(802) 786-8088
-,-,-,65456,Group B,10/31/2022,1216 willi5403,SILVER PALACE RESTAURANT INC,1216 williston rd,SOUTH BURLINGTON,5403,VT,Telemarketer,Telemarketer,(802) 864-0125
-,-,-,65457,Group B,10/31/2022,202 corner5495,NARU,202 cornerstone dr,WILLISTON,5495,VT,Telemarketer,Telemarketer,(802) 878-8868
-,-,-,65458,Group B,10/31/2022,77 pearl s5401,HONG'S CHINESE DUMPLINGS,77 pearl st,BURLINGTON,5401,VT,Telemarketer,Telemarketer,(802) 660-6688
-,-,-,65459,Group B,10/31/2022,135 e alle5404,JIN,135 e allen st,WINOOSKI,5404,VT,Telemarketer,Telemarketer,(802) 861-3338
-,-,-,65460,Group B,10/31/2022,460 main s5201,LUCKY DRAGON,460 main st,BENNINGTON,5201,VT,Telemarketer,Telemarketer,(802) 442-2828
-,-,-,65461,Group B,10/31/2022,12 railroa5452,Chopsticks House,12 railroad st,Essex Junction,5452,VT,Telemarketer,Telemarketer,(802) 878-0054
-,-,-,65462,Group B,10/31/2022,626 broad 5851,Lyndon Buffet,626 broad st,Lyndonville,5851,VT,Telemarketer,Telemarketer,(802) 626-8886
-,-,-,65463,Group B,3/10/2023,18 s feder50401,Lorado's,18 s federal ave,Mason City,50401,IA,Telemarketer,Telemarketer,(641) 424-8060
-,-,-,65464,Group B,3/10/2023,370 shelbu5403,M-Saigon,370 shelburne rd,South Burlington,5403,VT,Telemarketer,Telemarketer,(802) 865-8383
-,-,-,65465,Group B,3/10/2023,12633 reso52571,Rathbun Lakeshore Grille,12633 resort dr,Moravia,52571,IA,Telemarketer,Telemarketer,(641) 724-1430
-,-,-,65466,Group B,3/10/2023,3515 metro51501,Red Anchor,3515 metro dr,Council Bluffs,51501,IA,Telemarketer,Telemarketer,(712) 796-4198
-,-,-,65467,Group B,3/22/2023,155 dorset5403,Fortune Cookie Business closed,155 dorset st ste f6,South Burlington,5403,VT,Telemarketer,Telemarketer,(802) 865-3376
