Snowball Map,State Group,datediff_queue_entered_date,datediff_rejected_date,datediff_created_date,Queue Enter Date,Rejected Time,Dead Date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Created By,Unqualified Reason,Lead Stage
61389,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,PEKING HOUSE,PEKING HOUSE,11 E BALTIMORE ST,21202,MD,,(410) 539-8183,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61390,Group B,125,124,584,2024-02-02,2024-02-02T19:32:00Z,,2022-10-31T04:00:00Z,BENNYS SUB SHOP,BENNYS SUB SHOP,6505 CRAIN HWY,20646,MD,(917) 885-6578,(301) 934-8585,Marketing Nurture Queue,,AE Assigned,N/A,Apps Associates,,Rejected
61391,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,ZEN 16 SUSHI CAFE,ZEN 16 SUSHI CAFE,533 BALTIMORE PIKE,21014,MD,,(410) 836-5999,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61392,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,KIYOMI SUSHI INC,KIYOMI SUSHI INC,1443 ROCK SPRING RD,21014,MD,,(410) 638-7200,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61393,Group B,176,175,584,2023-12-13,2023-12-13T22:37:00Z,,2022-10-31T04:00:00Z,CHUONG GARDEN,CHUONG GARDEN,1110 A AVE W,52577,IA,,(641) 676-8899,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61394,Group B,286,285,584,2023-08-25,2023-08-25T16:36:00Z,,2022-10-31T04:00:00Z,SZECHUAN HOUSE,SZECHUAN HOUSE,320 E BURLINGTON ST,52240,IA,(319) 720-5083,(319) 338-6788,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61395,Group B,149,148,584,2024-01-09,2024-01-09T20:50:00Z,,2022-10-31T04:00:00Z,888 Chinese Seafood Restaurant,888 Chinese Seafood Restaurant,809 WHEELER ST #106,50010,IA,,(515) 232-3366,Marketing Nurture Queue,,SDR Complete,Contact info incorrect,Apps Associates,,Rejected
61396,Group B,240,239,584,2023-10-10,2023-10-10T20:45:00Z,,2022-10-31T04:00:00Z,FUJI SANSU FEN SESUM,FUJI SANSU FEN SESUM,10015 YORK RD STE A,21030,MD,,(410) 628-9098,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61397,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,FUSION RESTAURANT,FUSION RESTAURANT,10752 YORK RD,21030,MD,,(443) 330-5714,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61398,Group B,136,135,584,2024-01-22,2024-01-22T20:58:00Z,,2022-10-31T04:00:00Z,TASTE OF CHINA,TASTE OF CHINA,7824 20TH AVE,11214,NY,,(718) 256-3838,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61399,Group B,161,160,584,2023-12-28,2023-12-28T19:34:00Z,,2022-10-31T04:00:00Z,*Mr.陈,C WOK,3505 E PARK BLVD #340,75074,TX,(682) 597-8722,(972) 801-9903,Marketing Nurture Queue,Kelvin Teh,SDR Working,,Apps Associates,,Wrong People
61400,Group B,99,98,584,2024-02-28,2024-02-28T18:26:00Z,,2022-10-31T04:00:00Z,TASTE OF CHINA,TASTE OF CHINA,6815 4TH AVE,11220,NY,,(718) 833-5533,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61401,Group B,112,111,584,2024-02-15,2024-02-15T20:43:00Z,,2022-10-31T04:00:00Z,CANTON EXPRESS,CANTON EXPRESS,1501 PRESTON RD #250,75093,TX,,(972) 735-8646,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61402,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,ANDREWS RESTAURANT,ANDREWS RESTAURANT,6407 SUITLAND RD,20746,MD,,(301) 735-9320,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61403,Group B,112,111,584,2024-02-15,2024-02-15T20:45:00Z,,2022-10-31T04:00:00Z,CHEF DING,CHEF DING,14348 MEMORIAL DR,77079,TX,,(281) 589-2288,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
