Page location,Date,Sessions,language_test,drop_group,snowball_id,list_source,country,format
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=50669,2023-12-09,1,English Version,NA,50669,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=50709,2023-12-06,1,English Version,NA,50709,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=51513,2023-12-12,1,English Version,NA,51513,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=52548,2023-12-05,1,English Version,NA,52548,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=53622,2023-12-15,1,English Version,NA,53622,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=55122,2023-12-14,1,English Version,NA,55122,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=55278,2023-12-07,1,English Version,NA,55278,Brizo,NA,Trifold
https://getskt.com/2023christmas-eng/?utm_source=brizouseng&utm_medium=DirectMail&utm_campaign=christmas&utm_id=56022,2023-12-07,1,English Version,NA,56022,Brizo,NA,Trifold
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=11099,2023-12-05,1,Chinese Version,Drop 1 - US,11099,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=11268,2023-12-11,1,Chinese Version,Drop 1 - US,11268,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=11928,2023-12-07,1,Chinese Version,Drop 1 - US,11928,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=1197,2023-12-04,1,Chinese Version,Drop 1 - US,01197,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=12338,2023-12-08,1,Chinese Version,Drop 1 - US,12338,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=12462,2023-12-24,1,Chinese Version,Drop 1 - US,12462,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=12604,2023-12-07,1,Chinese Version,Drop 1 - US,12604,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=13046,2023-12-04,1,Chinese Version,Drop 1 - US,13046,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=13310,2023-12-02,1,Chinese Version,Drop 1 - US,13310,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=13603,2023-12-12,2,Chinese Version,Drop 1 - US,13603,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=1391,2023-12-05,1,Chinese Version,Drop 1 - US,01391,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=1391,2023-12-16,1,Chinese Version,Drop 1 - US,01391,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=13983,2023-12-02,1,Chinese Version,Drop 1 - US,13983,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=14385,2023-12-05,1,Chinese Version,Drop 1 - US,14385,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=15522,2023-12-13,1,Chinese Version,Drop 1 - US,15522,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=15783,2023-12-11,1,Chinese Version,Drop 1 - US,15783,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=15875,2023-12-17,1,Chinese Version,Drop 1 - US,15875,Brizo,United States,3D card
