Snowball Map,Dupe (Y/N),Match Address,Match Phone,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),,,,,,,,
,TRUE,2135 Albert St,-,Hachi Sushi,2135 Albert St,Regina,S4P 2V1,SK,CAN,3065251768,3067376557,,,,,,,
80087,FALSE,-,-,New Dragon Boat,1775 Ernest Ave,London,N6E 2V5,ON,CAN,5196818808,2267005188,4168013188,6476743393,5196363693,,,,
80088,FALSE,-,-,Great Moon Buffet,1801 Dundas E,Whitby,L1N 7C5,ON,CAN,9054338828,9059256151,,,,,,,
,TRUE,662 Somerset St W,-,Yang Sheng Restaurant,662 Somerset St W,Ottawa,K1R 5K4,ON,CAN,6132355794,3437773144,6134211263,6137628600,6134214120,6138166368,,,
,TRUE,2901 Bayview Ave,-,Pearl,2901 Bayview Ave,North York,M2K 1000000,ON,CAN,4162261233,6472985780,4165068886,,,,,,
80089,FALSE,-,-,Beijing House,1850 Island Hwy N,Campbell River,V9W 2G1,BC,CAN,2508303268,2508307388,,,,,,,
80090,FALSE,-,-,Aki Da Japanese Seafood House,1911 Queen St E,Toronto,M4L 1H3,ON,CAN,4166912788,6472418744,4166922788,4169189936,,,,,
80091,FALSE,-,-,Angel's Diner,100 Belmont Dr,London,N6J 4J7,ON,CAN,5196902900,,,,,,,,
80092,FALSE,-,-,Tandoori Flare,1357 Johnston Rd,White Rock,V4B 3Z2,BC,CAN,6043852012,6467041988,4142359220,6045432100,6047605437,6048490119,,,
80093,FALSE,-,-,Lorenzo's Restaurant,3007 Carling Avenue,Ottawa,K2B 7Y6,ON,CAN,6135962222,,,,,,,,
,TRUE,50 Market St S,-,BarBurrito,50 Market St S,Brantford,N3S 2000,ON,CAN,5197544985,5195120182,5197611703,,,,,,
80094,FALSE,-,-,Vietnamese Noodle House,121 Preston Street,Ottawa,K1R 7P3,ON,CAN,6132332201,6134471230,,,,,,,
80095,FALSE,-,-,Golden China Cuisine,4555 Hwy 7 W,Woodbridge,L4L 1S6,ON,CAN,9058563888,,,,,,,,
80096,FALSE,-,-,Gusto Di Quattro,1 Lonsdale Ave,North Vancouver,V7M 20000,BC,CAN,6049244444,,,,,,,,
80097,FALSE,-,-,Rajdoot Restaurant,2424 4 St SW,Calgary,T2S 2T4,AB,CAN,4032450181,,,,,,,,
80098,FALSE,-,-,El Matador,131 W Esplanade,North Vancouver,V7M 1A1,BC,CAN,6047701717,,,,,,,,
80099,FALSE,-,-,La Tortilla Mexicana,910 Esquimalt Rd,Victoria,V9A 3M7,BC,CAN,7784331331,,,,,,,,
80100,FALSE,-,-,Mexican Family Steakhouse,5217 48 Ave,Taber,T1G 1S8,AB,CAN,4032239464,,,,,,,,
