Snowball Map,Dupe (Y/N),Match Brizo 1,Match Brizo 2,Match Print 1,Name,CBE Contact Last Name,CBE Contact First Name,Price,Category,Phone Number,Street,City,State,Zip,CBE Location Employment Size Description,CBE Vendor Ethnicity Description
96270,FALSE,-,-,-,Sun Wui Restaurant,,,,Chinese,(709) 786-0888,6 Sawdust Road,Bay Roberts,NL,A0A 1X0,,
96271,FALSE,-,-,-,Kylin Restaurant and Buffet,,,null,Chinese,(709) 596-5710,68-70 Harvey Street,Harbour Grace,NL,A0A 2M0,,
96272,FALSE,-,-,-,Wong's House Restaurant,,,$$,Chinese,(709) 229-7628,Conception Bay,Holyrood,NL,A0A 2R0,,
96273,FALSE,-,-,-,Hoi Pun,TOM,YET YEE,null,Chinese,(709) 227-2549,14 Prince William Drive,Placentia,NL,A0B 2Y0,1-4,Chinese
96274,FALSE,-,-,-,Wongs Palace Restaurant,,,null,Chinese,(709) 279-3773,29 McGettigan Boulevard,Marystown,NL,A0E 2M0,,
96275,FALSE,-,-,-,Dragon and Phoenix,,,null,Chinese,(709) 524-6688,386 J R Smallwood Boulevard,Gambo,NL,A0G 1T0,,
96276,FALSE,-,-,-,Grenfell Restaurant,ENAULT,CHARLES,null,Chinese,(709) 288-0264,9 Grenfell Drive,Wabush,NL,A0R 1B0,20-49,French
,TRUE,27 Elizabeth Ave,-,-,Sequerra's Restaurant,BATINO,JOSELITO,$$,Chinese,(709) 753-8887,27 Elizabeth Ave,St. John's,NL,A1A 1W6,10-19,Italian
96277,FALSE,-,-,-,China House Restaurant,TAM,HANG KUEN,null,Chinese,(709) 754-2892,141 Torbay Rd,St. John's,NL,A1A 2H1,5-9,"Khmer (Kampuchean, Cambodian)"
,TRUE,-,(709) 738-1968,-,Canton Restaurant,,,$$,Chinese,(709) 738-1968,"445 Newfoundland Drive,",St Johns,NL,A1A 4C3,,
,TRUE,27 Airport Heights Dr,-,-,Kung Fu Chinese Restaurant,,,null,Chinese,(709) 738-8838,27 Airport Heights Dr,St. John's,NL,A1A 4W8,,
96278,FALSE,-,-,-,Golden Phoenix Buffet,YU,YONGTAO,null,Chinese,(709) 579-0785,56A Kenmount Rd,St. John's,NL,A1B 1W2,10-19,Chinese
96279,FALSE,-,-,-,Noodle Nami,,,null,Cajun Seafood,(709) 722-4141,"8-10 Rowan Street, Suite L003,",St. Johns,NL,A1B 2X1,,
96280,FALSE,-,-,-,Kenmount Restaurant,HONG,KEN,$$,Chinese,(709) 753-8385,"75 Kenmount Road,",St. Johns,NL,A1B 3P8,5-9,Chinese
,TRUE,193 Kenmount Rd,-,-,sun sushi,XIE,MING,null,Japanese,(),193 Kenmount Rd,St. John's,NL,A1B 3P9,5-9,Chinese
96281,FALSE,-,-,-,Wok Box,STEELE,JAMES,$$,Cajun Seafood,(709) 726-3222,"55 A-1 Kelsey Dr,",St Johns,NL,A1B 5C8,5-9,English
,TRUE,178 Water St,-,-,Bad Bones Ramen,,,$$,Japanese,(709) 237-2200,178 Water St,St. John's,NL,A1C 1A9,,
,TRUE,210 Water St,(709) 753-2378,-,Sushi Island,,,$$,Japanese,(709) 753-2378,210 Water St,St. John's,NL,A1C 1A9,,
96282,FALSE,-,-,-,Hong Kong Restaurant,MEIKEM,YOK,$$,Chinese,(709) 753-8838,"361 Water Street,",St. Johns,NL,A1C 1C2,5-9,Chinese
96283,FALSE,-,-,-,MAGIC WOK EATERY,LI,JERRY,$$,Chinese,(709) 753-6907,"402-408 Water Street,",St. Johns,NL,A1C 1C9,20-49,Chinese
,TRUE,186 Duckworth St,-,-,Sun Sushi,SUN,CHANGYUN,$$,Japanese,(709) 726-8688,186 Duckworth St,St. John's,NL,A1C 1G5,5-9,Chinese
96284,FALSE,-,-,-,Bamboo Garden,,,$$,Chinese,(709) 726-7802,"252 Duckworth St,",St. Johns,NL,A1C 1G6,,
,TRUE,283 Duckworth St,-,-,Basho Restaurant & Lounge,,,$$$,Japanese,(709) 576-4600,283 Duckworth St,St. John's,NL,A1C 1G9,,
96285,FALSE,-,-,-,Sushi Nami Royale,,,$$,Japanese,(709) 722-1003,"36 George Street,",Saint Johns,NL,A1C 1M3,,
96286,FALSE,-,-,-,Monroe Take Out,OU,HAO,$,Chinese,(709) 753-3450,84 Monroe St,St. John's,NL,A1C 1Y5,1-4,Chinese
96287,FALSE,-,-,-,Loong Wah Restaurant,TA,QUYNH,null,Chinese,(709) 726-4811,13 Lemarchant Rd,St. John's,NL,A1C 2G4,1-4,Vietnamese
,TRUE,210 Pennywell Rd,-,-,New City Restaurant,WEN,XINZHONG,$,Chinese,(709) 738-1368,210 Pennywell Rd,St. John's,NL,A1C 2L6,1-4,Chinese
,TRUE,12 Freshwater Rd,-,-,Mea Mei Wok Eatery,TAN,JIMMY,$$,Chinese,(709) 726-8424,12 Freshwater Rd,St. John's,NL,A1C 2M9,1-4,Chinese
96288,FALSE,-,-,-,Song Hee Take Out,MAN,SANWA,$$,Chinese,(709) 722-6868,209 av Empire,St. John's,NL,A1C 3H2,1-4,Korean
96289,FALSE,-,-,-,SpiceX,,,null,Cajun Seafood,(709) 739-7474,31 Malta St,St. John's,NL,A1C 4T1,,
96290,FALSE,-,-,-,Kimchi & Sushi,,,$$,Japanese,(709) 579-4382,140 Water St Suite 102 Td Building,St. John's,NL,A1C 6H6,5-9,Unknown
96291,FALSE,-,-,-,Jin Dragon,,,null,Chinese,(709) 579-3555,27 Blackmarsh Rd,St. John's,NL,A1E 1S2,,
96292,FALSE,-,-,-,City Light Restaurant,,,$$,Chinese,(709) 747-8377,460 Topsail Rd,St. John's,NL,A1E 2C2,5-9,Unknown
,TRUE,127 Campbell Ave,(709) 738-7388,-,China Town Eatery,LEE,WAYNE,$$,Chinese,(709) 738-7388,127 Campbell Ave,St. John's,NL,A1E 2Z5,1-4,English
96293,FALSE,-,-,-,Red Pepper Restaurant,CHIU,DAVID,null,Cajun Seafood,(709) 754-7600,"38 Hamlyn Road,",St. Johns,NL,A1E 5X7,10-19,Chinese
,TRUE,41 Bay Bulls Rd,-,-,Dong Fong Restaurant,QI,XIA,null,Chinese,(709) 368-2288,41 Bay Bulls Rd,St. John's,NL,A1G 1A4,1-4,Chinese
96294,FALSE,-,-,-,Lucky's,AU,SUE,null,Chinese,(709) 368-5169,949 Topsail Road,Mount Pearl,NL,A1N 3K1,5-9,Korean
96295,FALSE,-,-,-,Full House Restaurant,,,null,Chinese,(709) 364-8399,74 Old Placentia Road,Mount Pearl,NL,A1N 5H6,1-4,Unknown
,TRUE,67 Elizabeth Dr,-,-,East Ocean Restaurant,TAM,KITTY,null,Chinese,(709) 256-7429,67 Elizabeth Dr,Gander,NL,A1V 1J9,1-4,"Khmer (Kampuchean, Cambodian)"
,TRUE,532 Conception Bay Hwy,-,-,M Share Restaurant,,,null,Chinese,(709) 834-8882,532 Conception Bay Hwy,Conception Bay South,NL,A1X 7M8,,
96296,FALSE,-,-,-,Fong's Restaurant,FONG,ART,null,Chinese,(709) 596-5010,143 Columbus Dr,Carbonear,NL,A1Y 1A6,20-49,Chinese
,TRUE,15 High St,-,-,Tai Wan Restaurant,LI,JUANI,$,Chinese,(709) 489-4222,15 High St,Grand Falls-Windsor,NL,A2A 1C5,5-9,Chinese
,TRUE,82 West St,-,-,Ji Wen Garden,LEE,MAYU,$$,Chinese,(709) 639-7003,82 West St,Corner Brook,NL,A2H 2Z3,1-4,English
,TRUE,117 Broadway,-,-,Newfound Sushi,VINCENT,KEVIN,$$,Japanese,(709) 634-6666,117 Broadway,Corner Brook,NL,A2H 4E3,5-9,English
96297,FALSE,-,-,-,Sushi Lab,TAN,CHARLIE,$$,Japanese,(709) 944-4179,118 Humphrey Rd Bruno Plaza,Labrador City,NL,A2V 2J8,20-49,Chinese
,TRUE,3 Coish Pl,-,-,Uncle Li Chinese Restaurant,LI,TINA,null,Chinese,(709) 466-1088,3 Coish Pl,Clarenville,NL,A5A 0C3,5-9,Chinese
96298,FALSE,-,-,-,Tai Hong Restaurant,WONG,CINDY,$$,Chinese,(709) 466-2929,2 Tilleys Rd,Clarenville,NL,A5A 1Z2,5-9,Chinese
96299,FALSE,-,-,-,Bojo's Chinese Buffet,,,null,Chinese,(709) 635-1288,1 Chapel Hill Rd,Deer Lake,NL,A8A 1C2,,
,TRUE,6 Commerce St,-,-,Canton Restaurant,YU,RICHARD,null,Chinese,(709) 635-8118,6 Commerce St,Deer Lake,NL,A8A 1E6,1-4,Chinese
96300,FALSE,-,-,-,Wong's Bras d'Or House Restaurant,,,$$,Chinese,(),466 Chebucto Street,Baddeck,NS,B0E 1B0,,
96301,FALSE,-,-,-,Ongs Restaurant,THONG,RICHARD,null,Chinese,(902) 889-3443,9101 Highway 7,Head Of Jeddore,NS,B0J 1P0,5-9,Vietnamese
96302,FALSE,-,-,-,Gold House Restaurant,TANG,NANCY,null,Chinese,(902) 798-2522,4190 Highway 1,Windsor,NS,B0N 2T0,5-9,Chinese
96303,FALSE,-,-,-,Baby Panda,,,null,Chinese,(902) 472-3866,467 King Street,Windsor,NS,B0N 2T0,,
96304,FALSE,-,-,-,Sushi Fang,,,$$,Japanese,(902) 765-8886,1065 Central Avenue,Kingston,NS,B0P 1N0,,
96305,FALSE,-,-,-,China Village Restaurant,CHOW,KEN,$$,Chinese,(902) 765-3888,1065 Central Avenue,Kingston,NS,B0P 1N0,,
96306,FALSE,-,-,-,Bao Phu Restaurant,,,null,Chinese,(902) 242-8899,463 Main Street,Kingston,NS,B0P 1R0,5-9,Unknown
96307,FALSE,-,-,-,Garrison House,REDGRAVE,PATRICK,$$,Cajun Seafood,(902) 532-5750,350 Saint George Street,Annapolis Royal,NS,B0S 1A0,10-19,English
,TRUE,345 Main St,-,-,House of Cheng,YIN,JING,$$,Chinese,(902) 825-3121,345 Main St,Middleton,NS,B0S 1P0,1-4,Chinese
96308,FALSE,-,-,-,Golden Pond Restaurant,WONG,HARRY,null,Chinese,(902) 354-5186,73 Henry Hensey Drive,Liverpool,NS,B0T 1K0,5-9,Chinese
,TRUE,165 Water St,-,-,Luong's Restaurant,,,$$,Chinese,(902) 875-1300,165 Water St,Shelburne,NS,B0T 1W0,,
96309,FALSE,-,-,-,Soo Good Kitchen,,,null,Cajun Seafood,(902) 974-1164,111 Warwick St,Digby,NS,B0V 1A0,,
96310,FALSE,-,-,-,House of Wong,TAN,MICHAEL,$$,Chinese,(902) 245-4125,110 Water Street,Digby,NS,B0V 1A0,5-9,Chinese
96311,FALSE,-,-,-,Wok By The Bay,,,null,Chinese,(902) 245-6982,40-58 Water Street,Digby,NS,B0V 1A0,,
96312,FALSE,-,-,-,Super Bun,,,null,Chinese,(902) 567-0888,"1028 Kings Road""""",Sydney,NS,B1P 1C7,,
96313,FALSE,-,-,-,Peking Restaurant,SZETO,MILLER,$$,Chinese,(902) 539-7775,355 Charlotte St,Sydney,NS,B1P 1E1,10-19,Chinese
,TRUE,216 Bentinck St,-,-,Naru Japanese Cuisine,SUNG,H,$$,Japanese,(902) 270-8800,216 Bentinck St,Sydney,NS,B1P 1G8,5-9,Chinese
96314,FALSE,-,-,-,Sakura All You Can Eat,,,null,Japanese,(902) 539-2476,100 Townsend St,Sydney,NS,B1P 5E1,,
,TRUE,273 Townsend St,-,-,Vailly's Dessert House,,,null,Chinese,(902) 537-1059,273 Townsend St,Sydney,NS,B1P 5E7,,
,TRUE,439 Prince St,-,-,Fortune Star,ZHOU,CAN,null,Chinese,(902) 562-8078,439 Prince St,Sydney,NS,B1P 5L3,1-4,Vietnamese
,TRUE,462 Prince St,-,-,Hong Fa Restaurant,CHEUNG,ALLAN,$$,Chinese,(902) 539-3877,462 Prince St,Sydney,NS,B1P 5L5,10-19,Chinese
96315,FALSE,-,-,-,A Bite of Asia,,,$$,Chinese,(902) 270-7777,76-80 Dorchester St,Sydney,NS,B1P 5Z1,,
,TRUE,1060 Kings Rd,-,-,King Fortune Restaurant,WONG,JOHNNY,null,Chinese,(902) 567-0709,1060 Kings Rd,Sydney,NS,B1S 1C7,5-9,Chinese
,TRUE,294 Commercial St,-,-,Canton Restaurant,CHAN,RAYMOND,null,Chinese,(902) 794-4587,294 Commercial St,North Sydney,NS,B2A 1C1,10-19,Chinese
,TRUE,210 Main St,-,-,Moonlight Restaurant,DIAO,GEORGE,null,Chinese,(902) 863-3667,210 Main St,Antigonish,NS,B2G 2B9,10-19,Chinese
