Snowball Map,List Source,Restaurant Name,Address,City,State,Phone,Zipcode,First Name,Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
80423,Yelp Greendot (Q42022),886,26 SAINT MARKS PL,NEW YORK,NY,6468820231,10003-8026,NA,NA,NA,NA,NA,Chinese
80424,Yelp Greendot (Q42022),57401,7580 BEECHMONT AVE,CINCINNATI,OH,5137825100,45255-4221,NA,NA,4,N,NA,Japanese
80425,Yelp Greendot (Q42022),57401,"4503 JOHN F KENNEDY PKWY, KING SOOPERS",FORT COLLINS,CO,9702235759,80525-3250,NA,NA,5,N,NA,Japanese
80426,Google API (Q42022),1 CHINESE CARRY OUT,2416 PENNSYLVANIA AVE,BALTIMORE,MD,4107283399,21217-1709,MEI,CHEN,4,Y,NA,Chinese
80427,Yelp Greendot (Q42022),1 OR 8,229 DEKALB AVE,BROOKLYN,NY,7183842152,11205-4042,JOHN,GUNDLACH,2,Y,NA,Japanese
80428,Google API (Q42022),101 ASIAN KITCHEN,7170 BEVERLY BLVD # 2547,LOS ANGELES,CA,323932999,90036-2547,MING,LIUNG,4,Y,2016,Chinese
80429,Yelp Greendot (Q42022),101 ASIAN KITCHEN,7170 BEVERLY BLVD,LOS ANGELES,CA,3239342999,90036-2547,HON,LIUNG,7,Y,NA,Chinese
80430,Google API (Q42022),110 Japan,179 WALT WHITMAN RD,HUNTINGTN STA,NY,6316735888,11746-4117,SONNY,LIN,9,N,2014,Chinese
80431,Yelp Greendot (Q42022),1111 PERUVIAN BISTRO,12661 S DIXIE HWY,PINECREST,FL,7866159633,33156-5958,LUIS,PEREZ,1,Y,NA,Japanese
80432,Yelp Greendot (Q42022),123 CAFE,244 CASSIDY BLVD STE 600,PIKEVILLE,KY,6067668888,41501-1502,NA,NA,8,Y,NA,Chinese
80433,Google API (Q42022),135 CHINESE RESTAURANT,1475 S SHERIDAN BLVD,LAKEWOOD,CO,3039349101,80232-5960,ADA,OU,4,N,NA,Chinese
80434,Yelp Greendot (Q42022),167 SUSHI BAR,289 E BAY ST,CHARLESTON,SC,8436253031,29401-1620,NA,NA,NA,NA,NA,Japanese
80435,Yelp Greendot (Q42022),17 RIVER GRILLE,17 RIVER ST,CHAGRIN FALLS,OH,4408930797,44022-3004,NA,NA,NA,NA,NA,Japanese
80436,Yelp Greendot (Q42022),18 MALAYSIA,4956 MARTIN VIEW LN,WINSTON SALEM,NC,3366591668,27104-5066,NA,NA,NA,NA,NA,Japanese
80437,Yelp Greendot (Q42022),18-8 SUSHI,727 W 40TH ST STE 138,BALTIMORE,MD,4108891888,21211-2147,NA,NA,NA,NA,NA,Japanese
80438,Yelp Greendot (Q42022),192 CRAB & LOBSTER,5073 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,4073378888,34746-5345,NA,NA,NA,NA,NA,Cajun Seafood
80439,Yelp Greendot (Q42022),1ST AVE GOURMET,1274 1ST AVE FRNT 1,NEW YORK,NY,2124728480,10065-5619,JI,JEONG,1,Y,NA,Japanese
80440,Google API (Q42022),1ST WOK,603 W STASSNEY LN,AUSTIN,TX,5124440077,78745-3148,JUIN L,LU,19,N,NA,Chinese
80441,Yelp Greendot (Q42022),2 CRAZY FELLAS,6518 GOODMAN RD STE 108,OLIVE BRANCH,MS,6624084815,38654-9809,TRACY,KINNETT,7,Y,NA,Cajun Seafood
80442,Yelp Greendot (Q42022),2 DIE FOR SUSHI,7625 TOPANGA CANYON BLVD,CANOGA PARK,CA,8189992008,91304-5535,SUNG,LEE,8,Y,NA,Japanese
80443,Yelp Greendot (Q42022),2 FRIENDS AND A CHEF,831 US-59 S,CLEVELAND,TX,8882670331,77327,NA,NA,NA,NA,NA,Cajun Seafood
80444,Yelp Greendot (Q42022),2.99 SUSHI ROLL,633 S ARROYO PKWY STE 1,PASADENA,CA,6263961117,91105-3282,NA,NA,NA,NA,NA,Japanese
80445,Yelp Greendot (Q42022),2050 LOBBY LOUNGE AND BAR,2050 GATEWAY PL,SAN JOSE,CA,4084534000,95110-1011,DAVID,COSTAIN,315,N,NA,Japanese
80446,Yelp Greendot (Q42022),208 PHO & VEGAN,8675 W FRANKLIN RD,BOISE,ID,2089997722,83709-0632,NA,NA,NA,NA,NA,Japanese
80447,Yelp Greendot (Q42022),21 SUSHI HOUSE,530 MYRTLEWOOD DR,CALIMESA,CA,9097958940,92320-1505,YONGKAI,ZHOU,9,Y,NA,Japanese
80448,Yelp Greendot (Q42022),220 MERRILL,220 E MERRILL ST,BIRMINGHAM,MI,2486462220,48009-6106,NA,NA,1,Y,NA,Japanese
80449,Yelp Greendot (Q42022),225 URBAN SMOKE,1015 RITTIMAN RD STE 113,SAN ANTONIO,TX,2104449956,78218-4268,NA,NA,NA,NA,NA,Cajun Seafood
