Snowball Map,ID,Name,Business Type,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range
41969,0156f0dac78e7bad,Prinkle Fried Chicken,Restaurant,8952 152 St,Surrey,BC,V3R 4E4,Canada,,,,,,(604) 496-1199,,Korean; Chinese,
41970,07b8ff2fae0a3ddf,The 6 Cafe & Restaurant,Restaurant,8920 Woodbine Ave,Markham,ON,L3R 9W9,Canada,,,the6cafe.restaurant@gmail.com,,,(905) 604-7800,the6cafe.restaurant@gmail.com,Chinese,$
41971,0ba825dac7261c4d,Akita Sushi,Restaurant,5451 RR-7,Vaughan,ON,L4L 0B2,Canada,,,,,,(905) 856-9988,,Japanese; Chinese,$
41972,0a93eb307809169b,Sushi AOI,Restaurant,211 12 Ave SW,Calgary,AB,T2R 0G9,Canada,,,,,,(587) 998-4816,,Japanese,
41973,05e9851b8ef849d9,Shangri-La,Restaurant,7309 44 St,Lloydminster,AB,T9V 2X1,Canada,,,,,,(780) 874-6677,,Chinese,$
41974,05ab28e7adfae48e,Fusion Sushi,Restaurant,1150 Morningside Ave,Toronto,ON,M1B 3A4,Canada,,,,,,(647) 878-8361,,Japanese; Chinese,$
41975,0a17aacaf0eb757d,YGF Hotpot (Yang Guo Fu Ma La Tang),Restaurant,1609 Pembina Hwy,Winnipeg,MB,R3T 3Y6,Canada,,,,,,(204) 219-2822,,Chinese,
41976,1020bb34977f9167,Isaytakoyummy,Restaurant,240 McPhillips St,Winnipeg,MB,R3E 2K4,Canada,,,,,,(204) 615-2695,isaytakoyummy@yahoo.com,Japanese; Chinese,$
41977,112cdc8c2e6e8eb3,Tokyo Noodle Shop,Restaurant,10736 82 Ave NW,Edmonton,AB,T6E 6P4,Canada,,,,,,(780) 430-0838,,Japanese,$$
41978,1191c68a06b96765,Centre Street Japanese Hot Pot,Restaurant,2213 Centre St N,Calgary,AB,T2E 2T4,Canada,,,,,2014,(403) 455-3188,,Japanese,$$
41979,107a0d9c2feb61e1,Tora Sushi,Restaurant,3160 Steeles Ave E,Markham,ON,L3R 4G9,Canada,,,info@torasushi.com,,,(905) 948-8047,info@torasushi.com,Japanese,$$
41980,111a40cbd846fb12,Skyway Family Restaurant,Restaurant,6102 48 Ave,Camrose,AB,T4V 0K5,Canada,,,,,,(780) 672-8363,,Chinese; Thai,$$
41981,10298d701acf4e83,Lian Hong Chinese BBQ,Restaurant,6400 Fraser St,Vancouver,BC,V5W 3A4,Canada,,,,,,(604) 322-9367,,Chinese,$
