Snowball Map,Map Correction,Last Activity Date,Mobile - Primary,Business Phone,Company / Account,First Name,Last Name,Email,Street,Zip/Postal Code,City,State/Province,Country
63197,,3/13/2023,(929) 264-2999,,Unknown,翔,陈,,102 Railway Lane,21740,Hagerstown,MD,USA
63196,,2/1/2023,,,Jude,,何蔚,,822 Central Avenue,60035,Highland Park,IL,USA
63195,,3/8/2023,(480) 839-0905,,China Way Restaurant,,yan,,3021 North Alma School Road,85224,Chandler,AZ,USA
63194,,3/9/2023,(678) 899-0121,(770) 387-1198,Hong kong,,ZHENG,,281 Market Place Boulevard,30121,Cartersville,GA,USA
63193,,4/11/2023,(517) 214-5353,,Sansu Sushi and Cocktails,,Rebecca,,4750 Hagadorn Rd #100,48823,East Lansing,MI,USA
63192,45790,3/22/2023,,(845) 547-2326,AJ'S Sushi & Cajun Seafood,,Unknown,,8 N Airmont Rd,10901,Suffern,NY,USA
63191,46129,4/8/2023,(646) 662-0992,(813) 906-0222,Bay Crab - 3家店,Banny,Chen,,"1903 E State Rd 60, Ste F",33594,Valrico,FL,USA
63190,46446,3/30/2023,,(281) 495-8881,Cajun Kitchen,,John,,"6938 Wilcrest Dr, Ste E",77072,Houston,TX,USA
63189,45889,3/14/2023,,(215) 729-9250,LUCKY CHINESE RESTAURANT,,LUCKY CHINESE RESTAURANT,,5547 CHESTER AVE,19143,PHILADELPHIA,PA,USA
63188,,3/17/2023,,(303) 494-6228,TSING TAO ASIAN KITCHEN,,TSING TAO ASIAN KITCHEN,,607 S BROADWAY A,80305,BOULDER,CO,USA
63187,46349,12/20/2022,,(810) 629-9898,China King - Chinese Restaurant-- Client DO NOT CALL,,China King - Chinese Restaurant,,4035 Owen Rd,48430,Fenton,MI,USA
63186,46406,3/28/2023,(217) 240-5100,(815) 692-3976,China Kitchen,,Mr.赵,,108 W Locust St,61739,Fairbury,IL,USA
63185,,4/4/2023,,(630) 513-8333,China Garden Restaurant,,China Garden Restaurant,,40W160 Campton Crossings Dr,60175,St. Charles,IL,USA
63184,46408,3/7/2023,,(618) 337-8290,China Express,,China Express,,1669 Camp Jackson Rd,62206,Cahokia,IL,USA
63183,,12/20/2022,CNA,(502) 890-6938,Chen Garden,,Chen Garden,,9543 US Hwy 42,40219,Louisville,KY,USA
63182,46225,11/1/2022,(502) 778-2573,(502) 778-2573,Double Dragon,,Double Dragon,,2600 W Broadway,40211,Louisville,KY,USA
63181,46426,2/26/2023,,(405) 494-7005,Tao Cha,,Tao Cha,,1600 Garth Brooks Blvd Ste 135,73099,Yukon,OK,USA
63180,,2/12/2023,,(404) 609-5618,CHIN CHIN CHINESE CUISINE,,CHIN CHIN CHINESE CUISINE,chinchihm@gmail.com,1715 HOWELL MILL RD NW,30318,ATLANTA,GA,USA
63179,46042,3/14/2023,,(770) 496-0307,YUM YUM THAI RESTURANT,,YUM YUM THAI RESTURANT,,3977 LAWRENCEVILLE HWY,30084,TUCKER,GA,USA
63178,46056,2/27/2023,,(404) 855-5889,BIG BOSS CHINESE LLC,,BIG BOSS CHINESE LLC,,100 10th Street Northwest,30309,Atlanta,GA,USA
63177,46412,1/16/2023,,(816) 358-5999,MA MA CHINA,,MA MA CHINA,,6623 RAYTOWN RD,64133,RAYTOWN,MO,USA
63176,46469,4/11/2023,,(307) 332-7666,CHINA GARDEN,,CHINA GARDEN,,162 N 6TH ST,82520,LANDER,WY,USA
63175,,3/16/2023,,(307) 347-2404,Asian Cuisine Restaurant,,Asian Cuisine Restaurant,,973 US-16,82401,Worland,WY,USA
63174,45950,2/28/2023,,(540) 862-7788,CHINA WOK,,CHINA WOK,,1620 MAIN ST,24422,CLIFTON FORGE,VA,USA
63173,46260,2/23/2023,,(614) 962-9012,GREAT WALL,,GREAT WALL,,3420 GREENWICH ST,43224,COLUMBUS,OH,USA
63172,,3/28/2023,(740) 649-1240,(740) 772-6688,NEW GRAND BUFFET USA INC,,NEW GRAND BUFFET USA INC,,1220 N BRIDGE ST STE A,45601,CHILLICOTHE,OH,USA
