Exclusion Check,Snowball Map,ID,Name,Business Type,Chain,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions,Cloud Point of Sale System
,61332,064f5247c8ba3146,Menbow Ramen Express,Restaurant,,2929 Barnet Hwy,Coquitlam,BC,V3B 5R5,Canada,,,,,,,,,(604) 475-0447,0,,Japanese,$$,DoorDash; Skip the Dishes,,
,61333,0ac1ee3454570f71,Ding Tai Fung,Restaurant,,175 Commander Blvd,Toronto,ON,M1S 3M7,Canada,,,,,,,,,(416) 291-0123,0,,Chinese,$$,Skip the Dishes; Uber Eats,,
,61334,0b5065619d2bd9ce,May Gold Village,Restaurant; Quick Service,,701 Goldstream Ave,Langford,BC,V9B 2X4,Canada,Jianrong,Deng,Principal,Owner,,,,,(250) 391-8899,1,,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61335,06d1f55b974d16c8,Jinloong,Restaurant,,518 Sackville Dr,Halifax,NS,B4C 2R8,Canada,Jin,L,Business Owner,Owner,,,2018,,(902) 252-4555,1,,Szechuan; Chinese,$,DoorDash; The NAI; Uber Eats,,
,61336,042ee11288996355,Szechuan Restaurant,Restaurant,,950 Bedford Hwy,Halifax,NS,B4A 4B5,Canada,Julie,Chen,President,General,,,2004,,(902) 444-4848,1,kellyzhao950@hotmail.com,Chinese,$$,DoorDash; Skip the Dishes,,
,61337,067fe01cb84f6809,Mr.10 Restaurant,Restaurant,,68 Robie St,Colchester,NS,B2N 1L2,Canada,,,,,,,,,(902) 896-1616,0,mr.10restauranttruro@gmail.com,Chinese,$,,,
,61338,025905285a062847,Xing Zhi Hua Si Chu Starchiva Delight,Restaurant,,8750 Bayview Ave,Richmond Hill,ON,L4B 4V9,Canada,,,,,,,,,(289) 588-3083,0,,Cantonese; Chinese,,Uber Eats; Wix Restaurants,Wix Restaurants,
,61339,04a584fe83957f02,Spicy Noodle House,Restaurant,,99 Osborne St,Winnipeg,MB,R3L 2R4,Canada,Terry,Ip,President,General,,,,,(204) 287-2388,1,,Chinese,$$,Skip the Dishes,,
,61340,080c2de3c01c8c3d,Anzenchitai Izakaya,Restaurant,,7059 Yonge St,Markham,ON,L3T 2A6,Canada,,,,,,,,,(905) 886-2561,0,,Korean; Japanese,$$,,,
,61341,04d0b14693782cfa,Kamome Japanese Restaurant,Restaurant,,4949 Canoe Pass Way,Delta,BC,V4M 0B2,Canada,,,,,kamomejapaneserestaurant@gmail.com,,,,(778) 630-8448,0,kamomejapaneserestaurant@gmail.com,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61342,0b0624c0007f3a4f,Sushi Bon,Restaurant,,695 College St,Toronto,ON,M6G 1B9,Canada,,,,,,,,,(416) 516-8688,0,,Japanese,$$,Google Analytics; Ritual; Skip the Dishes; Uber Eats; WooCommerce,,
