fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,New_Category
Didn't Fill,DC,OWNER,1970,9,USA,NA
Didn't Fill,DC,OWNER,1970,9,USA,NA
Filled,NJ,NA,1988,4,USA,NA
Didn't Fill,CA,OWNER,1988,9,USA,NA
Didn't Fill,MA,OWNER,1994,9,USA,NA
Didn't Fill,MA,OWNER,1994,9,USA,NA
Didn't Fill,NY,NA,1996,4,USA,NA
Didn't Fill,NY,OWNER,1997,9,USA,NA
Didn't Fill,CA,MANAGER,2000,4,USA,NA
Didn't Fill,GA,NA,2002,4,USA,NA
Filled,OH,NA,2003,4,USA,NA
Didn't Fill,FL,MANAGER,2003,4,USA,NA
Didn't Fill,UT,OWNER,2007,9,USA,NA
Didn't Fill,NV,NA,2008,9,USA,NA
Didn't Fill,TX,OWNER,2009,19,USA,NA
Didn't Fill,IL,MANAGER,2012,9,USA,NA
Didn't Fill,MN,MANAGER,2013,4,USA,NA
Didn't Fill,TX,MANAGER,2015,19,USA,NA
Didn't Fill,TX,NA,2016,9,USA,NA
Didn't Fill,FL,OWNER,2017,9,USA,NA
Didn't Fill,FL,OWNER,2017,9,USA,NA
Didn't Fill,FL,OWNER,2017,9,USA,NA
Didn't Fill,FL,NA,2018,4,USA,NA
Didn't Fill,NV,NA,2021,9,USA,NA
Didn't Fill,CA,NA,NA,1,USA,Chinese
Didn't Fill,NJ,NA,NA,1,USA,Japanese
Didn't Fill,LA,NA,NA,1,USA,Japanese
Didn't Fill,MI,NA,NA,2,USA,Japanese
Didn't Fill,OR,NA,NA,2,USA,Chinese
Didn't Fill,OR,NA,NA,2,USA,Chinese
Didn't Fill,NJ,NA,NA,2,USA,Cajun_Seafood
Didn't Fill,CA,OWNER,NA,2,USA,Chinese
Didn't Fill,SC,NA,NA,2,USA,Chinese
Didn't Fill,FL,NA,NA,2,USA,Chinese
Didn't Fill,CA,NA,NA,3,USA,Japanese
Didn't Fill,DE,NA,NA,3,USA,Chinese
Didn't Fill,VA,NA,NA,3,USA,Asian_Fusion
Didn't Fill,AB,OWNER,NA,4,Canada,Chinese
Didn't Fill,ON,OWNER,NA,4,Canada,Chinese
Didn't Fill,ON,OWNER,NA,4,Canada,Chinese
Didn't Fill,ON,OWNER,NA,4,Canada,Japanese
Didn't Fill,ON,OWNER,NA,4,Canada,Japanese
Didn't Fill,ON,OWNER,NA,4,Canada,Japanese
Didn't Fill,ON,OWNER,NA,4,Canada,Chinese
Didn't Fill,AB,OWNER,NA,4,Canada,Chinese
Filled,BC,OWNER,NA,4,Canada,Chinese
Didn't Fill,BC,OWNER,NA,4,Canada,Chinese
Didn't Fill,BC,OWNER,NA,4,Canada,Chinese
Didn't Fill,ND,MANAGER,NA,4,USA,NA
Didn't Fill,IN,OWNER,NA,4,USA,NA
Didn't Fill,OH,MANAGER,NA,4,USA,NA
Didn't Fill,TX,MANAGER,NA,4,USA,NA
Didn't Fill,NY,NA,NA,4,USA,NA
Didn't Fill,MO,NA,NA,4,USA,NA
Didn't Fill,LA,NA,NA,4,USA,NA
Didn't Fill,IN,NA,NA,4,USA,NA
Didn't Fill,NJ,NA,NA,4,USA,NA
Didn't Fill,PA,NA,NA,4,USA,NA
Filled,GA,NA,NA,4,USA,NA
Didn't Fill,VA,NA,NA,4,USA,NA
Filled,NC,OWNER,NA,4,USA,NA
Didn't Fill,CA,MANAGER,NA,4,USA,NA
Didn't Fill,NY,NA,NA,4,USA,NA
Didn't Fill,TN,MANAGER,NA,4,USA,Japanese
Didn't Fill,OH,PRESIDENT,NA,4,USA,Cajun_Seafood
Didn't Fill,CA,NA,NA,4,USA,Chinese
Didn't Fill,GA,OWNER,NA,4,USA,NA
Didn't Fill,TX,OWNER,NA,4,USA,NA
Filled,FL,OWNER,NA,4,USA,NA
Didn't Fill,NY,OWNER,NA,4,USA,NA
Didn't Fill,FL,OWNER,NA,4,USA,NA
Didn't Fill,CA,MANAGER,NA,4,USA,NA
Didn't Fill,NY,OWNER,NA,4,USA,NA
Didn't Fill,CA,PARTNER,NA,4,USA,NA
Didn't Fill,VA,OWNER,NA,4,USA,NA
Didn't Fill,IN,OWNER,NA,4,USA,NA
Didn't Fill,FL,OWNER,NA,4,USA,NA
Didn't Fill,FL,OWNER,NA,4,USA,NA
Didn't Fill,NV,OWNER,NA,4,USA,NA
Filled,NY,MANAGER,NA,4,USA,NA
Didn't Fill,PA,OWNER,NA,4,USA,NA
Didn't Fill,MO,OWNER,NA,4,USA,NA
Didn't Fill,MA,MANAGER,NA,4,USA,NA
Didn't Fill,OK,OWNER,NA,4,USA,NA
Didn't Fill,OK,OWNER,NA,4,USA,NA
Didn't Fill,MI,OWNER,NA,4,USA,NA
Didn't Fill,NY,OWNER,NA,4,USA,NA
Didn't Fill,MI,OWNER,NA,4,USA,NA
Didn't Fill,AZ,NA,NA,5,USA,Chinese
Didn't Fill,MA,NA,NA,5,USA,Chinese
Didn't Fill,MA,NA,NA,5,USA,Chinese
Didn't Fill,MA,NA,NA,5,USA,Chinese
Didn't Fill,CA,NA,NA,5,USA,Japanese
Didn't Fill,NY,PRESIDENT,NA,5,USA,Chinese
Didn't Fill,OH,NA,NA,6,USA,Cajun_Seafood
Didn't Fill,SC,NA,NA,6,USA,Japanese
Didn't Fill,TN,NA,NA,6,USA,Chinese
Filled,FL,NA,NA,6,USA,Cajun_Seafood
Didn't Fill,CA,PRESIDENT,NA,6,USA,Chinese
Didn't Fill,CA,SECRETARY,NA,6,USA,Japanese
Didn't Fill,NY,NA,NA,7,USA,Cajun_Seafood
Didn't Fill,NY,NA,NA,7,USA,Cajun_Seafood
Didn't Fill,VA,NA,NA,7,USA,Japanese
Didn't Fill,CA,NA,NA,7,USA,Japanese
Didn't Fill,CA,PRINCIPAL,NA,7,USA,Japanese
Filled,CA,NA,NA,7,USA,Japanese
Didn't Fill,OR,NA,NA,7,USA,Japanese
Didn't Fill,NJ,NA,NA,7,USA,Japanese
Didn't Fill,AZ,NA,NA,7,USA,Chinese
Filled,CA,NA,NA,7,USA,Chinese
Filled,CA,NA,NA,7,USA,Chinese
Filled,CA,NA,NA,7,USA,Chinese
Filled,CA,NA,NA,7,USA,Chinese
Didn't Fill,CA,NA,NA,7,USA,Japanese
Didn't Fill,CA,NA,NA,7,USA,Japanese
Didn't Fill,MS,NA,NA,7,USA,Cajun_Seafood
Didn't Fill,NY,NA,NA,7,USA,Japanese
Didn't Fill,NY,NA,NA,7,USA,Chinese
Didn't Fill,CA,PRINCIPAL,NA,7,USA,Chinese
Didn't Fill,VA,NA,NA,7,USA,Japanese
Didn't Fill,UT,PRESIDENT,NA,7,USA,Japanese
Didn't Fill,WA,NA,NA,7,USA,Japanese
Didn't Fill,CA,NA,NA,7,USA,Chinese
Didn't Fill,CA,PRINCIPAL,NA,7,USA,Chinese
Didn't Fill,MA,PRINCIPAL,NA,8,USA,Japanese
Filled,UT,NA,NA,8,USA,Japanese
Didn't Fill,AZ,NA,NA,8,USA,Japanese
