22,,,,,,,,,,,,
New Lead Y/N,URL from Google Analytics,Snowball Map,Restaurant Name,Address,City,State,,Menu Type,Business Phone,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11068,11068,China Lee,11308 Beach Blvd,Jacksonville,FL,United States,Chinese,(904) 998-1368,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11925,11925,Misaka,380 W Country Club Dr,Brentwood,CA,United States,Japanese,(925) 679-4890,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11958,11958,Kikusushi Japanese Restaurant,1655 S De Anza Blvd,Cupertino,CA,United States,Japanese,(408) 725-1749,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=12342,12342,Wing Sing Dim Sum,1125 Stockton St,San Francisco,CA,United States,Chinese,(415) 433-5571,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=13324,13324,Teriyaki House,1540 Butte House Rd,Yuba City,CA,United States,Japanese,(530) 671-3595,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=15768,15768,Hibachi Buffet,3351 S Alabama Ave,Monroeville,AL,United States,Chinese,(251) 575-9888,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17326,17326,Uniboil,132 E St,Davis,CA,United States,Chinese,(530) 758-6188,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=19873,19873,Sea Empress Seafood Restaurant,1636 W Redondo Beach Blvd,Gardena,CA,United States,Chinese,(310) 538-6868,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21216,21216,Sushi Enya,124 E Colorado Blvd,Pasadena,CA,United States,Japanese,(626) 995-3014,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21449,21449,Happy Bee Kitchen,17901 Pioneer Blvd,Artesia,CA,United States,Chinese,(562) 402-8816,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=23752,23752,Ondori Ramen,114 S Chestnut St,Kimball,NE,United States,Japanese,(308) 230-2114,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=02417,02417,Rising Sun,100 W Illinois Hwy,New Lenox,IL,United States,Chinese,(815) 462-6688,,,
