quarter,month_c,date_c,week_c,campaign_c,unique_id,date,pageLocation,region,country
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,33944,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=33944,Georgia,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,43244,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=43244,New York,United States
Q4,10,10/8/24,10/07-10/13,2024-oct-dm-chinese,37489,20241008,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=37489,Connecticut,United States
Q4,10,10/2/24,09/30-10/06,2024-oct-dm-chinese,26313,20241002,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=26313,Alabama,United States
Q4,10,10/2/24,09/30-10/06,2024-oct-dm-chinese,34946,20241002,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=34946,Illinois,United States
Q4,10,10/2/24,09/30-10/06,2024-oct-dm-chinese,47687,20241002,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=47687,Tennessee,United States
Q4,10,10/2/24,09/30-10/06,2024-oct-dm-chinese,51490,20241002,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=51490,Wisconsin,United States
Q4,10,10/2/24,09/30-10/06,2024-sep-dm-100giftcard-evergreen,29400,20241002,https://getskt.com/2024-sep-dm-100giftcard-evergreen/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbsql100giftcard&utm_id=29400,Texas,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,35304,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=35304,Illinois,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,35634,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=35634,Illinois,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,39139,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=39139,Arkansas,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,41414,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=41414,New Jersey,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,44731,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=44731,Pichincha,Ecuador
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-chinese,49053,20241003,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=49053,Texas,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-western,02930,20241003,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=02930,California,United States
Q4,10,10/3/24,09/30-10/06,2024-oct-dm-western,24643,20241003,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=24643,Pennsylvania,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,33389,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=33389,Colorado,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,37840,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=37840,Maryland,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,43552,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=43552,New York,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,43630,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=43630,New Jersey,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,48607,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=48607,Texas,United States
Q4,10,10/4/24,09/30-10/06,2024-oct-dm-chinese,48629,20241004,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=48629,Colorado,United States
