Page location,Date,Sessions,Total users
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=37903,20240409,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=38938,20240408,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=38938,20240419,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=39338,20240410,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=39498,20240428,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=39549,20240411,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=39983,20240406,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=40067,20240408,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=40878,20240406,2,2
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=40878,20240407,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=41569,20240318,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=42501,20240406,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=42731,20240406,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=42731,20240408,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=43094,20240408,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=43109,20240321,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=44006,20240404,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=44191,20240405,2,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=44501,20240320,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=44625,20240406,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=44625,20240407,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45126,20240320,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45212,20240419,2,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45382,20240409,2,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45526,20240418,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45842,20240318,1,1
https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=45842,20240320,2,2
