10,,,,,,,,,,,,,,,,
New Lead Y/N,URL from Google Analytics,Snowball Map,Restaurant Name,Address,City,State,,Menu Type,Business Phone,,,,,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=10060,10060,Chop Suey King,800 St Louis Ave,East St Louis,IL,United States,Chinese,(618) 274-4430,,,,,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=18533,18533,Taberu,806 E 3rd St,Los Angeles,CA,United States,Japanese,(213) 278-0198,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=25821,25821,Buddakan,75 9th Ave,New York,NY,United States,Japanese; Chinese,(212) 989-2245,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=27884,27884,A Taste of Louisiana,5955 N 27th St,Lincoln,NE,United States,American; Cajun,(337) 252-3163,,,,,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=33752,33752,Aja Sushi Asian Fusion,2464 Jerusalem Ave,Bellmore,NY,United States,Japanese; Chinese,(516) 308-4405,,,,,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42465,42465,Fuwa Teriyaki Grill,1625 Chestnut St,Philadelphia,PA,United States,Japanese,(215) 568-1888,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42876,42876,Young Cafe,667 156th Ave SE,Bellevue,WA,United States,Chinese; Taiwanese,(425) 590-9058,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=44153,44153,New China,5815 Rising Sun Ave,Philadelphia,PA,United States,Chinese,(215) 745-0229,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=51534,51534,China Sun Restaurant,4107 Naco Perrin Blvd,San Antonio,TX,United States,Vietnamese; Chinese,(210) 646-0939,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=54945,54945,Main Moon,3900 Erie St,Racine,WI,United States,Chinese,(262) 681-9888,,,,,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=08420,8420,Makiritto,2233 S Mooney Blvd,Visalia,CA,United States,Filipino; Japanese,(559) 556-1839,,,,,,,
N,https://getskt.com/2024jan2/?utm_source=printshopus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=58968,58968,Tai Chi,2031 Polk St,San Francisco,CA,United States,*American Chinese,4154416758,4155677821,4157225840,4155199358,4154416095,4155672888,4155339557,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=70877,70877,Bowl and Snacks,1 Oak St,Toronto,ON,Canada,Japanese,(416) 863-3972,,,,,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=71235,71235,Beachburg Restaurant,1925 Beachburg Rd,Whitewater Region,ON,Canada,Chinese,(613) 582-7282,,,,,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=75207,75207,Wami Ootoya,3820 Brentwood Rd NW,Calgary,AB,Canada,Japanese,(403) 289-8981,,,,,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=75772,75772,Ginkgo Garden,2225 St Laurent Blvd,Ottawa,ON,Canada,Chinese,(613) 737-3198,,,,,,,
Y,https://getskt.com/2024jan5/?utm_source=oldlistcan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=78772,78772,Ten Ren's Tea,9570 McCowan Road,Markham,ON,Canada,Chinese,(905) 534-8887,,,,,,,
Y,https://getskt.com/2024jan5/?utm_source=oldlistcan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=80543,80543,Argo CafΘ,1836 Ontario St,Vancouver,BC,Canada,Cajun Seafood,(604) 876-3620,,,,,,,
,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
