URL from Google Analytics,Snowball Map,Restaurant Name,Business Phone,Menu Type,Address,City,State
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01007,01007,China Cafeteria,(404) 243-9005,Chinese,2910 Rainbow Dr,Decatur,GA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=03007,03007,Color Oaks Chinese Food,(805) 241-7761,Chinese,1032 E Avenida de los Arboles,Thousand Oaks,CA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=17553,17553,Dragon Garden,(508) 695-8000,Chinese,35 N Washington St,North Attleboro,MA
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25856,25856,China Saute,(704) 563-0788,Chinese,9252 Albemarle Rd,Charlotte,NC
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=28773,28773,Hibachi Grill & Supreme Buffet,(908) 753-6019,Chinese,690 Oak Tree Ave,South Plainfield,NJ
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,30541,Banzai Teppan Yaki,(801) 969-5219,Japanese,2856 S 5600 W,West Valley City,UT
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30736,30736,Thai Orchid,(803) 937-5103,Japanese; Thai,1155 Saint Matthews Rd,Orangeburg,SC
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38885,38885,Chen's Diner Inc,(718) 471-2999,Chinese,558 Beach 25th St,Far Rockaway,NY
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39798,39798,New Happy Garden,(215) 551-8888,Chinese,2228 S 7th St,Philadelphia,PA
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39884,39884,Grand Buffet,(865) 512-9377,Chinese,6612 Clinton Hwy,Knoxville,TN
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41391,41391,Silver Rice,(347) 789-9875,Japanese,575 Flatbush Ave,Brooklyn,NY
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41685,41685,Chili & Spicy Restaurant,(929) 788-9582,Chinese; Taiwanese,135-53 Northern Blvd,Flushing,NY
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41762,41762,Wicked,(541) 436-2787,Japanese,101 4th St,Hood River,OR
https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=42414,42414,Umi Sushi & Grill,(817) 459-2779,Japanese,915 Road To Six Flags St E,Arlington,TX
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43238,43238,Redeye Grill,(212) 541-9000,American; Japanese,890 7th Ave,New York,NY
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43367,43367,Izumi Japanese Restaurant,(330) 758-8882,Japanese,840 Boardman Poland Rd,Youngstown,OH
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43897,43897,Lotus Dynasty,(631) 981-3660,Chinese,338 Union Ave,Holbrook,NY
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44508,44508,Wabi Sabi,(804) 504-5069,Japanese,29 Bollingbrook St,Petersburg,VA
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44682,44682,Ichiban Japanese Steakhouse,(307) 463-0520,Japanese,303 S Federal Blvd,Riverton,WY
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45598,45598,Okinawa,(540) 542-0300,Japanese,571 Adams Dr,Winchester,VA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01336,01336,Yummy Garden,(770) 623-8391,Szechuan; Cantonese; Chinese,2300 Pleasant Hill Rd,Duluth,GA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=05854,05854,Paper Pot Shabu,(909) 274-7616,Korean; Japanese,20657 Golden Springs Dr,Diamond Bar,CA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19187,19187,Panda House,(910) 860-8338,Chinese,7071 Raeford Rd,Fayetteville,NC
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19320,19320,Crystal Jade,(402) 398-1688,Chinese,7255 Cedar St,Omaha,NE
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20363,20363,Peking Villa,(586) 772-7210,Chinese,21609 Harper Ave,St Clair Shores,MI
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21315,21315,Golden Sun Chinese Restaurant,(732) 493-6398,Cantonese,815 W Park Ave,Ocean,NJ
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21512,21512,China Town,(252) 995-0118,Chinese,41934 NC-12,Avon,NC
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22160,22160,Eastern Buffet,(616) 225-8221,Chinese,701 S Greenville West Dr,Greenville,MI
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23164,23164,Wok N Roll,(773) 643-3500,Chinese,1408 E 53rd St,Chicago,IL
