Date,Page location,Sessions,ID,List Version,Snowball Map,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,All Phone (Print Shop),Address Check,Name + City Check,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,visit_again
2023-10-02,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=14556,1,14556,List - A,14556.0,Kinton Ramen,163 N Sangamon St,Chicago,IL,60607,United States,Emilio,Rodriguez,Lead Server,Front of the House,,,2012.0,,(312) 374-3942,-,-,-,4.0,social@kinkafamily.com,Japanese,$$,Bentobox; BringMeThat; ChowBus; Culinary Agents; DoorDash; Facebook Pixel; Google Analytics; Grubhub; UEAT; Uber Eats,False
2023-10-02,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=17307,1,17307,List - A,17307.0,Go Sushi,1411 S Milton Rd,Flagstaff,AZ,86001,United States,Jarunee,Krathinthong,Principal,Owner,,,,,(928) 440-5001,-,-,-,1.0,,Japanese,$$,Uber Eats; Wix Restaurants,False
2023-10-02,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=18238,1,18238,List - A,18238.0,El Tiesto Cafe,210 SW 2nd St,Fort Lauderdale,FL,33301,United States,,,,,,,,,(954) 900-4583,-,-,-,0.0,,Dominican; Japanese; Caribbean,,Eventbrite; OpenTable; Toast Marketplace; Toast Online Ordering; Uber Eats; Wix Restaurants; Yelp Reservation; Yelp Waitlist,False
2023-10-02,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=26363,1,26363,List - B,26363.0,Chen's Diner Inc,558 Beach 25th St,Far Rockaway,NY,11691,United States,,,,,,,,,(718) 471-2999,"7188688800, 6462904463, 7184712999, 7188682888","7188688800, 6462904463, 7184712999, 7188682888",-,0.0,,Chinese,,Uber Eats,False
2023-10-02,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30088,1,30088,List - B,30088.0,Northern Kitchen,7827 Portland Ave S,Bloomington,MN,55420,United States,,,,,,,,,(952) 456-8681,-,-,-,0.0,,Chinese,$,Facebook Pixel; Google Analytics; Grubhub; Menufy,False
2023-10-02,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=31533,1,31533,List - B,31533.0,Ling's Cafe,2022 NW Topeka Blvd,Topeka,KS,66608,United States,Ling,Zheng,President,General,,,2011.0,,(785) 233-5888,"7852335888, 7854919016","7852335888, 7854919016",-,1.0,,Chinese,$$,BringMeThat; Chinese Menu Online; DoorDash; EHungry; EatStreet; Google Analytics; MailChimp; Opencart; Squarespace,False
2023-10-03,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=16965,1,16965,List - A,16965.0,Umai Cafe,3277 Rochester Rd,Troy,MI,48083,United States,,,,,,,,,(248) 688-9340,-,-,-,0.0,,Japanese,,Uber Eats,False
2023-10-03,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=21548,1,21548,List - B,21548.0,Soho Japanese Bistro,7225 Heritage Square Dr,Granger,IN,46530,United States,Tony,Lim,Owner,Owner,,,2008.0,,(574) 272-2292,-,-,-,1.0,,Japanese,$$,,False
2023-10-03,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=38815,1,38815,List - B,38815.0,Terakawa Ramen,64 Princeton Hightstown Rd,Princeton Junction,NJ,8550,United States,Joey,W,Business Owner,Owner,,,2018.0,,(609) 799-6688,-,-,-,1.0,terakawaramen.nj@gmail.com,Japanese,$$,BringMeThat; Culinary Agents; DoorDash; Snackpass; Yelp Reservation; Yelp Waitlist,False
2023-10-03,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=38919,1,38919,List - B,38919.0,TS Ma Chinese Cuisine,637 Wyckoff Ave,Wyckoff,NJ,7481,United States,,Thomas,Business Owner,Owner,,,2016.0,,(201) 891-8878,"2018916666, 5512067209","2018916666, 5512067209",-,1.0,info@tsmacc.com,Chinese,$$,Culinary Agents; Facebook Pixel; Google Analytics; SinglePlatform; WooCommerce; Yelp Reservation; Yelp Waitlist,False
2023-10-03,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=37391,1,37391,List - B,37391.0,China House,3600 MacArthur Blvd,New Orleans,LA,70114,United States,Chun,Lin,,,,,2007.0,,(504) 368-5520,-,-,-,1.0,info@chinahousenola.com,Chinese,$,Chinese Menu Online; DoorDash; Google Analytics; MailChimp; Opencart; Squarespace; Uber Eats,False
2023-10-03,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44157,1,44157,List - B,44157.0,SHIAWASE SUSHI,19415 Yonge St,East Gwillimbury,ON,L9N 1L8,Canada,,,,,,,,,(905) 953-1212,-,-,-,0.0,,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,False
