Snowball_ID,InfoSource,page_view,scroll,user_engagement,first_visit,session_start,video_progress,video_start,video_complete,Name,First_Name,Last_Name,Contact_Title,State,phone_number,Address,City,Zip_Code,Employee_Size,Minority_Owned_Indicator,Minority_Code,Sales_Volume,Category,Small_Business_Indicator,Salutation,Gender,Year_Established,Ethnic_Code_Desc,Franchise,Country,Street,Employment_Size,Vendor_Ethnicity_Description,fill_info
1,google,1,1,1,0,0,0,0,0,?? SC house,NA,NA,NA,NJ,(609) 454-3790,238 NASSAU ST,PRINCETON,08542-4623,9-May,NA,NA,NA,NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
33,google,4,1,1,4,5,0,0,0,14th St Cafe Asian Bistro,NA,NA,NA,DC,(202) 588-0695,1416 14TH ST NW,WASHINGTON,20005-3776,9-May,NA,NA,"$500,000-1 MILLION",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
57,google,1,0,0,0,0,0,0,0,2234 GREAT WALL INC,NA,NA,NA,NY,(212) 426-4888,2234 1ST AVE FRNT 1,NEW YORK,10029-2352,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
70,google,1,0,0,1,1,0,0,0,301,NA,NA,NA,NY,(718) 318-7800,8603 ROCKAWAY BEACH BLVD,ROCKAWAY BCH,11693-1613,4-Jan,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
153,google,2,0,0,2,2,0,0,0,9 THAI-SUSHI,NA,NA,NA,FL,(239) 676-5461,19976 S TAMIAMI TRL STE 210,ESTERO,33928-2230,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
153,google,1,1,0,0,1,0,0,0,9 THAI-SUSHI,NA,NA,NA,FL,(239) 676-5461,19976 S TAMIAMI TRL STE 210,ESTERO,33928-2230,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
310,google,1,1,0,1,1,0,0,0,Aji Ten Japanese Restaurant,FARI,SANATGAR,OWNER,MI,(734) 979-0988,42087 FORD RD,CANTON,48187-3669,9-May,NA,NA,"LESS THAN $500,000",NA,Y,MR,M,2007,Unknown,NA,USA,NA,NA,NA,No
352,google,1,1,1,1,1,1,1,0,AKIMI SUSHI & STIRFRY,NA,NA,NA,TX,(832) 566-3377,1354 NASA PKWY STE A1,HOUSTON,77058-3193,19-Oct,NA,NA,"$500,000-1 MILLION",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
450,google,1,0,0,1,1,0,0,0,AMY'S CHINESE KITCHEN,NA,NA,NA,CA,(707) -79-9828,8577 GRAVENSTEIN HWY,COTATI,94931-4151,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
450,google,2,0,0,2,2,0,0,0,AMY'S CHINESE KITCHEN,NA,NA,NA,CA,(707) -79-9828,8577 GRAVENSTEIN HWY,COTATI,94931-4151,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
543,google,1,0,0,1,1,0,0,0,Ariyoshi Japanese Restaurant,NA,NA,NA,NY,(718) 937-3288,4113 QUEENS BLVD,SUNNYSIDE,11104-2801,4-Jan,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
543,google,1,0,0,1,1,0,0,0,Ariyoshi Japanese Restaurant,NA,NA,NA,NY,(718) 937-3288,4113 QUEENS BLVD,SUNNYSIDE,11104-2801,4-Jan,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
566,google,2,2,0,2,2,0,0,0,Asahi Japanese Restaurant,NA,NA,NA,NY,(315) 424-8818,508 WESTCOTT ST,SYRACUSE,13210-2549,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,2012,Unknown,NA,USA,NA,NA,NA,No
632,google,2,0,0,2,2,0,0,0,Asia Fusion Restaurant,NA,NA,NA,OH,(614) 790-8860,3512 W DUBLIN GRANVILLE RD,COLUMBUS,43235-2799,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
632,google,2,0,0,0,2,0,0,0,Asia Fusion Restaurant,NA,NA,NA,OH,(614) 790-8860,3512 W DUBLIN GRANVILLE RD,COLUMBUS,43235-2799,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
717,google,2,2,0,2,2,0,0,0,Asian Bistro,NA,NA,NA,PA,(484) 704-7484,540 SHOEMAKER RD,KNG OF PRUSSA,19406-3522,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
724,google,1,1,0,1,1,0,0,0,Asian Bistro Restaurant,NA,NA,NA,WA,(360) 384-2818,1730 LABOUNTY DR STE 1,FERNDALE,98248-8959,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
764,google,1,1,0,1,1,1,1,1,Asian CafΘ Chinese & Sushi Grill,JOHN,DONG,OWNER,MN,(763) 272-1509,514 PINE ST,MONTICELLO,55362-8570,9-May,NA,NA,"LESS THAN $500,000",NA,Y,MR,M,2016,Vietnamese,NA,USA,NA,NA,NA,No
770,google,1,1,1,1,1,0,0,0,Asian Chao,NA,NA,NA,MD,(301) 645-7526,11110 MALL CIR,WALDORF,20603-1800,9-May,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
788,google,2,0,0,2,2,0,0,0,ASIAN COTTAGE,NA,NA,NA,OH,(937) 875-2190,761 W MARKET ST,TROY,45373-3072,4-Jan,NA,NA,"LESS THAN $500,000",NA,N,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
806,google,1,1,1,1,1,0,0,0,Asian Cuisine # 2,NA,NA,NA,WY,(307) 856-1919,41921 W LARAMIE CT,RIVERTON,82501-3751,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
925,google,1,1,1,1,1,0,0,0,ASIAN GARDEN,NA,NA,NA,OH,(330) 773-7770,1497 S ARLINGTON ST,AKRON,44306-3831,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
925,google,2,2,0,2,2,0,0,0,ASIAN GARDEN,NA,NA,NA,OH,(330) 773-7770,1497 S ARLINGTON ST,AKRON,44306-3831,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,USA,NA,NA,NA,No
1113,google,2,0,2,2,2,0,0,0,Asian Street Eatery,SARAH,CHUNG,OWNER,CA,() -,1146 W EL CAMINO REAL,SUNNYVALE,94087-1025,4-Jan,NA,NA,"LESS THAN $500,000",NA,Y,MS,F,2019,Chinese,NA,USA,NA,NA,NA,No
