Snowball_ID,Date,page_view,scroll,user_engagement,first_visit,session_start,video_progress,video_start,video_complete,Restaurant.Name,Mailing.Address,City.Name,State,TELEPHONENUMBER,Zip.Code,Carrier.code,Mailing.address.mailability.score,ABI.Number,Contact.First.Name,Contact.Last.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Owner.Minority,Location.Employment.Size.Description,Location.Sales.Volume.Description,Small.Business.Entrepreneur.Indicator,Franchise.Specialty.Description1,True.Franchise.Indicator,Year.Established,Ethnic.Code,Ethnic.Code.Desc,Group.Code.Desc
1,20230724,1,1,1,0,0,0,0,0,?? SC house,238 NASSAU ST,PRINCETON,NJ,(609) 454-3790,08542-4623,C008,1C,749062004,,,,,,,5-9,,N,,,NA,,Unknown,Uncoded (No Group)
33,20230617,4,1,1,4,5,0,0,0,14th St Cafe Asian Bistro,1416 14TH ST NW,WASHINGTON,DC,(202) 588-0695,20005-3776,C033,3B,715031200,,,,,,,5-9,"$500,000-1 MILLION",N,,,NA,,Unknown,Uncoded (No Group)
57,20230926,1,0,0,0,0,0,0,0,2234 GREAT WALL INC,2234 1ST AVE FRNT 1,NEW YORK,NY,(212) 426-4888,10029-2352,C025,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
70,20230811,1,0,0,1,1,0,0,0,301,8603 ROCKAWAY BEACH BLVD,ROCKAWAY BCH,NY,(718) 318-7800,11693-1613,C001,1C,214360745,,,,,,,1-4,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
153,20230619,1,1,0,0,1,0,0,0,9 THAI-SUSHI,19976 S TAMIAMI TRL STE 210,ESTERO,FL,(239) 676-5461,33928-2230,R080,1C,748493529,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
153,20230616,2,0,0,2,2,0,0,0,9 THAI-SUSHI,19976 S TAMIAMI TRL STE 210,ESTERO,FL,(239) 676-5461,33928-2230,R080,1C,748493529,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
310,20230613,1,1,0,1,1,0,0,0,Aji Ten Japanese Restaurant,42087 FORD RD,CANTON,MI,(734) 979-0988,48187-3669,C041,1C,629870585,FARI,SANATGAR,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,2007,,Unknown,Uncoded (No Group)
352,20230610,1,1,1,1,1,1,1,0,AKIMI SUSHI & STIRFRY,1354 NASA PKWY STE A1,HOUSTON,TX,(832) 566-3377,77058-3193,C019,3B,678158742,,,,,,,10-19,"$500,000-1 MILLION",N,,,NA,,Unknown,Uncoded (No Group)
352,20230610,1,1,1,1,1,1,1,0,AKIMI SUSHI & STIRFRY,1354 NASA PKWY STE A1,HOUSTON,TX,(832) 566-3377,77058-3193,C019,3B,678158742,,,,,,,10-19,"$500,000-1 MILLION",N,,,NA,,Unknown,Uncoded (No Group)
450,20230612,2,0,0,2,2,0,0,0,AMY'S CHINESE KITCHEN,8577 GRAVENSTEIN HWY,COTATI,CA,(707) -79-9828,94931-4151,C008,1C,436221351,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
