flow,types,mql,sql,cw,list_source,Lead ID,Lead Source,Lead Category,Lead Channel,Created By,Lead Owner,Mobile - Primary,Business Phone,First Name,Last Name,Company / Account,Menu Type,State/Province (text only),Country (text only),Latest Re-engaged Date,Latest Campaign,Created Date,WeChat External Id,Lead Status,Lead Stage,Unqualified Reason,Rejected Reason,Opportunity: Created Date,Opportunity ID,Opportunity: Account,Stage,Oppt Close Date,Restaurant ID,Contact ID,Account ID,Campaign Name
inbound call,inbound call,TRUE,FALSE,FALSE,NA,00QUo000005axd3,Marketing Inbound,Inbound,DM,Shaoxiang Chan,Jiaxin Chen,3852589236,NA,NA,sherly,Unknown,Chinese,UT,United States,2/5/2024,Mkt_DM_Snowflake_2024JanUS,2/2/2024,NA,AE Assigned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,TRUE,TRUE,FALSE,Brizo_US,00QUo000005HxfA,Marketing Inbound,Inbound,DM,JotForm Integration User,Wonders Lead queue,7853044682,NA,NA,jeff,The China Palace R86929,Chinese,KS,United States,1/28/2024,Mkt_DM_Snowflake_2024JanV1,1/28/2024,NA,Converted,NA,NA,NA,1/29/2024,006Uo000007APik,The China Palace R86929,Closed Won,2/28/2024,R86929,003Uo000003clnU,001Uo000003h1Yd,Mkt_DM_Snowflake_2024JanV1
webflow,jotform,TRUE,TRUE,FALSE,Brizo_US,00QUo000005EGoQ,Marketing Inbound,Inbound,Client Referral; DM,JotForm Integration User,Wonders Lead queue,9178335080,9373257338,NA,Ms.潘,YAMATO STEAK HOUSE R86897,Japanese,OH,United States,1/27/2024,Mkt_DM_Snowflake_2024JanV1,1/27/2024,NA,Converted,NA,NA,NA,1/27/2024,006Uo0000074bUo,YAMATO STEAK HOUSE R86897,Closed Won,2/26/2024,R86897,003Uo000003ZN9h,001Uo000003dHAX,Mkt_DM_Snowflake_2023ChristmasV1
webflow,jotform,TRUE,TRUE,FALSE,Brizo_US,00QUo000005EGoQ,Marketing Inbound,Inbound,Client Referral; DM,JotForm Integration User,Wonders Lead queue,9178335080,9373257338,NA,Ms.潘,YAMATO STEAK HOUSE R86897,Japanese,OH,United States,1/27/2024,Mkt_DM_Snowflake_2024JanV1,1/27/2024,NA,Converted,NA,NA,NA,1/27/2024,006Uo0000074bUo,YAMATO STEAK HOUSE R86897,Closed Won,2/26/2024,R86897,003Uo000003ZN9h,001Uo000003dHAX,Mkt_DM_Snowflake_2024JanV1
webflow,qr scan,FALSE,FALSE,FALSE,Oldlist_CAN,00QUo000004tD2L,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6048763620,NA,Argo CafΘ,Argo CafΘ,Cajun,BC,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV5,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Oldlist_CAN,00QUo000004tCiz,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,9055348887,NA,Ten Ren's Tea,Ten Ren's Tea,Chinese,ON,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV5,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004tBi5,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6137373198,NA,Ginkgo Garden,Ginkgo Garden,Chinese,ON,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV4,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004t0eg,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6135827282,NA,Beachburg Restaurant,Beachburg Restaurant,Chinese,ON,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV4,1/22/2024,NA,SDR Complete,Rejected,NA,No Interest to talk to sales,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004t6Lr,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,4032898981,NA,Wami Ootoya,Wami Ootoya,Japanese,AB,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV4,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004tAvh,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,4168633972,NA,Bowl and Snacks,Bowl and Snacks,Japanese,ON,Canada,1/22/2024,Mkt_DM_Snowflake_2024JanV4,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
