Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
70911,SILK THAI HAGERSTOWN,1580 WESEL BLVD,HAGERSTOWN,21740,MD,7037980875,2402672142
70912,PEKING HOUSE,11 E BALTIMORE ST,BALTIMORE,21202,MD,,4105398183
70913,BENNYS SUB SHOP,6505 CRAIN HWY,LA PLATA,20646,MD,9178856578,3019348585
70914,ZEN 16 SUSHI CAFE,533 BALTIMORE PIKE,BEL AIR,21014,MD,,4108365999
70915,KIYOMI SUSHI INC,1443 ROCK SPRING RD,BEL AIR,21014,MD,,4106387200
70916,FULL KEE INC,2227 UNIVERSITY BLVD W,SILVER SPRING,20902,MD,,3019338388
70917,ASIA CAFE,12937 WISTERIA DR,GERMANTOWN,20874,MD,,3015286610
70918,GOODIES RESTAURANT & CARRYOUT,3394 LEONARDTOWN RD,WALDORF,20601,MD,,3018701549
70919,MAINLAND RESTAURANT,6713 MARLBORO PIKE,DISTRICT HEIGHTS,20747,MD,,3017352250
70920,FUJI SANSU FEN SESUM,10015 YORK RD STE A,COCKEYSVILLE,21030,MD,,4106289098
70921,BANANA LEAVES ASIAN CAFE INC,160 CONGRESSIONAL LN,ROCKVILLE,20852,MD,,3012308908
70922,FUSION RESTAURANT,10752 YORK RD,COCKEYSVILLE,21030,MD,,4433305714
70923,ANDREWS RESTAURANT,6407 SUITLAND RD,SUITLAND,20746,MD,,3017359320
70924,TOP OF CHINA,18728 NORTH POINTE DR,HAGERSTOWN,21742,MD,,3017338808
70925,MR KS ORIENTAL CAFE INC,12611 WISTERIA DR STE I,GERMANTOWN,20874,MD,,3019160400
70926,JERRY YUM,10696 CAMPUS WAY S,UPPER MARLBORO,20774,MD,,3013508602
70927,JOHNNY,9329 ANNAPOLIS RD,LANHAM,20706,MD,,3015777088
70928,FORTUNE COOKIE EXPRESS,1286 STATE ROUTE 3 S,CROFTON,21114,MD,,4107218188
