State Group,datediff_rejected_date,datediff_created_date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Rejected Time,Created By,Unqualified Reason,Lead Stage
Group A,,584,2022-10-31T04:00:00Z,Beijing Garden,Beijing Garden,510 Greybull Ave,82426,WY,,(307) 373-2084,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Ramen House Tenjin,Ramen House Tenjin,7485 Rush River Dr Ste 740,95831,CA,,(916) 661-6656,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,NEW FRESH WOK,NEW FRESH WOK,1533 LARPENTEUR AVE W,55113,MN,,(651) 645-8883,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,NEW FRESH WOK,NEW FRESH WOK,330 W BROADWAY,55964,MN,,(507) 534-4288,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Thai Chef 2,Thai Chef 2,712 E Fremont Ave,82501,WY,,(307) 463-0376,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Phở Saigon,Phở Saigon,2145 E 12th St,82601,WY,,(307) 472-5695,Marketing Nurture Queue,Xue Ni Chu,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,House Of Chang,House Of Chang,4660 Natomas Blvd Ste 110,95835,CA,,(916) 925-2138,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,NEW HUNAN,NEW HUNAN,106 1ST ST E,55976,MN,,(507) 533-0336,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Pad Thai Restaurant,Pad Thai Restaurant,366 N Main St,82801,WY,,(307) 655-5595,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Teriyaki Time,Teriyaki Time,4730 Natomas Blvd Ste 140,95835,CA,,(916) 928-1122,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Zheng Zhong Chinese & Thai Restaurant,Zheng Zhong Chinese & Thai Restaurant,458 Washington St,83110,WY,,(307) 248-8009,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group A,,584,2022-10-31T04:00:00Z,Sushi Elite,Sushi Elite,4740 Natomas Blvd Ste 100,95835,CA,,(916) 263-9188,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
