State Group,datediff_rejected_date,datediff_created_date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Rejected Time,Created By,Unqualified Reason,Lead Stage
Group B,,584,2022-10-31T04:00:00Z,SILK THAI HAGERSTOWN,SILK THAI HAGERSTOWN,1580 WESEL BLVD,21740,MD,(703) 798-0875,(240) 267-2142,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Bonmy,THAI RAINBOW RESTAURANT INC,750 CONCOURSE CIR,21220,MD,,(443) 317-8689,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHANG & MI INC,MOBYDICK SUSHI,11220 TRIANGLE LN,20902,MD,,(301) 949-3910,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,PANDA RESTAURANT GROUP  INC,PANDA RESTAURANT GROUP  INC,6514 REISTERSTOWN RD,21215,MD,,(410) 585-1373,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,AM Asian Cuisine,AM Asian Cuisine,1235 N Mt Juliet Rd,37122,TN,,(615) 288-4062,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,PANDA RESTAURANT GROUP  INC,PANDA RESTAURANT GROUP  INC,7351 ASSATEAGUE DR STE 10,20794,MD,,(410) 799-7027,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sakura Japanese Buffet,Sakura Japanese Buffet,624 Parkway,37862,TN,,(865) 429-2268,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Gourmet Inspirations,Gourmet Inspirations,2646 UNIVERSITY BLVD W,20902,MD,,(301) 929-8818,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Red Maple Asian Bistro,Red Maple Asian Bistro,8315 GRUBB RD,20910,MD,,(301) 608-2655,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Keriyaki Asian Cuisine,Keriyaki Asian Cuisine,7180 Nolensville Rd Suite 2D,37135,TN,,(615) 776-8618,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,GOLDEN CHKN & JAPANESE GRILL,GOLDEN CHKN & JAPANESE GRILL,46400 LEXINGTON VLG WAY,20653,MD,,(301) 737-4488,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHARLIE CHOW MEIN,CHARLIE CHOW MEIN,508 W COLD SPRING LN,21210,MD,,(410) 889-8886,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Genghis Grill,Genghis Grill,600B Frazier Dr #104,37067,TN,,(615) 771-0111,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Peter's Sushi & Thai,Peter's Sushi & Thai,330 Franklin Rd Suite 912D,37027,TN,,(615) 370-1493,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,China Gourmet Online Order,China Gourmet Online Order - Permanently closed,1114 Murfreesboro Rd # 108,37064,TN,,(615) 599-5188,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Hibachi Express,Hibachi Express,3862 Trenton Rd suite a,37040,TN,,(931) 905-4928,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,S MING CAFE INC,S MING CAFE INC,480 RITCHIE HWY STE D,21146,MD,,(410) 544-9991,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Koi Sushi & Thai,Koi Sushi & Thai,102 Lumber Dr # 200,37064,TN,,(615) 538-6018,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,fairvue sapporo japanese and korean BBQ,fairvue sapporo japanese and korean BBQ,1650 Nashville Pike #700,37066,TN,,(615) 230-0031,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Thai Phooket II,Thai Phooket II,915 Rivergate Pkwy,37072,TN,,(615) 420-6357,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SONNY LEES HUNAN TASTE  INC,SONNY LEES HUNAN TASTE  INC,750 MAIN ST STE 104A,21136,MD,,(410) 833-7288,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sunny Kitchen,Sunny Kitchen,621 S Mt Juliet Rd #105,37122,TN,,(615) 288-8888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Tánsuŏ,Tánsuŏ,121B 12th Ave N,37203,TN,,(731) 584-5400,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Lil Thai Cafe,Lil Thai Cafe,568 Waldron Rd,37086,TN,,(615) 280-6062,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Chon Tong (Thai Cafe),Chon Tong (Thai Cafe),5094 Murfreesboro Rd suite-d,37086,TN,,(615) 793-9993,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Thida Thai,Thida Thai,10644 Cedar Grove Rd,37167,TN,,(615) 220-7573,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Asia Market & Thai Phooket 3,Asia Market & Thai Phooket 3,13946 Old Nashville Hwy,37167,TN,,(615) 462-7012,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
