Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Cuisine Type,Phone Number(s),,,,,,
81104,Aji Sai Japanese Restaurant,32 Dundas St W Belleville ON K8P 1A3,Belleville,K8P 1A3,ON,CAN,Japanese,6139663939,,,,,,
81105,Annie's Kitchen Chinese Restaurant,10320 Whalley Blvd,Surrey,V3T 4H4,BC,CAN,American Chinese/Cajun/Seafood,16044985066,,,,,,
81106,Apple Inn Chinese Restaurant,2409 Edmonton Trail,Calgary,T2E 3M7,AB,CAN,American Chinese,14032763353,,,,,,
81107,Asa Japanese Restaurant,2178 West 41st Avenue,Vancouver,V6M 1Z1,BC,CAN,Japanese,6042670077,7788755224,6043271641,7789800825,,,
81108,Asian Garden,2002 8 St E,Saskatoon,S7H 0T9,SK,CAN,American Chinese,6088509818,6082395699,(306) 975-0906,,,,
81109,Asian One Restaurant,9600 Islington Ave Unit D1,Woodbridge,L4H 2T1,ON,CAN,American Chinese,905-552-8883,9055528882,,,,,
81110,Baiyulan Shanghai Cuisine,129-4940 Number 3 Rd,Richmond,V6Y 1N5,BC,CAN,Traditional Chinese,16043048288,,,,,,
81111,Beijing House,1850 Island Hwy N,Campbell River,V9W 2G1,BC,CAN,Traditional Chinese,2508303268,2508307388,,,,,
81112,Blue Orchid Chinese Resturant,11235 Jasper Ave,Edmonton,T5K 0L5,AB,CAN,Traditional Chinese,7807611235,7807087160,7804218300,7806043863,,,
81113,Caltons Chinese Restaurant,5010 4 St NE 14,Calgary,T2K 5X8,AB,CAN,American Chinese,14032758181,,,,,,
81114,Canton Garden,45595 Yale Rd,Chilliwack,V2P 2N1,BC,CAN,Traditional Chinese,9024067788,9024488528,9024231186,9024898388,9024888528,6478966773,9024438528
81115,China Coast,9 Main Street West,Saint John,E2M 3M9,NB,CAN,American Chinese,5066351774,5066399368,,,,,
81116,China Kitchen Cafe,424 Main St,Bienfait,S0C 0M0,SK,CAN,American Chinese,13064219198,306-421-9198,,,,,
81117,Chipan,535 Yates St,Victoria,V8W 2Z6,BC,CAN,Japanese,7784337229,,,,,,
