,,Total ARR,,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,,Comments,,,,
UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,Q/Q,Q/Q %,Status,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,,Q1'24,Q2'24,R81001,R81001
R82806,PT,0,"4,554","5,180","4,217","7,321","4,630","4,127","1,931",0,0,0,0,0,0,0,,,,0,"4,554","5,089","4,121","7,230","4,630","4,036","1,840",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,91,96,91,0,91,91,0,0,0,0,0,0,,,,,R81002,R81002
R83579,PT,0,0,0,0,"2,400",0,"2,400",400,0,0,0,0,0,0,0,,,,0,0,0,0,"2,400",0,"2,400",400,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81007,R81007
R81001,FT,"31,970","25,351","25,626","27,240","25,629","23,874","25,956","26,123","32,520","32,711","32,999","35,392","34,462","33,591","1,463",4%,-3%,,"31,970","25,351","25,626","27,240","25,629","23,874","25,956","26,123","28,690","29,388","29,562","32,356","31,356","30,567",,0,0,0,0,0,0,0,0,"2,584","2,610","2,367","2,082","1,996","1,996",,0,0,0,0,0,0,0,0,"1,246",713,"1,070",955,"1,110","1,028",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81008,R81008
R81002,FT,"11,029","11,479","12,403","11,901","11,272","12,122","11,186","11,125","9,914","8,441","8,424","8,340","8,194","8,170",-230,-3%,-2%,,"11,029","11,479","12,403","11,901","11,272","12,122","11,186","11,125","9,914","8,441","8,424","8,340","8,194","8,170",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81009,R81009
R81007,FT,"18,244","19,715","15,725","14,980","13,741","18,046","14,984","16,863","14,901","15,157","14,131","13,627","14,221","15,721",90,1%,4%,,"14,230","16,267","14,149","13,531","11,741","16,082","12,987","14,889","13,177","13,206","12,830","12,247","12,977","14,477",,"4,014","3,448","1,576","1,449","2,000","1,964","1,997","1,974","1,724","1,951","1,301","1,381","1,244","1,244",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81013,R81013
R81008,PT,"15,353","10,862","11,373","12,338","13,351","10,179","10,039","11,743","12,063","9,682","9,869","8,987","9,092","10,332",-777,-8%,1%,,"14,774","10,342","10,770","11,926","12,634","9,755","9,541","11,117","10,991","9,151","9,293","8,638","8,684","9,927",,579,520,603,412,717,424,498,626,863,449,442,288,305,305,,0,0,0,0,0,0,0,0,209,82,134,61,103,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81016,R81016
R81009,FT,"26,949","32,209","30,481","27,262","24,330","28,318","26,561","28,135","23,350","29,437","26,083","26,096","26,716","27,945",633,2%,2%,,"26,949","32,209","30,481","27,262","24,330","28,318","26,561","28,135","23,350","29,437","26,083","26,096","26,716","27,945",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81018,R81018
R81013,PT,"35,435","29,706","29,465","32,297","31,355","28,139","32,061","24,018","20,665","21,943","26,560","26,719","25,305","25,673","-1,255",-5%,-5%,,"31,615","26,690","26,387","28,813","28,438","25,657","29,477","23,959","20,595","20,059","24,504","24,017","22,999","23,455",,"3,820","3,016","3,078","3,484","2,917","2,482","2,584",59,70,"1,358","1,212","1,831","1,606","1,606",,0,0,0,0,0,0,0,0,0,526,844,871,700,612,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81019,R81019
R81016,FT,"48,137","42,206","12,312","9,484","8,857","8,046","7,409","6,672","9,939","11,626","11,023","12,382","11,654","11,339",631,6%,-6%,,"41,127","35,480","12,230","9,457","8,804","8,008","7,343","6,640","7,364","9,190","7,807","9,783","9,267","8,974",,"7,010","6,726",82,27,53,38,66,32,"1,857","1,964","2,426","1,881","1,609","1,609",,0,0,0,0,0,0,0,0,718,472,790,718,778,756,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81021,R81021
R81018,FT,"37,124","35,843","33,498","33,805","31,099","33,844","34,806","35,685","38,983","34,923","38,932","37,384","37,438","37,640","-1,494",-4%,0%,,"33,665","32,394","30,856","31,035","28,005","30,928","31,927","32,200","35,741","32,468","35,836","34,367","34,264","34,466",,"3,459","3,449","2,642","2,770","3,094","2,916","2,879","3,485","3,242","2,455","3,096","3,017","3,174","3,174",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81022,R81022
