Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81001,"31,171","445,935",6.99%,,R81001,0,0,"31,171",0.00%,R81001,"1,980",,R81001,208,,R88269,Jul'24 Reactivate,,R88256,Jul'24 Y
R81002,"7,770","111,154",6.99%,,R81002,0,0,"7,770",,R81007,"2,671",,R81008,53,,R81631,Jul'24 Reactivate,,R88971,Jul'24 Y
R81007,"15,987","199,839",8.00%,,R81003,0,0,0,,R81008,"1,447",,R81013,110,,R81925,Jul'24 Reactivate,,R81139,Jul'24 Y
R81008,"17,154","226,009",7.59%,,R81005,0,0,0,,R81013,"1,192",,R81016,160,,R82092,Jul'24 Reactivate,,R81291,Jul'24 Y
R81009,"25,013","291,186",8.59%,,R81006,0,0,0,,R81016,"1,521",,R81075,26,,R82662,Jul'24 Reactivate,,R81293,Jul'24 Y
R81013,"21,633","309,485",6.99%,,R81007,0,0,"15,987",,R81018,"2,587",,R81132,123,,R82911,Jul'24 Reactivate,,R81381,Jul'24 Y
R81016,"8,827","110,338",8.00%,,R81008,0,0,"17,154",,R81019,"5,658",,R81133,267,,R82919,Jul'24 Reactivate,,R81375,Jul'24 Y
R81018,"31,607","405,739",7.79%,,R81009,10,0,"25,133",,R81026,"2,954",,R81151,62,,R83326,Jul'24 Reactivate,,R81581,Jul'24 Y
R81019,"56,753","728,537",7.79%,,R81011,0,0,0,,R81028,"5,696",,R81159,60,,R83618,Jul'24 Reactivate,,R81662,Jul'24 Y
R81021,"13,598","194,533",6.99%,,R81012,0,0,0,,R81031,"3,199",,R81177,153,,R85001,Jul'24 Reactivate,,R81732,Jul'24 Y
R81022,"29,414","420,802",6.99%,,R81013,0,0,"21,633",,R81033,"6,295",,R81178,131,,R85218,Jul'24 Reactivate,,R81839,Jul'24 Y
R81023,"5,073","63,491",7.99%,,R81015,0,0,0,,R81058,"1,378",,R81186,10,,R85596,Jul'24 Reactivate,,R81908,Jul'24 Y
R81026,"33,993","430,840",7.89%,,R81016,0,0,"8,827",,R81068,"3,747",,R81188,39,,R85835,Jul'24 Reactivate,,R81997,Jul'24 Y
R81028,"50,014","658,952",7.59%,,R81017,0,0,0,,R81072,"1,386",,R81202,37,,R85861,Jul'24 Reactivate,,R82523,Jul'24 Y
R81029,"33,641","481,274",6.99%,,R81018,0,0,"31,607",,R81073,"1,643",,R81207,181,,R86086,Jul'24 Reactivate,,R82601,Jul'24 Y
R81031,"20,502","259,848",7.89%,,R81019,0,0,"56,753",,R81075,613,,R81211,46,,R86297,Jul'24 Reactivate,,R82682,Jul'24 Y
R81033,"54,491","657,310",8.29%,,R81021,0,0,"13,598",,R81088,"12,170",,R81232,162,,R86601,Jul'24 Reactivate,,R82761,Jul'24 Y
R81035,"17,562","219,805",7.99%,,R81022,0,0,"29,414",,R81095,"8,208",,R81238,84,,R86622,Jul'24 Reactivate,,R82895,Jul'24 Y
R81037,"29,955","428,543",6.99%,,R81023,0,0,"5,073",,R81101,"1,245",,R81251,22,,R86652,Jul'24 Reactivate,,R82875,Jul'24 Y
R81051,0,0,7.79%,,R81025,0,0,0,,R81121,"2,769",,R81255,56,,R87015,Jul'24 Reactivate,,R83013,Jul'24 Y
R81052,"34,998","407,425",8.59%,,R81026,0,0,"33,993",,R81122,"1,608",,R81297,59,,R87181,Jul'24 Reactivate,,R83022,Jul'24 Y
R81053,0,0,7.59%,,R81027,0,0,0,,R81132,"1,500",,R81308,39,,R87038,Jul'24 New,,R83086,Jul'24 Y
R81055,"22,299","259,596",8.59%,,R81028,10,0,"50,134",,R81133,"1,618",,R81318,63,,R87302,Jul'24 New,,R83127,Jul'24 Y
R81057,"20,742","296,741",6.99%,,R81029,0,0,"33,641",,R81135,222,,R81333,57,,R87376,Jul'24 New,,R83279,Jul'24 Y
R81058,"15,536","199,440",7.79%,,R81031,0,0,"20,502",,R81159,446,,R81375,49,,R87556,Jul'24 New,,R83388,Jul'24 Y
R81061,0,0,6.99%,,R81032,0,0,0,,R81161,"3,674",,R81379,53,,R87372,Jul'24 New,,R83369,Jul'24 Y
R81063,"28,202","403,465",6.99%,,R81033,0,0,"54,491",,R81166,"5,439",,R81501,358,,R87396,Jul'24 New,,R83662,Jul'24 Y
R81065,"41,847","598,664",6.99%,,R81035,0,0,"17,562",,R81167,"3,867",,R81585,242,,R87501,Jul'24 New,,R83693,Jul'24 Y
R81067,0,0,6.99%,,R81036,0,0,0,,R81171,"2,102",,R81592,3,,R87515,Jul'24 New,,R83688,Jul'24 Y
R81068,"34,560","432,538",7.99%,,R81037,0,0,"29,955",,R81177,"1,931",,R81625,31,,R87516,Jul'24 New,,R83853,Jul'24 Y
R81072,"14,541","173,317",8.39%,,R81038,0,0,0,,R81178,881,,R81626,60,,R87532,Jul'24 New,,R83936,Jul'24 Y
R81073,"11,108","138,850",8.00%,,R81039,0,0,0,,R81183,"1,770",,R81639,68,,R87557,Jul'24 New,,R83918,Jul'24 Y
R81075,"9,592","137,218",6.99%,,R81051,0,0,0,,R81188,935,,R81673,158,,R87286,Jul'24 New,,R83935,Jul'24 Y
R81076,"29,251","370,735",7.89%,,R81052,0,0,"34,998",,R81195,124,,R81679,22,,R87375,Jul'24 New,,R85087,Jul'24 Y
R81081,"19,751","282,563",6.99%,,R81053,54,0,648,,R81202,784,,R81683,32,,R87381,Jul'24 New,,R85069,Jul'24 Y
R81082,0,0,7.89%,,R81055,0,0,"22,299",,R81203,"8,320",,R81687,232,,R87386,Jul'24 New,,R85016,Jul'24 Y
R81086,0,0,7.59%,,R81056,0,0,0,,R81207,"1,529",,R81715,124,,R87398,Jul'24 New,,R85316,Jul'24 Y
R81087,"2,808","36,991",7.59%,,R81057,0,0,"20,742",,R81211,686,,R81716,30,,R87519,Jul'24 New,,R85378,Jul'24 Y
R81088,"28,375","359,633",7.89%,,R81058,10,0,"15,656",,R81219,"2,889",,R81726,93,,R87527,Jul'24 New,,R85766,Jul'24 Y
R81091,"11,568","165,498",6.99%,,R81059,0,0,0,,R81225,"3,164",,R81798,88,,R87552,Jul'24 New,,R85815,Jul'24 Y
R81095,"45,604","556,828",8.19%,,R81061,0,0,0,,R81226,602,,R81805,204,,R87369,Jul'24 New,,R85899,Jul'24 Y
R81096,"30,655","356,869",8.59%,,R81062,0,0,0,,R81228,"1,559",,R81811,42,,R87393,Jul'24 New,,R85963,Jul'24 Y
R81098,"10,067","144,019",6.99%,,R81063,0,0,"28,202",,R81232,"1,378",,R81815,80,,R87382,Jul'24 New,,R85998,Jul'24 Y
R81099,0,0,6.99%,,R81065,0,0,"41,847",,R81238,497,,R81835,84,,R87523,Jul'24 New,,R86003,Jul'24 Y
R81101,"10,819","142,543",7.59%,,R81066,0,0,0,,R81251,383,,R81861,36,,R87318,Jul'24 New,,R86176,Jul'24 Y
R81103,"16,517","206,466",8.00%,,R81067,0,0,0,,R81255,902,,R81863,53,,R87368,Jul'24 New,,R85873,Jul'24 Y
R81107,"25,010","357,800",6.99%,,R81068,0,0,"34,560",,R81269,"2,839",,R81892,36,,R87378,Jul'24 New,,R86208,Jul'24 Y
R81109,"24,920","311,892",7.99%,,R81069,0,0,0,,R81278,"1,568",,R81912,25,,R87383,Jul'24 New,,R86322,Jul'24 Y
R81112,"27,232","389,591",6.99%,,R81071,0,0,0,,R81285,"5,112",,R81918,51,,R87389,Jul'24 New,,R86295,Jul'24 Y
R81116,"19,507","279,066",6.99%,,R81072,0,0,"14,541",,R81286,266,,R81951,170,,R87397,Jul'24 New,,R86397,Jul'24 Y
R81117,0,0,6.99%,,R81073,0,0,"11,108",,R81287,"2,537",,R81961,15,,R87505,Jul'24 New,,R86587,Jul'24 Y
R81118,0,0,6.99%,,R81075,0,0,"9,592",,R81297,672,,R81963,395,,R87511,Jul'24 New,,R86799,Jul'24 Y
R81119,0,0,6.99%,,R81076,10,0,"29,371",,R81308,465,,R81965,126,,R87513,Jul'24 New,,R86967,Jul'24 Y
R81121,"31,044","409,007",7.59%,,R81077,0,0,0,,R81315,"1,290",,R81969,4,,R87525,Jul'24 New,,R86986,Jul'24 Y
R81122,0,0,8.00%,,R81078,0,0,0,,R81318,683,,R82011,6,,R87537,Jul'24 New,,R87119,Jul'24 Y
R81125,0,0,6.99%,,R81081,0,0,"19,751",,R81323,"14,268",,R82015,85,,R87332,Jul'24 New,,R87116,Jul'24 Y
R81127,"30,206","378,052",7.99%,,R81082,0,0,0,,R81333,950,,R82022,53,,R87388,Jul'24 New,,R87115,Jul'24 Y
R81128,"9,202","131,648",6.99%,,R81083,0,0,0,,R81353,"6,052",,R82031,21,,R87399,Jul'24 New,,R87183,Jul'24 Y
R81132,"27,314","359,864",7.59%,,R81085,0,0,0,,R81357,815,,R82083,237,,R87508,Jul'24 New,,R87182,Jul'24 Y
R81133,"22,586","262,928",8.59%,,R81086,0,0,0,,R81358,"2,121",,R82201,71,,R86663,Jul'24 New,,R87205,Jul'24 Y
R81135,"4,624","57,804",8.00%,,R81087,200,0,"5,208",,R81371,"3,357",,R82335,434,,R87528,Jul'24 New,,R87208,Jul'24 Y
R81136,0,0,7.59%,,R81088,0,0,"28,375",,R81373,586,,R82336,99,,R87321,Jul'24 New,,R87236,Jul'24 Y
R81139,0,0,6.99%,,R81089,0,0,0,,R81379,826,,R82352,42,,R87367,Jul'24 New,,R87251,Jul'24 Y
R81151,"25,790","368,960",6.99%,,R81091,0,0,"11,568",,R81383,"2,798",,R82366,221,,R87371,Jul'24 New,,R87238,Jul'24 Y
R81152,0,0,6.99%,,R81092,0,0,0,,R81392,"2,009",,R82368,84,,R87391,Jul'24 New,,R87261,Jul'24 Y
R81155,"20,153","288,316",6.99%,,R81093,0,0,0,,R81393,"4,804",,R82372,87,,R87503,Jul'24 New,,R87128,Jul'24 Y
R81157,"8,127","116,260",6.99%,,R81095,0,0,"45,604",,R81395,"6,370",,R82377,112,,R87507,Jul'24 New,,R87316,Jul'24 Y
R81158,"11,350","162,369",6.99%,,R81096,10,0,"30,775",,R81396,"3,202",,R82385,57,,R87522,Jul'24 New,,R87325,Jul'24 Y
R81159,"6,280","89,842",6.99%,,R81097,0,0,0,,R81501,"2,837",,R82512,18,,R87535,Jul'24 New,,R87326,Jul'24 Y
R81161,"39,369","458,310",8.59%,,R81098,0,0,"10,067",,R81531,"1,808",,R82566,40,,R87551,Jul'24 New,,R86501,Jul'24 Y
R81162,"7,273","104,049",6.99%,,R81099,0,0,0,,R81535,"2,629",,R82586,159,,R87359,Jul'24 New,,R87289,Jul'24 Y
R81163,0,0,6.99%,,R81101,0,0,"10,819",,R81576,"4,371",,R82592,31,,R87365,Jul'24 New,,R87288,Jul'24 Y
R81166,"5,109","73,084",6.99%,,R81102,0,0,0,,R81586,"1,585",,R82619,72,,R87373,Jul'24 New,,R81311,Jul'24 In Month
R81167,"26,005","329,596",7.89%,,R81103,0,0,"16,517",,R81589,"3,825",,R82695,209,,R87377,Jul'24 New,,R81832,Jul'24 In Month
R81168,"6,501","93,003",6.99%,,R81105,0,0,0,,R81592,"2,362",,R82708,18,,R87379,Jul'24 New,,R82061,Jul'24 In Month
R81169,0,0,7.89%,,R81106,0,0,0,,R81596,"1,083",,R82716,149,,R87387,Jul'24 New,,R82567,Jul'24 In Month
R81171,"18,737","246,862",7.59%,,R81107,0,0,"25,010",,R81612,"1,199",,R82727,73,,R87518,Jul'24 New,,R82821,Jul'24 In Month
R81172,"14,852","212,479",6.99%,,R81108,0,0,0,,R81626,"1,005",,R82758,5,,R87521,Jul'24 New,,R82886,Jul'24 In Month
R81177,"13,781","172,478",7.99%,,R81109,0,0,"24,920",,R81636,"3,453",,R82782,167,,R87531,Jul'24 New,,R82891,Jul'24 In Month
R81178,"12,789","182,959",6.99%,,R81112,0,0,"27,232",,R81639,664,,R82882,38,,R87385,Jul'24 New,,R82902,Jul'24 In Month
R81181,"10,969","156,929",6.99%,,R81113,0,0,0,,R81651,"13,956",,R82885,19,,R87512,Jul'24 New,,R82916,Jul'24 In Month
R81182,"20,413","292,025",6.99%,,R81115,0,0,0,,R81665,"3,546",,R82889,42,,R87539,Jul'24 New,,R82926,Jul'24 In Month
R81183,"24,607","324,203",7.59%,,R81116,0,0,"19,507",,R81668,"7,160",,R82903,25,,R87529,Jul'24 New,,R82985,Jul'24 In Month
R81185,0,0,7.99%,,R81117,54,0,648,,R81683,533,,R82906,7,,R87566,Jul'24 New,,R83236,Jul'24 In Month
R81186,"7,365","105,363",6.99%,,R81118,0,0,0,,R81689,"1,441",,R82918,86,,R87571,Jul'24 New,,R83287,Jul'24 In Month
R81188,"9,970","124,629",8.00%,,R81119,0,0,0,,R81707,"6,549",,R82927,106,,R87569,Jul'24 New,,R83567,Jul'24 In Month
R81191,"12,030","172,101",6.99%,,R81121,0,0,"31,044",,R81708,"1,197",,R82977,33,,R87576,Jul'24 New,,R83831,Jul'24 In Month
R81193,"12,409","157,277",7.89%,,R81122,0,0,0,,R81715,"2,189",,R82997,55,,R87568,Jul'24 New,,R83932,Jul'24 In Month
R81195,"12,432","159,585",7.79%,,R81123,0,0,0,,R81716,523,,R83006,36,,R87573,Jul'24 New,,R83997,Jul'24 In Month
R81199,0,0,7.59%,,R81125,0,0,0,,R81722,"4,730",,R83027,8,,R87502,Jul'24 New,,R85006,Jul'24 In Month
R81201,0,0,8.00%,,R81126,0,0,0,,R81728,"3,838",,R83093,36,,R87538,Jul'24 New,,R85396,Jul'24 In Month
R81202,"10,812","154,682",6.99%,,R81127,0,0,"30,206",,R81733,"2,772",,R83116,92,,R87363,Jul'24 New,,R85586,Jul'24 In Month
R81203,"29,998","385,080",7.79%,,R81128,200,0,"11,602",,R81739,"2,389",,R83118,96,,R86831,Jul'24 New,,R85596,Jul'24 In Month
R81205,"40,333","517,752",7.79%,,R81129,0,0,0,,R81753,"4,412",,R83131,83,,R87878,Jul'24 New,,R85615,Jul'24 In Month
R81206,"24,135","345,275",6.99%,,R81131,0,0,0,,R81757,"1,028",,R83139,50,,R87567,Jul'24 New,,R85761,Jul'24 In Month
R81207,"17,095","216,671",7.89%,,R81132,0,0,"27,314",,R81768,"2,566",,R83183,80,,R88239,Aug'24 Reactivate,,R85792,Jul'24 In Month
R81208,"6,587","94,234",6.99%,,R81133,0,0,"22,586",,R81776,838,,R83193,88,,R88971,Aug'24 Reactivate,,R85861,Jul'24 In Month
R81211,"11,595","165,886",6.99%,,R81135,200,0,"7,024",,R81796,"3,752",,R83212,71,,R81091,Aug'24 Reactivate,,R85865,Jul'24 In Month
R81212,"29,610","390,120",7.59%,,R81136,0,0,0,,R81798,"1,102",,R83225,55,,R81291,Aug'24 Reactivate,,R85876,Jul'24 In Month
R81213,0,0,6.99%,,R81137,0,0,0,,R81803,"2,480",,R83227,67,,R81293,Aug'24 Reactivate,,R85885,Jul'24 In Month
R81219,"23,904","299,169",7.99%,,R81138,0,0,0,,R81805,"3,387",,R83256,141,,R81375,Aug'24 Reactivate,,R85997,Jul'24 In Month
R81222,0,0,7.99%,,R81139,0,0,0,,R81811,512,,R83262,141,,R81576,Aug'24 Reactivate,,R86023,Jul'24 In Month
R81223,"20,600","239,814",8.59%,,R81151,0,0,"25,790",,R81815,748,,R83268,99,,R81581,Aug'24 Reactivate,,R86117,Jul'24 In Month
R81225,"21,122","264,360",7.99%,,R81152,0,0,0,,R81819,27,,R83276,18,,R81662,Aug'24 Reactivate,,R86132,Jul'24 In Month
R81226,"17,685","253,006",6.99%,,R81153,0,0,0,,R81823,"11,505",,R83282,16,,R81922,Aug'24 Reactivate,,R86259,Jul'24 In Month
R81227,"17,096","216,682",7.89%,,R81155,0,0,"20,153",,R81825,"2,312",,R83312,174,,R81997,Aug'24 Reactivate,,R86262,Jul'24 In Month
R81228,"14,373","179,886",7.99%,,R81156,0,0,0,,R81837,"1,964",,R83319,34,,R82051,Aug'24 Reactivate,,R86735,Jul'24 In Month
R81229,"25,640","366,807",6.99%,,R81157,10,0,"8,247",,R81861,976,,R83333,43,,R82367,Aug'24 Reactivate,,R86752,Jul'24 In Month
R81232,"12,535","156,691",8.00%,,R81158,0,0,"11,350",,R81863,526,,R83353,27,,R82756,Aug'24 Reactivate,,R86972,Jul'24 In Month
R81233,"31,633","395,912",7.99%,,R81159,10,0,"6,400",,R81865,827,,R83357,2,,R82895,Aug'24 Reactivate,,R87058,Jul'24 In Month
R81235,"40,613","535,084",7.59%,,R81161,10,0,"39,489",,R81866,"1,807",,R83368,87,,R82885,Aug'24 Reactivate,,R87139,Jul'24 In Month
R81236,0,0,6.99%,,R81162,0,0,"7,273",,R81876,"2,964",,R83376,9,,R83013,Aug'24 Reactivate,,R88386,Jul'24 In Month
R81237,"12,247","175,203",6.99%,,R81163,0,0,0,,R81877,"18,492",,R83377,3,,R83127,Aug'24 Reactivate,,R88813,Jul'24 In Month
R81238,"6,769","96,832",6.99%,,R81165,0,0,0,,R81888,"7,839",,R83395,163,,R83389,Aug'24 Reactivate,,R87188,Jul'24 In Month
R81239,0,0,8.00%,,R81166,0,0,"5,109",,R81892,"1,679",,R83508,36,,R83392,Aug'24 Reactivate,,R87223,Jul'24 In Month
R81251,"11,979","171,376",6.99%,,R81167,10,0,"26,125",,R81899,"6,900",,R83509,32,,R83387,Aug'24 Reactivate,,R87295,Jul'24 In Month
R81252,"8,434","120,662",6.99%,,R81168,0,0,"6,501",,R81909,"1,469",,R83511,11,,R83693,Aug'24 Reactivate,,R87312,Jul'24 In Month
R81255,"13,900","198,853",6.99%,,R81169,0,0,0,,R81928,"3,648",,R83523,14,,R85167,Aug'24 Reactivate,,R87327,Jul'24 In Month
R81256,"18,164","239,316",7.59%,,R81171,0,0,"18,737",,R81935,"2,483",,R83532,53,,R85685,Aug'24 Reactivate,,R81502,Jul'24 In Month
R81257,"9,709","138,901",6.99%,,R81172,10,0,"14,972",,R81936,"2,053",,R83559,21,,R85766,Aug'24 Reactivate,,R85787,Jul'24 In Month
R81259,"14,935","213,664",6.99%,,R81175,0,0,0,,R81951,"2,808",,R83575,47,,R85899,Aug'24 Reactivate,,R86257,Jul'24 In Month
R81261,"21,350","281,287",7.59%,,R81176,0,0,0,,R81959,"1,597",,R83582,18,,R85908,Aug'24 Reactivate,,R86619,Jul'24 In Month
R81262,0,0,8.00%,,R81177,0,0,"13,781",,R81961,884,,R83586,65,,R85987,Aug'24 Reactivate,,R83021,Jul'24 In Month
R81263,"15,922","209,772",7.59%,,R81178,0,0,"12,789",,R81962,"14,227",,R83655,55,,R85989,Aug'24 Reactivate,,R87203,Jul'24 In Month
R81265,"12,901","165,613",7.79%,,R81181,0,0,"10,969",,R81963,"3,742",,R83656,94,,R86289,Aug'24 Reactivate,,R83358,Jul'24 In Month
R81266,"25,102","359,112",6.99%,,R81182,0,0,"20,413",,R81965,"1,935",,R83667,34,,R86525,Aug'24 Reactivate,,R82929,Jul'24 In Month
R81267,"7,661","109,600",6.99%,,R81183,0,0,"24,607",,R81969,39,,R83677,61,,R86818,Aug'24 Reactivate,,R83163,Jul'24 In Month
R81269,"38,314","479,522",7.99%,,R81185,0,0,0,,R81971,678,,R83689,89,,R86996,Aug'24 Reactivate,,R87209,Jul'24 In Month
R81271,0,0,8.00%,,R81186,0,0,"7,365",,R81978,"2,712",,R83706,36,,R87128,Aug'24 Reactivate,,R87301,Jul'24 In Month
R81272,"15,714","224,810",6.99%,,R81187,0,0,0,,R81999,429,,R83791,83,,R87572,Aug'24 New,,R87273,Jul'24 In Month
R81273,"1,008","14,425",6.99%,,R81188,0,0,"9,970",,R82009,792,,R83815,153,,R87517,Aug'24 New,,R87189,Jul'24 In Month
R81275,"6,064","86,751",6.99%,,R81189,0,0,0,,R82011,132,,R83873,125,,R87536,Aug'24 New,,R86225,Jul'24 In Month
