Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81001,"30,567","437,290",6.99%,,R81001,0,0,"30,567",0.00%,R81001,"1,996",,R81001,"1,028",,R88269,Jul'24 Reactivate,,R88256,Jul'24 Y
R81002,"8,170","116,884",6.99%,,R81002,0,0,"8,170",,R81007,"1,244",,R81008,100,,R81631,Jul'24 Reactivate,,R88971,Jul'24 Y
R81007,"14,477","180,960",8.00%,,R81003,0,0,0,,R81008,305,,R81013,612,,R81925,Jul'24 Reactivate,,R81139,Jul'24 Y
R81008,"7,527","99,175",7.59%,,R81005,0,0,0,,R81013,"1,606",,R81016,756,,R82092,Jul'24 Reactivate,,R81291,Jul'24 Y
R81009,"27,825","323,922",8.59%,,R81006,0,0,0,,R81016,"1,609",,R81075,96,,R82662,Jul'24 Reactivate,,R81293,Jul'24 Y
R81013,"23,455","335,548",6.99%,,R81007,0,0,"14,477",,R81018,"3,174",,R81132,458,,R82911,Jul'24 Reactivate,,R81381,Jul'24 Y
R81016,"8,974","112,177",8.00%,,R81008,200,0,"9,927",,R81019,"5,352",,R81133,"1,260",,R82919,Jul'24 Reactivate,,R81375,Jul'24 Y
R81018,"34,466","442,439",7.79%,,R81009,10,0,"27,945",,R81026,"2,940",,R81151,263,,R83326,Jul'24 Reactivate,,R81581,Jul'24 Y
R81019,"48,478","622,314",7.79%,,R81011,0,0,0,,R81028,"6,371",,R81159,284,,R83618,Jul'24 Reactivate,,R81662,Jul'24 Y
R81021,"11,809","168,944",6.99%,,R81012,0,0,0,,R81031,"3,694",,R81177,"1,032",,R85001,Jul'24 Reactivate,,R81732,Jul'24 Y
R81022,"32,927","471,053",6.99%,,R81013,0,0,"23,455",,R81033,"6,967",,R81178,592,,R85218,Jul'24 Reactivate,,R81839,Jul'24 Y
R81023,"5,013","62,742",7.99%,,R81015,0,0,0,,R81051,"3,329",,R81186,110,,R85596,Jul'24 Reactivate,,R81908,Jul'24 Y
R81026,"34,827","441,404",7.89%,,R81016,0,0,"8,974",,R81058,"1,535",,R81188,780,,R85835,Jul'24 Reactivate,,R81997,Jul'24 Y
R81028,"54,024","711,781",7.59%,,R81017,0,0,0,,R81068,"4,257",,R81195,223,,R85861,Jul'24 Reactivate,,R82523,Jul'24 Y
R81029,"36,233","518,359",6.99%,,R81018,0,0,"34,466",,R81072,"1,191",,R81201,89,,R86086,Jul'24 Reactivate,,R82601,Jul'24 Y
R81031,"24,254","307,401",7.89%,,R81019,0,0,"48,478",,R81073,"1,812",,R81202,274,,R86297,Jul'24 Reactivate,,R82682,Jul'24 Y
R81033,"54,753","660,472",8.29%,,R81021,0,0,"11,809",,R81075,276,,R81207,"1,011",,R86601,Jul'24 Reactivate,,R82761,Jul'24 Y
R81035,"19,589","245,175",7.99%,,R81022,0,0,"32,927",,R81088,"13,025",,R81211,206,,R86622,Jul'24 Reactivate,,R82895,Jul'24 Y
R81037,"29,967","428,714",6.99%,,R81023,0,0,"5,013",,R81095,"5,800",,R81232,844,,R86652,Jul'24 Reactivate,,R82875,Jul'24 Y
R81051,"15,194","195,040",7.79%,,R81025,0,0,0,,R81101,865,,R81238,345,,R87015,Jul'24 Reactivate,,R83013,Jul'24 Y
R81052,"38,057","443,041",8.59%,,R81026,0,0,"34,827",,R81121,"2,442",,R81251,95,,R87181,Jul'24 Reactivate,,R83022,Jul'24 Y
R81053,0,0,8.39%,,R81027,0,0,0,,R81122,"1,971",,R81255,233,,R87038,Jul'24 New,,R83086,Jul'24 Y
R81055,"25,583","297,818",8.59%,,R81028,10,0,"54,144",,R81132,"1,520",,R81271,115,,R87302,Jul'24 New,,R83127,Jul'24 Y
R81057,"21,723","310,767",6.99%,,R81029,0,0,"36,233",,R81133,"1,433",,R81308,120,,R87376,Jul'24 New,,R83279,Jul'24 Y
R81058,"15,118","194,069",7.79%,,R81031,0,0,"24,254",,R81135,776,,R81318,226,,R87556,Jul'24 New,,R83388,Jul'24 Y
R81061,0,0,6.99%,,R81032,0,0,0,,R81161,"3,333",,R81333,354,,R87372,Jul'24 New,,R83369,Jul'24 Y
