OPPORTUNITY_ID,ACCOUNT_NAME,RESTAURANT_UNIQUE_CODE,STATUS,ONBOARDED_DATE,GMV_LEVEL_VOICE_PLATFORM,TOTAL_GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,TOTAL_GMV_ONLINE_USD,TOTAL_GMV_VOICE_PLATFORM_USD,TOTAL_ORDER_COUNT_ONLINE,TOTAL_ORDER_COUNT_VOICE_PLATFORM,TOTAL_MIN_MONTHLY_SALES_USD,LEAD_CREATED_DATE,STAGE_NAME,CLOSE_DATE,LIVE_DATE,CLOSED_WON_DATE,LEAD_SOURCE,BILLING_STATE,PROMOTIONS,LATEST_ACTIVATION_DATE,CUISINE_TYPE
006Uo00000RjXZmIAN,Mr. Simi R87993,R87993,active,2024-12-20,"level_3 ($10,000 to $29,999)",21195,0,16956,0,787,15000,2022-11-01,Onboarded,2024-12-20,2024-12-20,2024-12-12,SEO_Chinese,NY,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Dec '24 - Apple Airpods SQL Promo,2024-12-19,chinese
006Uo000004O4HuIAK,Hunan King R86732,R86732,active,2024-01-11,"level_3 ($10,000 to $29,999)",17445,0,185495,0,7720,15000,2023-03-23,Onboarded,2024-01-09,2024-01-09,2023-12-21,DM,OH,30 days Free Trial - VO,2024-01-05,chinese
0068b00001TfoAZAAZ,Skillman Wok R87681,R87681,active,,"level_2 ($30,000 to $49,999)",36842,0,147369,0,6140,15000,2023-10-05,Closed Lost,2023-12-09,,,WeChat - Other,TX,30 days Free Trial - VO;High GMV - the 12th Month Free,2024-09-02,chinese
006Uo00000O6LajIAF,Rice To Go R87966,R87966,active,2024-12-10,"level_3 ($10,000 to $29,999)",20224,0,25618,0,378,15000,2024-10-17,Onboarded,2024-12-10,2024-12-10,2024-11-30,SEO_Chinese,AB,Printer Promotion;30 days Free Trial - VO;Nov’24 - $950 Credit CW,2024-12-09,chinese
006Uo000000wQTqIAM,Best of China R86513,R86513,active,2023-11-28,"level_2 ($30,000 to $49,999)",48754,0,581792,0,26497,10000,2023-11-12,Onboarded,2023-11-25,2023-11-25,2023-11-12,SMS,SC,Printer Promotion;30 days Free Trial - VO,2023-11-24,advanced
006Uo000003CmwnIAC,HUNAN EXPRESS R86661,R86661,active,2023-12-26,"level_low (< $10,000)",4849,0,54793,0,1821,5000,2023-02-13,Onboarded,2023-12-19,2023-12-19,2023-12-09,DM;Hiring Post;WeChat - Ads,UT,Printer Promotion;30 days Free Trial - VO,2023-12-18,chinese
006Uo000001dbwvIAA,Umami Express R86892,R86892,active,2024-02-13,"level_low (< $10,000)",2461,0,21579,0,838,0,2023-08-15,Onboarded,2024-02-11,2024-02-11,2024-01-25,Client Referral - Unknown;Douyin,DE,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free;$1500 Statement Credit,2024-02-09,japanese
006Uo00000LMKEjIAP,Golden Palace,R89059,active,,,0,0,0,0,0,,2022-11-01,Closed Lost,2024-09-19,,,DM,NJ,30 days Free Trial - VO;Sept'24 - $100 Giftcard,2025-01-20,chinese
0068b00001T2QHnAAN,NEW FOUR SEASON R86376,R86376,active,2023-12-01,"level_low (< $10,000)",8409,0,115477,0,5547,10000,2022-11-01,Onboarded,2023-11-30,2023-11-30,2023-10-29,DM;Organic - Direct,MD,Printer Promotion;30 days Free Trial - VO,2023-11-29,advanced
006Uo000009g3uVIAQ,Egg Roll Hut R87678,R87678,active,,"level_3 ($10,000 to $29,999)",16560,0,66241,0,2691,10000,2022-11-01,Closed Lost,2024-04-15,,,SMS,TX,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-08-31,chinese
