RID,Total Messages
R89001,678
R83287,533
R89012,528
R87993,507
R87983,435
,411
R81896,390
R87962,357
R89002,351
R87893,346
R85223,341
R87817,327
R87975,319
,311
R87988,292
R87593,250
R89007,243
R87655,237
R87953,234
R85207,218
R86938,217
R87576,217
R86501,209
R87629,207
R87997,206
R89021,205
R85379,204
R86275,195
R87956,193
R87968,193
R87722,192
R87977,189
R87998,189
R87951,184
R89006,184
R87982,184
R83208,181
R82056,174
R87075,173
R87978,164
R89003,163
R81892,162
R87971,162
R81103,157
R87996,157
R89017,145
R85681,144
R81523,142
R87715,137
R86628,135
R83517,134
R86865,133
R89025,132
R82365,131
R87916,131
R85203,131
R87829,130
R87059,127
R89013,124
R87826,122
R82776,122
R87955,120
R86071,119
R82716,116
R85531,116
R87705,112
R87617,111
R88213,111
R87932,110
R87602,110
R85123,108
R81915,108
R81592,107
R89011,106
R86095,105
R86382,104
R88379,104
R83808,103
R82591,103
R87979,99
R82367,99
R82993,96
R88772,95
R87976,94
R85782,94
R87919,93
R86992,92
R81202,92
R87306,91
R87317,91
R87835,91
R86677,87
,87
R89018,86
R88956,85
R87929,85
R87628,85
R85108,84
R87778,84
R87063,83
R87939,82
R87591,80
R85531,76
R86236,76
R87305,74
R83319,74
R87672,74
R83532,74
R87708,73
R87518,73
R87958,73
R89019,73
R83855,72
R83395,72
R81951,72
R87729,72
R87587,71
R87697,71
R82877,71
R87857,70
R88871,69
R87823,69
R85012,69
R87973,69
R87903,68
R83357,67
R83052,66
R81683,66
R85652,64
R87352,64
R87585,63
R89023,61
R87173,61
R87901,61
R83995,60
R87671,60
R89008,59
R88613,59
R85896,58
R87959,58
R87775,57
R87557,57
R87987,57
R81171,57
R86803,56
R87927,56
R86316,55
R87989,55
R81866,55
R86168,55
R88596,54
R87723,54
R87992,52
R89027,52
R81672,52
R86356,52
R81128,51
,51
R87017,50
R85221,50
R85797,50
R87896,50
R88956,50
R86766,49
R87685,49
R85588,49
R88931,49
R87521,47
R87822,47
R87966,47
R87763,46
R87535,46
R82512,46
R81976,45
R86195,45
R87112,44
R83772,44
R81938,44
R85868,43
R87361,43
R87631,43
R89015,43
R85676,42
R87995,42
R83677,41
R87965,41
R82918,41
R88961,41
R81997,41
R87991,41
R88725,41
R87981,41
R86008,40
R83551,40
R85791,40
R87132,40
R87336,39
R81107,39
R88661,39
R87128,38
R86829,38
R83602,38
R86697,38
R87921,38
R85892,38
R81636,38
R85725,37
R86579,37
R89026,37
R87197,36
R87985,36
R85705,36
,36
R86805,35
R87918,35
R83237,34
R87262,34
R86517,34
R89005,34
R86282,33
R83867,32
R87688,32
R86979,32
R82777,32
R87776,32
R87957,31
R82531,31
R86861,31
R86182,30
R82363,30
R83255,30
R89022,30
R87737,29
R88721,29
R86838,29
R81695,29
R83889,29
R88787,29
R89032,29
R88528,28
R87589,28
R86612,28
R82829,28
R88866,28
R82911,28
R87033,27
R82629,27
R82826,27
R86629,27
R87853,27
R87626,27
R87802,27
R82903,27
R87858,27
R89029,27
R87163,27
R86582,26
R87813,26
R87323,26
R85685,26
R83682,25
R87861,25
R87872,25
R82882,25
R82861,25
R87905,25
R86761,25
R85317,25
