lead_channel_split,first_mel_month,total_mel,total_mql,total_sql,total_onboarded
Channel / Partner,2023-09,1.5,0.5,0.5,0
Channel / Partner,2023-10,0.5,0.5,0.5,0
Channel / Partner,2023-11,1,0,0,0
Channel / Partner,2023-12,0.5,0.5,0.5,0
Chinese Website,2023-09,1,0,0,0
Chinese Website,2023-10,0.5,0.5,0.5,0
Chinese Website,2023-12,2,1,0,0
Client Referral - Unknown,2023-09,3.6666666666666665,1.6666666666666665,1.1666666666666665,1.1666666666666665
Client Referral - Unknown,2023-10,6,5.5,4.5,1
Client Referral - Unknown,2023-11,5.333333333333333,5.333333333333333,3,1
Client Referral - Unknown,2023-12,11.5,5.5,3,1.5
Client Referral -Marketing,2023-09,2,0,0,0
Client Referral -Marketing,2023-10,1,1,0,0
Client Referral -Marketing,2023-12,1.3333333333333333,0.3333333333333333,0,0
DM,2023-08,19,19,7,1
DM,2023-09,243.08333333333334,77.83333333333333,26.833333333333332,4.833333333333334
DM,2023-10,49.5,14.5,12,2
DM,2023-11,82.33333333333333,35.33333333333333,22,7.5
DM,2023-12,149.16666666666669,69.66666666666667,33.5,8.166666666666666
Display,2023-08,1,1,0,0
Display,2023-09,2,2,0,0
Display,2023-10,1,0,0,0
Display,2023-11,12,8,2,0
Display,2023-12,2,2,0,0
Douyin,2023-10,1.5,1.5,1.5,1
Douyin,2023-11,4,1,0,0
Douyin,2023-12,1,0,0,0
Email,2023-09,3,1,1,0
Email,2023-11,117.5,7.5,3,1
Email,2023-12,102.5,1,0,0
Enterprise,2023-09,1,0,0,0
Enterprise,2023-12,3,0,0,0
Field Trip,2023-09,0,0,0,0
Field Trip,2023-10,2,2,2,1
Field Trip,2023-12,1,0,0,0
Google,2023-02,1,1,0,0
Google,2023-09,0.75,0.5,0.5,0
Google,2023-10,10.5,6.5,3.5,0
Google,2023-11,16.5,13,6,3
Google,2023-12,12.333333333333334,10.333333333333334,2,1
Hiring Post,2023-09,1,0,0,0
Hiring Post,2023-10,2,1,1,0
Hiring Post,2023-12,2.6666666666666665,1.6666666666666665,0.6666666666666666,0.3333333333333333
Influencer,2023-09,2,1,0,0
Influencer,2023-10,6,0,0,0
Influencer,2023-11,5,2,1,0
Influencer,2023-12,4,0,0,0
Organic - Direct,2023-10,6,3,1,0.5
Organic - Direct,2023-11,3.5,3.5,2.5,1
Organic - Direct,2023-12,4.5,4.5,3.5,2.5
Previous Clients,2023-09,1,1,1,0
Raw Data Upload,2023-09,0.5,0,0,0
Raw Data Upload,2023-11,1,0,0,0
Raw Data Upload,2023-12,1,0,0,0
Redbook,2023-09,0.5,0.5,0.5,0
Redbook,2023-10,4,3,1,0
Redbook,2023-11,7,3,2,0
Restaurant Journal,2023-12,0.5,0.5,0,0
SEO_Chinese,2023-09,4.25,4,3,0.5
SEO_Chinese,2023-10,6.5,6.5,4.5,2
SEO_Chinese,2023-11,6.5,6.5,4.5,3
SEO_Chinese,2023-12,3.833333333333333,2.833333333333333,0,0
SEO_English,2023-09,0.25,0,0,0
SEO_English,2023-11,1.5,1.5,1.5,0
SMS,2023-06,0.5,0.5,0,0
SMS,2023-08,1,1,0,0
SMS,2023-09,5.166666666666666,3.166666666666667,2.1666666666666665,1.1666666666666665
SMS,2023-10,37,30.5,16,6.5
SMS,2023-11,41,35,14.5,2.5
SMS,2023-12,23.66666666666666,18.166666666666668,11.166666666666668,1.8333333333333333
Telemarketer,2023-06,0.5,0.5,0,0
Telemarketer,2023-09,240.83333333333334,25.333333333333332,12.833333333333334,1.3333333333333333
Telemarketer,2023-10,39,5,4,1
Telemarketer,2023-11,43,10,4.5,1
Telemarketer,2023-12,338.16666666666663,24.666666666666664,9.833333333333332,1.8333333333333333
WeChat - Ads,2023-08,1,1,1,0
WeChat - Ads,2023-09,25.5,1.5,1.5,0
WeChat - Ads,2023-10,115.5,10.5,5.5,1
WeChat - Ads,2023-11,163,31.5,23.5,4
WeChat - Ads,2023-12,214.83333333333334,15.833333333333334,8.833333333333332,2.8333333333333335
WeChat - Blog,2023-09,1,0,0,0
WeChat - Blog,2023-10,20.5,2.5,1.5,1
WeChat - Blog,2023-11,12.833333333333334,2.8333333333333335,1.3333333333333333,0.3333333333333333
WeChat - Blog,2023-12,12,1,1,0
WeChat - Other,2023-09,1,0,0,0
WeChat - Other,2023-10,3,2,1,0
WeChat - Other,2023-11,6.333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
WeChat - Other,2023-12,8,4,2,0
WeChat - Video,2023-10,4,3,3,0
WeChat - Video,2023-11,2,1,1,0
Wonders Blog,2023-11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Youtube - Ads,2023-11,5.333333333333333,4.333333333333333,0,0
Youtube - Ads,2023-12,3.5,1.5,0,0
