lead_channel_split,first_mel_month,total_mel,total_mql,total_sql,total_cw
Channel / Partner,2025-03,0.5,0,,
Channel / Partner,2025-04,1,0,,
Channel / Partner,2025-06,1,0,,
Chinese Website,2025-01,0.5,0.5,0.5,0
Chinese Website,2025-04,1,0,,
Chinese Website,2025-06,1,0,,
Client Referral - AE,2025-05,0.5,0.5,0.5,0.5
Client Referral - CSM,2025-03,1,1,1,1
Client Referral - Employee,2025-05,2,0,,
Client Referral - Employee,2025-06,1,0,,
Client Referral - Marketing,2025-01,0.5,0.5,0.5,0
Client Referral - Marketing,2025-02,3.5,3.5,,
Client Referral - Marketing,2025-03,1,1,1,1
Client Referral - Marketing,2025-04,1.5,1.5,,
Client Referral - Marketing,2025-05,2.6666666666666665,2.6666666666666665,,
Client Referral - Marketing,2025-06,0.5,0.5,,
Client Referral - Partnerships,2025-01,1.5,0,,
Client Referral - Partnerships,2025-02,1.5,0,,
Client Referral - Unknown,2025-06,0.5833333333333333,0.5833333333333333,,
DM,2025-01,14,9.5,,
DM,2025-02,23.333333333333336,10.5,,
DM,2025-03,28.5,17.5,,
DM,2025-04,34,19.5,,
DM,2025-05,32.33333333333333,17.833333333333332,,
DM,2025-06,19.833333333333336,14.833333333333334,,
Display,2025-03,2,0,,
Display,2025-05,1,0,,
Douyin,2025-02,3,0,,
Douyin,2025-04,1,0,,
Douyin,2025-05,2,0,,
Email,2025-01,19,3.5,,
Email,2025-02,7,0.5,,
Email,2025-03,4,2,,
Email,2025-04,1.5,0.5,,
Email,2025-06,1,1,,
Event,2025-05,1,0,,
Facebook/Instagram,2025-04,1,0,,
Facebook/Instagram,2025-05,9,1,,
Facebook/Instagram,2025-06,29.5,19,,
Google,2025-01,31.833333333333332,14.833333333333334,,
Google,2025-02,33.33333333333333,18,,
Google,2025-03,29.5,15.5,,
Google,2025-04,27.5,14.5,,
Google,2025-05,23.5,9,,
Google,2025-06,17.583333333333332,3.0833333333333335,,
Hiring Post,2025-01,0.5,0,,
Hiring Post,2025-03,1,0.5,,
Hiring Post,2025-05,0.5,0,,
Hiring Post,2025-06,1,0.5,,
Influencer,2025-04,2,0,,
Influencer,2025-05,5,0,,
Influencer,2025-06,2,0,,
Organic - Direct,2025-05,1,0,,
Raw Data Upload,2025-01,3,0.5,,
Raw Data Upload,2025-02,1.5,0.5,,
Raw Data Upload,2025-03,0.5,0,,
Raw Data Upload,2025-04,1,0.5,,
Raw Data Upload,2025-05,1,0.5,,
Raw Data Upload,2025-06,0.5,0,,
Redbook,2025-01,27,2,,
Redbook,2025-02,16,5,,
Redbook,2025-03,20,5,,
Redbook,2025-04,18,7,,
Redbook,2025-05,25.5,7.5,,
Redbook,2025-06,10,1,,
SEO_Chinese,2025-01,16,4,,
SEO_Chinese,2025-02,9.5,0,,
SEO_Chinese,2025-03,25.5,3,,
SEO_Chinese,2025-04,26.5,6.5,,
SEO_Chinese,2025-05,21.5,1,,
SEO_Chinese,2025-06,16,2,,
SEO_English,2025-01,17.333333333333332,8.333333333333334,,
SEO_English,2025-02,21.833333333333332,5,,
SEO_English,2025-03,27.5,7,,
SEO_English,2025-04,33.5,7.5,,
SEO_English,2025-05,27.5,8,,
SEO_English,2025-06,11.5,2.5,,
SMS,2025-01,33.5,17.5,,
SMS,2025-02,21,14,,
SMS,2025-03,30,19,,
SMS,2025-04,42,14,,
SMS,2025-05,27.666666666666664,16.666666666666668,,
SMS,2025-06,14.75,8.75,,
Telemarketer,2025-01,12.833333333333332,2.833333333333333,,
Telemarketer,2025-02,2.5,0,,
Telemarketer,2025-03,0.5,0,,
Telemarketer,2025-04,3,2,,
Telemarketer,2025-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Telemarketer,2025-06,2.5,1.5,,
WeChat - Ads,2025-01,98,10.5,,
WeChat - Ads,2025-02,95,6,,
WeChat - Ads,2025-03,140.5,3.5,,
WeChat - Ads,2025-04,110,2,,
WeChat - Ads,2025-05,246.5,7,,
WeChat - Ads,2025-06,47,7,,
WeChat - Blog,2025-01,687,1,,
WeChat - Blog,2025-02,9.5,2.5,,
WeChat - Blog,2025-03,9,3,,
WeChat - Blog,2025-04,8,1,,
WeChat - Blog,2025-05,9,0,,
WeChat - Blog,2025-06,1.5,0.5,,
WeChat - Other,2025-01,153.5,29.5,,
WeChat - Other,2025-02,5.5,3.5,,
WeChat - Other,2025-03,3,2,,
WeChat - Other,2025-04,5.5,2.5,,
WeChat - Other,2025-05,1,0,,
WeChat - Other,2025-06,2.25,1.25,,
WeChat - Video,2025-01,1,0,,
WeChat - Video,2025-06,1,0,,
Youtube - Ads,2025-05,2.5,0,,
Youtube - Ads,2025-06,4,1,,
Youtube - Channel,2025-02,1,0,,
