,Page location,Date,Sessions,Category,Airfryer_Type,ID,visit_again
3,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01007,2023/11/06,2,DM1_trifold,airfryer,01007,False
4,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01011,2023/11/27,1,DM1_trifold,airfryer,01011,False
5,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01336,2023/11/17,1,DM1_trifold,airfryer,01336,False
6,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=03007,2023/11/09,1,DM1_trifold,airfryer,03007,False
7,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=05854,2023/11/15,1,DM1_trifold,airfryer,05854,False
8,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=12345,2023/11/03,1,DM1_trifold,airfryer,12345,False
9,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=17553,2023/11/10,1,DM1_trifold,airfryer,17553,False
10,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19187,2023/11/15,1,DM1_trifold,airfryer,19187,False
11,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19320,2023/11/19,1,DM1_trifold,airfryer,19320,False
13,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20318,2023/11/23,1,DM1_envelope,airfryer2,20318,False
14,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20363,2023/11/16,1,DM1_envelope,airfryer2,20363,False
15,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21136,2023/11/20,1,DM1_envelope,airfryer2,21136,False
16,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21315,2023/11/14,1,DM1_envelope,airfryer2,21315,False
17,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21512,2023/11/16,2,DM1_envelope,airfryer2,21512,False
18,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22160,2023/11/15,1,DM1_envelope,airfryer2,22160,False
19,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22627,2023/11/28,1,DM1_envelope,airfryer2,22627,False
20,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23164,2023/11/15,1,DM1_envelope,airfryer2,23164,False
21,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23888,2023/11/13,1,DM1_envelope,airfryer2,23888,False
22,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23904,2023/11/20,1,DM1_envelope,airfryer2,23904,False
23,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=24920,2023/11/13,1,DM1_envelope,airfryer2,24920,False
24,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25046,2023/11/14,1,DM1_envelope,airfryer2,25046,False
25,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25856,2023/11/11,1,DM1_envelope,airfryer2,25856,True
26,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25856,2023/11/12,1,DM1_envelope,airfryer2,25856,True
27,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=28773,2023/11/10,1,DM1_envelope,airfryer2,28773,False
28,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=29547,2023/11/15,1,DM1_envelope,airfryer2,29547,False
29,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,2023/11/11,1,DM1_envelope,airfryer2,30541,True
30,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,2023/11/14,1,DM1_envelope,airfryer2,30541,True
31,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30632,2023/11/17,1,DM1_envelope,airfryer2,30632,False
32,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30736,2023/11/10,1,DM1_envelope,airfryer2,30736,False
33,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=31039,2023/11/15,2,DM1_envelope,airfryer2,31039,True
34,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=31039,2023/11/16,1,DM1_envelope,airfryer2,31039,True
35,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33337,2023/11/13,1,DM1_envelope,airfryer2,33337,False
36,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33803,2023/11/16,1,DM1_envelope,airfryer2,33803,False
37,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=35180,2023/11/16,1,DM1_envelope,airfryer2,35180,False
38,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=36794,2023/11/03,1,DM1_envelope,airfryer2,36794,False
39,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=37250,2023/11/17,1,DM1_envelope,airfryer2,37250,False
40,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38185,2023/11/15,1,DM1_envelope,airfryer2,38185,False
41,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38483,2023/11/23,1,DM1_envelope,airfryer2,38483,False
42,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38885,2023/11/09,2,DM1_envelope,airfryer2,38885,False
43,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39798,2023/11/08,1,DM1_trifold,airfryer3,39798,False
44,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39884,2023/11/06,1,DM1_trifold,airfryer3,39884,False
45,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41391,2023/11/09,1,DM1_trifold,airfryer3,41391,False
46,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41685,2023/11/10,1,DM1_trifold,airfryer3,41685,False
47,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41762,2023/11/08,2,DM1_trifold,airfryer3,41762,False
48,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=42414,2023/11/08,1,DM1_trifold,airfryer3,42414,False
50,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43238,2023/11/08,1,DM1_envelope,airfryer4,43238,False
51,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43367,2023/11/10,1,DM1_envelope,airfryer4,43367,False
52,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43897,2023/11/09,1,DM1_envelope,airfryer4,43897,False
53,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43911,2023/11/15,1,DM1_envelope,airfryer4,43911,True
