,Unnamed: 0,Page location,Date,Category,Airfryer_Type,ID,visit_again,form_submission,Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
54,65,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55508,2023/11/17,DM1_trifold,airfryer5,55508,False,False,55508,Ginza,6417 E. County Line Rd,Tampa,33647,FL,US,5168829688.0,6467758828.0,,,,,,,
55,66,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55790,2023/11/16,DM1_trifold,airfryer5,55790,False,False,55790,Ming's Noodles,1038 Clinton Avenue South,Rochester,14620,NY,US,5852440985.0,5854696714.0,5853015398.0,5857477685.0,5852440920,5857489812.0,,,
56,67,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=57292,2023/11/16,DM1_trifold,airfryer5,57292,False,False,57292,Courtneys Rotisserie & Grill,2175 Ralph Avenue,Brooklyn,11234,NY,US,7189681000.0,3472254317.0,7189681888.0,9178368909.0,9176278117,,,,
57,68,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58066,2023/11/22,DM1_trifold,airfryer5,58066,False,False,58066,Wei Wei Asian Express,6465 University Ave,San Diego,92115,CA,US,6192878888.0,6198081709.0,6192652833.0,8583617811.0,6198868008,,,,
58,69,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58395,2023/11/16,DM1_trifold,airfryer5,58395,False,False,58395,Asian Star,2770 Brice Rd,Reynoldsburg,43068,OH,US,8178649088.0,2145574460.0,,,,,,,
59,70,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59553,2023/11/21,DM1_trifold,airfryer5,59553,False,False,59553,Kings Seafood,1619 S Hopkins St,New Iberia,70560,LA,US,3373768859.0,,,,,,,,
60,71,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59852,2023/11/29,DM1_trifold,airfryer5,59852,False,False,59852,Taqueria Los Maizales,1221 W Irving Park Rd,Bensenville,60106,IL,US,6306169131.0,2242794636.0,6304227184.0,,,,,,
61,72,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=61821,2023/11/13,DM1_trifold,airfryer5,61821,False,False,61821,Chen's,17855 80th Ave,Tinley Park,60477,IL,US,7086146688.0,7738178068.0,7089030212.0,7086140689.0,,,,,
62,73,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=62257,2023/11/15,DM1_trifold,airfryer5,62257,False,False,62257,Hungry Burrito,811 Seneca Ave,Ridgewood,11385,NY,US,7188858080.0,7182075413.0,,,,,,,
63,74,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=63698,2023/11/17,DM1_trifold,airfryer5,63698,False,False,63698,Linden Kitchen,424 B Roselle St,Linden,7036,NJ,US,9089258888.0,9084943131.0,9089258880.0,6462832590.0,6466832590,,,,
64,78,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=64460,2023/11/27,DM1_trifold,airfryer5,64460,True,False,64460,Hidalgo Mexican Food,801 E Broadway Ave,Mesa,85204,AZ,US,9178326783.0,4077220272.0,9178326787.0,,,,,,
65,79,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=65658,2023/11/24,DM1_trifold,airfryer5,65658,False,False,65658,China Town,1725 Airport Fwy,Bedford,76021,TX,US,9108633535.0,9179309947.0,,,,,,,
66,80,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66027,2023/11/18,DM1_trifold,airfryer5,66027,False,False,66027,Fu Soun,494 Central St. #2,Springfield,1105,MA,US,4137324023.0,9172506855.0,4137329888.0,9172668888.0,3476811611,4137326888.0,4132975343.0,,
67,81,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66499,2023/11/23,DM1_trifold,airfryer5,66499,False,False,66499,Happy Garden,124 N 1st S,Shelton,98584,WA,US,4103815280.0,6462562211.0,,,,,,,
68,82,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68277,2023/11/17,DM1_trifold,airfryer5,68277,False,False,68277,Antonio's Pizzeria & Restaurant,32 Grace Church St,Port Chester,10573,NY,US,9149395137.0,9144970016.0,9144471472.0,,,,,,
69,86,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68790,2023/11/22,DM1_trifold,airfryer5,68790,True,False,68790,Pie Guys,514 Frost Rd,Waterbury,6705,CT,US,2037218020.0,2039076454.0,2038081424.0,8605700095.0,2035275897,4752352610.0,8609131693.0,8603229722.0,
70,87,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69149,2023/11/22,DM1_trifold,airfryer5,69149,False,False,69149,Grill House Cafe,9494 Black Mountain Rd,San Diego,92126,CA,US,8582715599.0,8587179495.0,,,,,,,
71,89,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69637,2023/11/22,DM1_trifold,airfryer5,69637,True,False,69637,Rajaji Curry House,2603 Connecticut Ave NW,Washington,20008,DC,US,2022657344.0,7032399062.0,2022976498.0,2023164293.0,2022622910,,,,
72,90,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=70984,2023/11/28,DM1_trifold,airfryer5,70984,False,False,70984,Sushi & Noodles,274 Troutman St.,Brooklyn,11237,NY,US,7183662825.0,6469222279.0,6469222095.0,9178911637.0,6469222088,,,,
73,91,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=71746,2023/11/17,DM1_trifold,airfryer5,71746,False,False,71746,George's Restaurant,753 Coney Island Ave,Brooklyn,11218,NY,US,7182820152.0,9176529988.0,7184844971.0,,,,,,
74,92,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74256,2023/11/15,DM1_trifold,airfryer5,74256,False,False,74256,Punjabi Dhaba,520 Lockwood Dr,Richardson,75080,TX,US,2028639299.0,7036082420.0,,,,,,,
75,93,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74566,2023/11/16,DM1_trifold,airfryer5,74566,False,False,74566,Fast Chinese Restaurant,345 Meigs St,Rochester,14607,NY,US,5854614920.0,9179456667.0,5859674678.0,,,,,,
76,94,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74614,2023/11/16,DM1_trifold,airfryer5,74614,False,False,74614,Empire House,1789 Stillwell Ave,Brooklyn,11223,NY,US,7182343040.0,9177487756.0,6462069486.0,9173786616.0,9173269699,7182345376.0,,,
77,95,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=75749,2023/11/15,DM1_trifold,airfryer5,75749,False,False,75749,Jamaica Sunset Eatings,7173 Covington Hwy Suite 1E,Lithonia,30058,GA,US,6785800855.0,,,,,,,,
78,96,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=76590,2023/11/22,DM1_trifold,airfryer5,76590,False,False,76590,Sabor Nicaragüense Restaurant,1927 S Western Ave suite 1,Los Angeles,90018,CA,US,3238705505.0,,,,,,,,
79,97,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77430,2023/11/15,DM1_trifold,airfryer5,77430,False,False,77430,Nile Restaurant and Market,7815 Georgia Ave NW,Washington,20012,DC,US,2028821130.0,,,,,,,,
80,98,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77933,2023/11/17,DM1_trifold,airfryer5,77933,False,False,77933,Roasted Peppers,65 Main St,Maynard,1754,MA,US,7813213660.0,6174805674.0,7813214163.0,9784245373.0,,,,,
81,99,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=78848,2023/11/16,DM1_trifold,airfryer5,78848,False,False,78848,China Town AK,836 E Loop Rd,Anchorage,99501,AK,US,9072728390.0,9072743322.0,,,,,,,
82,100,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=79670,2023/11/18,DM1_trifold,airfryer5,79670,False,False,79670,Yummy Kitchen Yummy Kitchen South Plainfield,1603 Park Ave #5558,South Plainfield,7080,NJ,US,9087558889.0,9172855026.0,9087558887.0,9172855076.0,,,,,
83,101,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80593,2023/11/27,DM1_trifold,airfryer5,80593,False,False,80593,Green Garden,6340 N Eldridge Pkwy,Houston,77041,TX,US,7193363264.0,7196888900.0,,,,,,,
84,102,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80871,2023/11/17,DM1_trifold,airfryer5,80871,False,False,80871,Yu's Asian Diner,1820 Coit Rd #115,Plano,75075,TX,US,9729855512.0,4696021824.0,3475362808.0,4693635208.0,4696844379,,,,
85,103,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=81013,2023/11/21,DM1_trifold,airfryer5,81013,False,False,81013,"Oyama Sushi(1521 N Main St, Walnut Creek)",1521 N Main St,Walnut Creek,94596,CA,US,9259393398.0,9258185269.0,9258900118.0,9258782388.0,,,,,
86,104,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=82956,2023/11/26,DM1_trifold,airfryer5,82956,False,False,82956,East Garden Restaurant,750 N Hill St F,Los Angeles,90012,CA,US,2139358300.0,,,,,,,,
87,105,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83186,2023/11/18,DM1_trifold,airfryer5,83186,False,False,83186,Shiquan,212 E Green St #102,Champaign,61820,IL,US,2176072635.0,,,,,,,,
88,106,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83276&gtm_debug=1700157376718,2023/11/16,DM1_trifold,airfryer5,83276,False,False,83276,Kabob Zone Afghan Restaurant,1403 Old Bridge Rd,Woodbridge,22192,VA,US,7034920200.0,5714259292.0,7037318729.0,5713980383.0,7036250454,5712150657.0,7034410750.0,5715897667.0,
89,107,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=84607,2023/11/25,DM1_trifold,airfryer5,84607,False,False,84607,Gyro Hut,11020 8th Ave NE,Seattle,98125,WA,US,3192322044.0,3192294450.0,3192301473.0,3192314017.0,3194153237,,,,
90,108,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=87534,2023/11/19,DM1_trifold,airfryer5,87534,False,False,87534,Pupusita Express,1114 N Cedar Lake Rd,Round Lake Beach,60073,IL,US,8475505325.0,8477223987.0,,,,,,,
91,109,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=88964,2023/11/24,DM1_trifold,airfryer5,88964,False,False,88964,Hong Kong City Seafood Restaurant,1425 Park St,Alameda,94501,CA,US,5105234568.0,5108153166.0,5102820186.0,5105025080.0,5107981769,5102829151.0,5109284048.0,,
