UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R82201,CHINA STAR,"2. $10,000 to $29,999","$19,576",FL,33417,Southeast,2021-10-15T21:11:03Z,active,Chinese,2019,33743,"20,201 - 50,000",1957.9,"501 - 5,000","$47,293","$1 - $60,000",C+
R81077,*HONG KONG*,"1. < $10,000",$0,NY,11106,Northeast,2019-11-07T00:18:26Z,canceled,unknown,2019,37690,"20,201 - 50,000",17023,"5,001 - 20,000","$81,729","$60,000 - $100,000",B+
R86729,*JIN JIN*,"3. $30,000 to $49,999","$46,406",SC,29306,Southeast,2023-12-21T21:12:02Z,active,chinese,2019,16656,"5,001 - 20,000",338,101 - 500,"$35,439","$1 - $60,000",B
R82827,*CHINA FUN*,"2. $10,000 to $29,999","$27,527",OH,45750,Midwest,2022-02-10T16:46:35Z,active,chinese,2019,26473,"20,201 - 50,000",91.9,1 - 100,"$53,713","$1 - $60,000",C+
R88988,HONG KONG BISTRO,"2. $10,000 to $29,999","$24,288",FL,32320,Southeast,2019-08-05T22:07:33Z,canceled,unknown,2019,3887,"1 - 5,000",37.6,1 - 100,"$60,528","$60,000 - $100,000",C-
R86902,*^SING ON PHO^*,"1. < $10,000",$0,CO,80501,West,2024-01-29T19:05:06Z,active,unknown,2024,42077,"20,201 - 50,000",1312.2,"501 - 5,000","$77,327","$60,000 - $100,000",B+
R85256,*CHINA KING*,"1. < $10,000","$8,157",NY,10462,Northeast,2023-03-04T05:35:59Z,canceled,chinese,2019,75714,"50,001+",19830.2,"5,001 - 20,000","$63,431","$60,000 - $100,000",B+
R86039,*CHINA WOK*,"1. < $10,000",$0,FL,33607,Southeast,2023-08-21T19:09:05Z,canceled,chinese,2019,24384,"20,201 - 50,000",1039.6,"501 - 5,000","$57,581","$1 - $60,000",A-
R85786,*NEW CHINA*,"2. $10,000 to $29,999","$15,754",CT,6226,Northeast,2023-07-07T14:18:10Z,active,chinese,2019,19431,"5,001 - 20,000",1032.9,"501 - 5,000",NA,NA,C-
R82857,^HIBACHI 88^,"2. $10,000 to $29,999","$15,612",IA,51360,Midwest,2022-02-18T19:21:17Z,active,Chinese,2019,8312,"5,001 - 20,000",28.8,1 - 100,"$74,375","$60,000 - $100,000",B+
R82056,NO. 1,"2. $10,000 to $29,999","$25,153",VA,23320,Southeast,2021-09-22T19:58:57Z,active,chinese,2019,57619,"50,001+",701.2,"501 - 5,000","$81,963","$60,000 - $100,000",B+
R86703,*SUPER NO1*,,$0,WI,53221,Midwest,2023-12-17T18:28:15Z,onboarding,chinese,NA,40109,"20,201 - 50,000",1695.5,"501 - 5,000","$57,143","$1 - $60,000",NA
R82673,RIYEN CHINESE,"2. $10,000 to $29,999","$14,986",TX,75150,Southwest,2021-12-20T20:21:52Z,active,chinese,2019,60671,"50,001+",1835.1,"501 - 5,000","$66,265","$60,000 - $100,000",B
R86165,*^MAN HING^*,"2. $10,000 to $29,999","$16,527",MD,21221,Northeast,2023-09-13T00:27:57Z,suspended,unknown,2019,42078,"20,201 - 50,000",1100.1,"501 - 5,000","$68,140","$60,000 - $100,000",B-
R83025,*PEKING COURT*,"2. $10,000 to $29,999","$14,444",NY,12590,Northeast,2022-04-16T21:00:25Z,active,chinese,2019,34910,"20,201 - 50,000",391.2,101 - 500,"$102,212","$100,001 - $150,000",A-
R81936,HAPPY WOK,"3. $30,000 to $49,999","$30,302",PA,18020,Northeast,2021-08-30T22:30:18Z,active,chinese,2019,20393,"20,201 - 50,000",569.4,"501 - 5,000","$118,048","$100,001 - $150,000",B+
R81056,*YUMMY KITCHEN*,"1. < $10,000",$0,NY,13612,Northeast,2019-09-30T22:37:55Z,canceled,unknown,2021,2386,"1 - 5,000",52,1 - 100,"$70,223","$60,000 - $100,000",B-
R83089,MANDARIN CHEF,"2. $10,000 to $29,999","$19,810",OK,73160,Southwest,2022-05-11T23:04:31Z,active,chinese,2019,59509,"50,001+",1022.7,"501 - 5,000","$72,490","$60,000 - $100,000",A-
R82716,^LI GARDEN^,"3. $30,000 to $49,999","$48,038",FL,33844,Southeast,2021-12-30T21:56:33Z,active,unknown,2019,36701,"20,201 - 50,000",141.6,101 - 500,"$58,242","$1 - $60,000",C+
R86282,BEST WOK,"2. $10,000 to $29,999","$18,371",LA,70056,Southeast,2023-10-12T18:56:23Z,active,chinese,2019,40639,"20,201 - 50,000",2312.8,"501 - 5,000","$62,092","$60,000 - $100,000",C-
R85725,*FOOD KING KITCHEN*,"4. $50,000 - $99,999 ","$76,748",NY,11706,Northeast,2023-06-21T22:58:26Z,active,unknown,NA,68401,"50,001+",1549.8,"501 - 5,000","$110,965","$100,001 - $150,000",B-
R85118,CHAN SAN,"2. $10,000 to $29,999","$14,742",NJ,8105,Northeast,2023-01-24T05:11:11Z,suspended,chinese,2019,27933,"20,201 - 50,000",4161.2,"501 - 5,000",NA,NA,D-
R83005,*CHINA WOK*,"1. < $10,000","$2,656",IL,60134,Midwest,2022-04-07T21:29:18Z,canceled,chinese,2019,29458,"20,201 - 50,000",741.1,"501 - 5,000","$143,697","$100,001 - $150,000",A
R81753,*PEKING HOUSE*,"4. $50,000 - $99,999 ","$62,676",NJ,7642,Northeast,2021-07-10T20:10:38Z,active,unknown,2019,10317,"5,001 - 20,000",1369.6,"501 - 5,000",NA,NA,A+
R82607,HAPPY HOUSE,"2. $10,000 to $29,999","$17,450",FL,33813,Southeast,2021-11-30T17:45:02Z,active,chinese,2019,38214,"20,201 - 50,000",957.4,"501 - 5,000","$93,306","$60,000 - $100,000",B
R83225,CHINA EAST,"1. < $10,000","$8,864",NY,11784,Northeast,2022-07-07T02:26:17Z,active,chinese,2019,25337,"20,201 - 50,000",1790,"501 - 5,000","$108,913","$100,001 - $150,000",A-
R83102,CHINA GARDEN,"3. $30,000 to $49,999","$35,577",FL,33782,Southeast,2022-05-23T18:34:22Z,active,chinese,2019,23443,"20,201 - 50,000",1682.7,"501 - 5,000","$66,824","$60,000 - $100,000",B
R86387,GRAND WOK,"1. < $10,000","$4,515",TX,77449,Southwest,2023-11-05T14:46:00Z,active,chinese,2023,128294,"50,001+",1658,"501 - 5,000","$82,300","$60,000 - $100,000",A-
R88703,MAIN MOON,"2. $10,000 to $29,999","$27,427",CT,6070,Northeast,2018-07-18T14:40:39Z,active,unknown,2019,15734,"5,001 - 20,000",277.2,101 - 500,NA,NA,A+
R86723,^ORIENTAL EXPRESS^,"3. $30,000 to $49,999","$49,589",NJ,8096,Northeast,2023-12-21T01:48:27Z,active,Chinese,2019,35190,"20,201 - 50,000",899.3,"501 - 5,000",NA,NA,B
R83972,LUCKY STAR,"2. $10,000 to $29,999","$25,072",NJ,7111,Northeast,2022-12-09T01:15:30Z,active,chinese,NA,54079,"50,001+",7161.7,"5,001 - 20,000",NA,NA,D
R88799,*NO.1 GREAT WALL*,"2. $10,000 to $29,999","$18,588",NY,11212,Northeast,2018-11-02T15:00:48Z,active,unknown,NA,75605,"50,001+",18970.3,"5,001 - 20,000","$35,840","$1 - $60,000",B+
R82966,RONG HUA,"2. $10,000 to $29,999","$21,391",WI,53403,Midwest,2022-03-25T21:16:49Z,active,Chinese,2019,26339,"20,201 - 50,000",1066.9,"501 - 5,000","$55,811","$1 - $60,000",B-
