Restaurants Unique Code,Restaurants GMV Level,Restaurants Phone number,Restaurants Status,Restaurants Address,Restaurants City,Restaurants Country,Restaurants Region,Restaurants State,Restaurants Zip Code,Restaurants Type of Cuisine,Restaurant churn risk scores Churn Risk Probablity,Restaurants Opearting Timezone,Restaurants Is Coupon Available,Restaurants Client Level,Restaurants Database Status,Restaurants Is Delivery Platform Service Enabled,Restaurants Is DE SMS Opted In,Restaurants Is GreenDot Enabled,Restaurants Is SMS Opted In,Restaurants Is SMS to Customer Enabled,Restaurants Is Wonders Pay Feature Enabled,Restaurants Promotions,Restaurants GMV Voice Platform Sales,Restaurants GMV Online Sales,Restaurants Number of Orders Voice Platform Sales,Restaurants Number of Orders Online Sales,Restaurants Number of Restaurants
R88253,"level_1 ($50,000 to $99,999)",2035624415,active,913 Dixwell Ave,Hamden,United States,Northeast,CT,06514,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,8516865,0,466453,0,1
R88969,"level_vip ( > $100,000)",8037368585,active,7120 Parklane Rd,Columbia,United States,Southeast,SC,29223,unknown,0,ET,FALSE,level_1,open,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,7079735,0,332323,0,1
R88252,"level_1 ($50,000 to $99,999)",8453529500,active,77 S Central Ave,Spring Valley,United States,Northeast,NY,10977,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,6874224,0,394440,0,1
R88132,"level_1 ($50,000 to $99,999)",2036242462,active,898 State Street,New Haven,United States,Northeast,CT,06511,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,5010385,18808,224281,662,1
R88321,"level_1 ($50,000 to $99,999)",8138499994,active,167 E Bloomingdale Ave,Brandon,United States,Southeast,FL,33511,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4759917,258,197414,17,1
R88533,"level_vip ( > $100,000)",2037538500,active,201 E Main St,Waterbury,United States,Northeast,CT,06702,unknown,0.02,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4693829,0,194347,0,1
R88238,"level_2 ($30,000 to $49,999)",7042268828,active,6640 Old Monroe Rd,Indian Trail,United States,Southeast,NC,28079,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,4577061,0,194572,0,1
R88355,"level_1 ($50,000 to $99,999)",6108761898,active,1701 Providence Ave,Chester,United States,Northeast,PA,19013,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4536767,0,234271,0,1
R88112,"level_2 ($30,000 to $49,999)",7328269050,active,79 Smith Street,Perth Amboy,United States,Northeast,NJ,08861,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4498002,0,220487,0,1
R88208,"level_2 ($30,000 to $49,999)",7188166999,active,823 Castleton Ave,Staten Island,United States,Northeast,NY,10310,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4361449,0,206651,0,1
R88235,"level_2 ($30,000 to $49,999)",2157432088,active,1220 E Erie Ave,Philadelphia,United States,Northeast,PA,19124,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4251481,280,189416,18,1
R88175,"level_2 ($30,000 to $49,999)",7189451888,active,8618 Rockaway Beach Blvd,Queens,United States,Northeast,NY,11693,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4227978,0,227382,0,1
R88685,"level_1 ($50,000 to $99,999)",7324428187,active,202 New Brunswick Avenue,Perth Amboy,United States,Northeast,NJ,08861,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,4209652,55576,229735,2203,1
R88535,"level_1 ($50,000 to $99,999)",9545229393,active,1122 W Broward Blvd,Ft. Lauderdale,United States,Southeast,FL,33312,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4149186,0,199706,0,1
R81393,"level_vip ( > $100,000)",2394956800,active,26831 S Tamiami Trail,Bonita Springs,United States,Southeast,FL,34134,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,4106801,0,151495,0,1
R88667,"level_1 ($50,000 to $99,999)",9122618388,active,2802 Altama Ave,Brunswick,United States,Southeast,GA,31520,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,3927869,0,196906,0,1
R88698,"level_1 ($50,000 to $99,999)",7183673366,active,2647 Jerome Ave,Bronx,United States,Northeast,NY,10468,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3865525,0,191047,0,1
R81307,"level_1 ($50,000 to $99,999)",3052348877,active,11302 Quail Roost Dr,Miami,United States,Southeast,FL,33157,unknown,0.01,ET,FALSE,level_1,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,3856459,0,143566,0,1
R88161,"level_2 ($30,000 to $49,999)",7188288053,active,3839 E Tremont Ave,Bronx,United States,Northeast,NY,10465,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3800792,0,183070,0,1
R88531,"level_2 ($30,000 to $49,999)",5185620997,active,334 Cornelia St,Plattsburgh,United States,Northeast,NY,12901,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3737719,0,143772,0,1
R88299,"level_2 ($30,000 to $49,999)",7324425774,active,430 State St,Perth Amboy,United States,Northeast,NJ,08861,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,3731730,61,209602,7,1
R88832,"level_1 ($50,000 to $99,999)",7328861188,active,508 New Friendship Road,Howell,United States,Northeast,NJ,07731,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3660078,0,113673,0,1
R88319,"level_2 ($30,000 to $49,999)",4103251000,active,5441 Belair Rd,Baltimore,United States,Northeast,MD,21206,unknown,0,ET,TRUE,level_1,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,3623554,0,168305,0,1
R88209,"level_2 ($30,000 to $49,999)",2167389000,active,21051 Euclid Ave,Euclid,United States,Midwest,OH,44117,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3580352,0,214440,0,1
R88705,"level_1 ($50,000 to $99,999)",6105321800,active,648 E. Chester Pike,Ridley Park,United States,Northeast,PA,19078,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3470275,0,137346,0,1
R88731,"level_1 ($50,000 to $99,999)",4108666689,active,6261 Kenwood Ave,Rosedale,United States,Northeast,MD,21237,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3462434,47996,151627,1767,1
R88337,"level_2 ($30,000 to $49,999)",9736780080,active,237 Park Ave NJ 07017,East Orange,United States,Northeast,NJ,07017,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3371998,0,183890,0,1
R88662,"level_2 ($30,000 to $49,999)",5709413222,active,827 Pittston Ave,Scranton,United States,Northeast,PA,18505,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3343474,342,134759,23,1
R81053,"level_1 ($50,000 to $99,999)",5708293888,active,360 North River Street,Wilkes-Barre,United States,Northeast,PA,18702,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3319454,0,117274,0,1
