Snowball_ID,Name,Last_Name,First_Name,Gender,Contact_Title,Category,phone_number,Address,Street,City,State,Zip_Code,Sales_Volume,Employment_Size,Small_Business_Indicator,Vendor_Ethnicity_Description,Franchise,Country
67985,Sun Wui Restaurant,,,,,Chinese,(709) 786-0888,"['6 Sawdust Road', 'Bay Roberts, NL A0A 1X0', 'Canada']",6 Sawdust Road,Bay Roberts,NL,A0A 1X0,,,,,,Canada
67986,Kylin Restaurant and Buffet,,,,,Chinese,(709) 596-5710,"['68-70 Harvey Street', 'Harbour Grace, NL A0A 2M0', 'Canada']",68-70 Harvey Street,Harbour Grace,NL,A0A 2M0,,,,,,Canada
67987,Wong's House Restaurant,,,,,Chinese,(709) 229-7628,"['Conception Bay', 'Holyrood, NL A0A 2R0', 'Canada']",Conception Bay,Holyrood,NL,A0A 2R0,,,,,,Canada
67988,Hoi Pun,TOM,YET YEE,M,OWNER,Chinese,(709) 227-2549,"['14 Prince William Drive', 'Placentia, NL A0B 2Y0', 'Canada']",14 Prince William Drive,Placentia,NL,A0B 2Y0,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
67989,Wongs Palace Restaurant,,,,,Chinese,(709) 279-3773,"['29 McGettigan Boulevard', 'Marystown, NL A0E 2M0', 'Canada']",29 McGettigan Boulevard,Marystown,NL,A0E 2M0,,,,,,Canada
67990,Dragon and Phoenix,,,,,Chinese,(709) 524-6688,"['386 J R Smallwood Boulevard', 'Gambo, NL A0G 1T0', 'Canada']",386 J R Smallwood Boulevard,Gambo,NL,A0G 1T0,,,,,,Canada
67991,Grenfell Restaurant,ENAULT,CHARLES,M,OWNER,Chinese,(709) 288-0264,"['9 Grenfell Drive', 'Wabush, NL A0R 1B0', 'Canada']",9 Grenfell Drive,Wabush,NL,A0R 1B0,$1-2.5 MILLION,20-49,N,French,,Canada
67992,Sequerra's Restaurant,BATINO,JOSELITO,M,OWNER,Chinese,(709) 753-8887,"['27 Elizabeth Avenue', """"St. John's, NL A1A 1W6"""", 'Canada']",27 Elizabeth Ave,St. John's,NL,A1A 1W6,"$500,000-1 MILLION",19-Oct,N,Italian,,Canada
67993,China House Restaurant,TAM,HANG KUEN,F,OWNER,Chinese,(709) 754-2892,"['141 Torbay Rd', """"St John's, NL A1A 2H1"""", 'Canada']",141 Torbay Rd,St. John's,NL,A1A 2H1,"LESS THAN $500,000",9-May,Y,"Khmer (Kampuchean, Cambodian)",,Canada
67994,Canton Restaurant,,,,,Chinese,(709) 738-1968,"['445 Newfoundland Drive', """"St John's, NL A1A 4C3"""", 'Canada']","445 Newfoundland Drive,",St Johns,NL,A1A 4C3,,,,,,Canada
