Snowball_ID,phone_number,Name,First_Name,Last_Name,Address,Zip_Code,City,State,Country
75157,781-646-8080,6174076296-Mr. ?- HomeTaste,,Mr. ?,1312 Massachusetts Avenue,2476,Arlington,MA,USA
75158,,6462441533 -Mr. ?-JP ??,,Mr. ?,560 Stewart Ave,11714,Bethpage,NY,USA
75159,,May Lee Chinese Restaurant,?,unknown,1256 7th Avenue,94122,San Francisco,CA,USA
75160,(864) 964-9903,WOK N ROLL,,WOK N ROLL,1615 E GREENVILLE ST,29621,ANDERSON,SC,USA
75161,(843) 761-8999,NO 1 KITCHEN,,NO 1 KITCHEN,608 US-52 BYP,29461,MONCKS CORNER,SC,USA
75162,(803) 496-9800,OCEAN DRAGON,,OCEAN DRAGON,8519 OLD STATE RD,29059,HOLLY HILL,SC,USA
75163,(352) 544-2743,KING'S WOK,,KING'S WOK,14239 POWELL RD,34609,SPRING HILL,FL,USA
75164,(864) 655-7716,LIN'S ASIAN CAFE,,LIN'S ASIAN CAFE,850 E SUBER RD SUITE 100,29650,GREER,SC,USA
75165,(843) 815-6790,PANDA CHINESE RESTAURANT,,PANDA CHINESE RESTAURANT,22 TOWNE DR,29910,BLUFFTON,SC,USA
75166,(864) 465-9800,CHINA 1 RESTAURANT,,CHINA 1 RESTAURANT,229 S MAIN ST,29835,MCCORMICK,SC,USA
75167,(843) 889-0028,CHINA FUN II,,CHINA FUN II,6336 SC-162,29449,HOLLYWOOD,SC,USA
75168,(864) 474-3368,CHINA KING,,CHINA KING,1413 SC-150,29372,PACOLET,SC,USA
75169,(843) 759-2868,CHINA KING,,CHINA KING,207 N KEMPER ST,29563,LAKE VIEW,SC,USA
75170,(352) 498-1900,China 1,,China 1,16714 SE Highway 19,32628,CROSS CITY,FL,USA
75171,(718) 723-4670,NEW LITTLE RABBIT,,Mr.?,22011 LINDEN BLVD,11411,CAMBRIA HEIGHTS,NY,USA
75172,(510) 357-8858,BEIJING BOWL,,BEIJING BOWL,14400 WASHINGTON AVE,94578,SAN LEANDRO,CA,USA
75173,(864) 603-3133,Red Bowl Asian Bistro,,Red Bowl Asian Bistro,64 BEACON DR,29615,GREENVILLE,SC,USA
75174,(860) 886-8360,CHINA GARDEN,,CHINA GARDEN,680 BOSWELL AVE,6360,NORWICH,CT,USA
75175,(228) 467-5698,Yun Long Buffet,,Yun Long Buffet,334 Highway 90,39576,Waveland,MS,USA
75176,(206) 521-8933,Fortune Garden,,Fortune Garden,424 Maynard Ave S,98104,Seattle,WA,USA
75177,(206) 625-1689,Shanghai Garden Restaurant Ii,,Shanghai Garden Restaurant Ii,524 6th Ave S,98104,Seattle,WA,USA
75178,(770) 476-1275,China Delight,,china delight,1160 Old Peachtree Road Northwest,30097,Duluth,GA,USA
75179,773-799-8868,bopNgrill,,bopNgrill,921 West Belmont Avenue,60657,Chicago,IL,USA
75180,(773) 823-7358,Alynia zushi & karaoke lounge,,Alynia zushi & karaoke lounge,3051 South Archer Avenue,60608,Chicago,IL,USA
75181,(570) 735-3839,Q China House,,Q China House,75 N MARKET ST,18634,NANTICOKE,PA,USA
75182,(610) 770-6020,Beijing Wok,,Beijing Wok,966 Hamilton St,18101,Allentown,PA,USA
75183,(912) 884-3388,Yummy House,,Yummy House,150 Buster Dr,31320,Midway,GA,USA
75184,(847) 593-1361,China Bowl,,China Bowl,124 Turner Ave,60007,Elk Grove Village,IL,USA
75185,(440) 816-9393,CHINA HOUSE,,CHINA HOUSE,420 W BAGLEY RD,44017,BEREA,OH,USA
75186,(812) 490-0553,Sakura,,Sakura,4833 State Route 261,47630,Newburgh,IN,USA
75187,(212) 335-0290,TASTE CHINESE,,TASTE CHINESE,178 CHURCH ST,10013,NEW YORK,NY,USA
75188,(256) 801-9388,New China Restaurant,,New China Restaurant,645 US Highway 72 W,35611,Athens,AL,USA
75189,(508) 717-0278,Sweet Ginger Asian Cuisine & Lounge,,Sweet Ginger Asian Cuisine & Lounge,181 HUTTLESTON AVE,2719,FAIRHAVEN,MA,USA
75190,(508) 625-2082,Ko Sushi and Grill,,Ko Sushi and Grill,25 HAYWARD ST,1748,HOPKINTON,MA,USA
75191,(208) 926-4800,China cafe,,China cafe,118 Main St,83539,Kooskia,ID,USA
75192,(207) 582-1396,Canton Village -Qmenu ??,,Amy,428 Water St,4345,Gardiner,ME,USA
75193,919-9579700,9199579700-Ms.?-??,,Ms.?,2121 T.W. Alexander Drive Suite #122,27560,Morrisville,NC,USA
75194,(352) 873-6388,WOK N ROLL II,,Ms.?,8602 SW STATE RD 200,34481,OCALA,FL,USA
75195,(516) 939-6618,West East Inc,,West East Inc,758 S Broadway,11801,Hicksville,NY,USA
75196,(910) 743-9906,CHINA CITY RESTAURANT,,CHINA CITY RESTAURANT,507 8TH ST,28555,MAYSVILLE,NC,USA
75197,(440) 437-6888,CHINA KITCHEN,,CHINA KITCHEN,22 E MAIN ST,44076,ORWELL,OH,USA
75198,(440) 647-7658,HAPPY VALLEY,,HAPPY VALLEY,111 EAST HERRICK AVENUE,44090,WELLINGTON,OH,USA
75199,,Zhou's Mongolian BBQ,,Mr.?,1122 East Grand Avenue,54474,Rothschild,WI,USA
75200,(207) 741-0204,CHINA XPRESS,,CHINA XPRESS,1122 BROADWAY,4106,SOUTH PORTLAND,ME,USA
75201,(309) 517-6183,China Cafe,,China Cafe,4605 16th St,61265,Moline,IL,USA
75202,(530) 623-3000,Red Dragon,,Red Dragon,625 Main St,96093,Weaverville,CA,USA
75203,(804) 435-6333,Great Fortune Chinese Restaurant,,Great Fortune Chinese Restaurant,443 N Main St,22482,Kilmarnock,VA,USA
75204,(573) 727-9535,BEIJING,,BEIJING,626 W PINE ST,63901,POPLAR BLUFF,MO,USA
75205,(804) 633-9355,China Inn Restaurant Inc,,Lisa,312 W Broaddus Ave,22427,Bowling Green,VA,USA
75206,(586) 949-9777,New China Gourmet-Client DO NOT CALL,,New China Gourmet,21960 23 Mile Rd,48042,Macomb,MI,USA
75207,(252) 799-4396,CHOP STICK BUFFET,,CHOP STICK BUFFET,308 WEST BLVD,27892,WILLIAMSTON,NC,USA
75208,(312) 842-3366,Gourmet Food,,Gourmet Food,210 W 23rd St,60616,Chicago,IL,USA
75209,(312) 791-1030,Original Triple Crown Restaurant,,Original Triple Crown Restaurant,211 W 22nd Pl Ste 1,60616,Chicago,IL,USA
75210,(312) 225-4081,Moon Palace Restaurant,,Moon Palace Restaurant,216 W Cermak Rd,60616,Chicago,IL,USA
75211,(312) 674-1368,Sunlight Cafe,,Sunlight Cafe,227 W Cermak Rd Ste 5,60616,Chicago,IL,USA
75212,(502) 451-2500,Chamling Kitchen & Bar,,Chamling Kitchen & Bar,2249 Hikes Ln,40218,Louisville,KY,USA
75213,(270) 776-9928,Asian Buffet Restaurant,,Asian Buffet Restaurant,412 N Main St,42134,Franklin,KY,USA
75214,(419) 683-4288,HOT WOK,,HOT WOK,402 E MAIN ST,44827,CRESTLINE,OH,USA
