Snowball Map,Mapping Correction,Name,Business Type,Amenities,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,URL,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Vitality Score,Reputation Score,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions
62133,55383,Yummy Dumpling LTD,Restaurant,Delivery; Contactless Delivery; Online Ordering; Takeout,4540 No 3 Rd,Richmond,BC,V6X 4E4,Canada,,,,,,,yummydumpling.ca,,,(604) 232-5220,0,ilove@yummydumpling.ca,50,89,Chinese,$,DoorDash; Google Analytics,
62132,54676,Shiok Singaporean Cuisine,Restaurant; Mobile Food,Delivery; Wheelchair Accessible; Parking; Online Ordering; Debit Cards; Dine-in; Takeout,1716 Kingsway,Vancouver,BC,V5N 2S3,Canada,,,,,,,shiok.ca,,,(604) 423-3838,0,hello@shiok.ca,40,88,Singaporean; Japanese,$,Skip the Dishes; Squarespace; Uber Eats,
62131,47912,The Red Asian Fusion Restaurant Hong Yun (HongYun),Restaurant,Groups; Wi-Fi; Online Ordering; Seating; Reservations; Delivery; Catering; Debit Cards; Dine-in; Takeout,5169 South St,Halifax,NS,B3J 1A2,Canada,,,,,,,redasianfusion.com,,,(902) 425-8276,0,,27,85,Cantonese; Chinese,$$,GlobalFood; Oracle GloriaFood; Uber Eats; WooCommerce,GlobalFood; Oracle GloriaFood
62130,51992,Ray's Chinese Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; Dine-in; Takeout,35 Harvard Rd,Guelph,ON,N1G 3A2,Canada,Dang,Xie,Principal,Owner,,,raysrestaurant.ca,,,(519) 823-5197,1,,40,80,Chinese,$,DoorDash; Skip the Dishes; Uber Eats,
62129,54548,Old Friends Kitchen,Restaurant,Wi-Fi; Online Ordering; Seating; Delivery; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,4386 Beresford St,Burnaby,BC,V5H 0E7,Canada,,,,,,,,,,(604) 428-5164,0,,17,98,Chinese,,Skip the Dishes; Uber Eats,
62128,49395,Happy Lam Restaurant,Restaurant,Debit Cards; Dine-in; Takeout,5469 Bank St,Ottawa,ON,K1X 1G9,Canada,,,,,,,happylam.ca,,,(613) 822-0245,0,,57,75,Chinese,$$,Google Analytics; Weebly,
62127,51085,Chiba Japanese Restaurant,Restaurant,Delivery; Online Ordering; Takeout,3555 Don Mills Rd,Toronto,ON,M2H 3N3,Canada,,,,,,,,,,(416) 492-8880,0,,6,,Japanese,$$,DoorDash,
62126,55658,Ebizo Japanese Restaurant Ltd,Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Seating; Bike Parking; Reservations; Debit Cards; Dine-in; Takeout,604 Broughton St,Victoria,BC,V8W 1C7,Canada,Tahn,Phuc,President,General,,,ebizosushi.ca,,,(250) 383-3234,1,,43,88,Japanese,$$,Wix Restaurants,Wix Restaurants
62125,53173,Mr. Lu Japanese Street Food & Restaurant,Restaurant,Groups; Reservations; Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,1800 4 St SW,Calgary,AB,T2S 2S4,Canada,,,,,,,mrluyyc.com,,,(403) 453-5598,0,,33,87,Japanese,$,DI develop; Skip the Dishes; Uber Eats,DI develop
62123,52353,Wabora,Restaurant,Groups; Wheelchair Accessible; TV; Seating; Bike Parking; Reservations; Catering; High Chairs; Debit Cards; Dine-in; Takeout,295 Wellington St N,Bracebridge,ON,P1L 1P3,Canada,Min Soo,Kim,Proprietor,Owner,,,wabora.ca,,,(705) 646-9500,1,waboramuskoka@gmail.com,54,89,Japanese,$$,,
