Exclusion Check,Snowball Map,ID,Name,Business Type,Chain,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions,Cloud Point of Sale System
,57416,0008ee0d78b18c92,Sun Sushi,Restaurant,,186 Duckworth St,St John's,NL,A1C 1G5,Canada,Changyun,Sun,President,General,,,,,(709) 726-8688,1,,Japanese,$$,Apple App Store; DoorDash; Skip the Dishes,,
,57417,036a82d463d47c58,Yin Ji Chang Fen,Restaurant,,8500 Alexandra Rd,Richmond,BC,V6X 3L4,Canada,,,,,,,,,(604) 370-8860,0,,Chinese,,Skip the Dishes; Uber Eats,,
,57418,074e7e53f224a558,Sushi Mura,Restaurant,,5508 Hollybridge Way,Richmond,BC,V7C 0C7,Canada,,,,,info@sushi-mura.com,,,,(604) 284-5595,0,info@sushi-mura.com,Japanese,,Google Analytics; Skip the Dishes; Uber Eats; WooCommerce,,
,57419,020ebb7a93b5f3e4,The Rose & Thistle Pub,Restaurant; Drinking Place,,9812 113 St,Fairview,AB,T0H 1L0,Canada,,,,,,,,,(780) 835-5100,0,,Mexican; Chinese,$$$,Wix Restaurants; YellowPages.ca,Wix Restaurants,
,57420,0b50fb7f4b8bc44a,Manzo,Restaurant,,8391 Alexandra Rd,Richmond,BC,V6X 1C3,Canada,,,,,,,,,(604) 276-2882,0,,Japanese,$$,DoorDash; Squarespace,,
,57421,01a4dce7717a54f8,Blnd Tger Dumplings,Restaurant,,251 E Georgia St,Vancouver,BC,V6A 1Z6,Canada,,,,,,,,,     ,0,,Chinese,,,,
,57422,06802dc8cd804f24,Peekaboo Japanese Bistro,Restaurant,,56 St,Delta,BC,V4L 2A6,Canada,,,,,,,,,(604) 943-7079,0,,Japanese,$$$,,,
,57423,068034e714b175f2,ORENO BBQ & HOT POT,Restaurant,,615 8th St E,Saskatoon,SK,S7H 0R1,Canada,,,,,,,,,(306) 952-3555,0,,Japanese,$,Square; Uber Eats; Weebly,Square,Square
,57424,000d027ba3f7281a,Sushi Bella,Restaurant,,152 Lonsdale Ave,North Vancouver,BC,V7M 2E8,Canada,,,,,sushibella_northvan@hotmail.com,,,,(604) 987-8633,0,sushibella_northvan@hotmail.com,Canadian; Japanese,$$,Codefusion; DoorDash; Facebook Pixel; Skip the Dishes; Uber Eats; Wix Restaurants,Codefusion; Wix Restaurants,
,57425,0325959806f11052,Wow Bao,Restaurant,,269 Kingston Rd E,Ajax,ON,L1Z 0K5,Canada,,,,,,,,,(905) 428-0708,0,,Chinese,$,Skip the Dishes; Uber Eats,,
,57426,00b72ebe15f1cd24,Fred's Bakery,Bakery; Restaurant,,2488 Acadie Rd,Cap-Pele,NB,E4N 1C9,Canada,Alfred,Leblanc,Director,General,,,,,(506) 577-4347,1,,Chinese,$,,,
