Date,Extension Channel,Channel Collected,Campaign Sent,Campaign_by_Month,Campaign_Tags,Extension Number,Phone,Lead Status,Rejected Reason,Unqualified Reason,SDR,Owner Name,Restaurant Name,Restaurant Number,Cuisine Type,"Pickup/
Delivery",State,前台情况,SF Link
2024-02-15,-,DM,Mkt_General_All_migration,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,Missouri,"老板名字：杨老板
联系方式：9132569963
回拨时间：ASAP
餐类型    ：美式中餐
电话订单：60-70单
前台情况：自己接
送餐情况：第三方 - doordash
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板想知道如果开通食客通怎么做，目前前台自己接 忙不过来",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006O0ZjMAK/view
2024-02-15,DM,NA,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kiera,,NA,,中泰餐,Pickup,MD,"老板名字：Ms Jessie
联系方式：(347) 272-8452
回拨时间：尽快 - MD州
餐类型：中餐+泰餐
电话订单：一天1000多
前台情况：有请接线员
送餐情况：客人来取+平台
客户来源：Inbound - DM
促销活动：Macbook & 免费试用
Notes (痛点等）：马里兰州，中餐+泰餐，客人来取+平台，目前前台有请人一天大概1000多的电话单；咨询操作流程，能不能不用的时候拔掉，解释了FT&PT，顾虑是她的餐单能不能接好，想了解具体的收费情况
SFDC链接：https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006OfY4MAK/view",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006OfY4MAK/view
2024-02-14,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,中餐馆,NA,Georgia,"老板名字：Lisa
联系方式：7203833026
回拨时间：ASAP
餐类型    ：中餐馆
电话订单：不确定
前台情况：自己接+儿子
送餐情况：第三方
客户来源：inbound
促销活动：DM - 免费试用，短信广告服务
Notes (痛点等）：晚上电话忙不过来 5点-8点，有试过忙不过来会拔电话线，问网络平台的单打进来怎么处理。收到DM 免费试用 想要尝试问需要些什么",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKHSQEA4/view
2024-02-13,DM,-,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kiera,,NA,,中餐外卖,Delivery,NY,"老板名字：林老板
联系方式：(929) 688-5735
回拨时间：尽快 - NY州
餐类型：中餐外卖
电话订单：-
前台情况：-
送餐情况：有请送餐
客户来源：Inbound - DM 
促销活动：Macbook/免费试用
Notes (痛点等）：NY州中餐外卖店，有请送餐员，这家店准备一两个月开门 想了解一下食客通服务，操作和收费的具体情况，
SFDC链接：https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006FwxtMAC/view",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006FwxtMAC/view
2024-02-13,DM,Client Referral,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,外卖中餐,NA,FL,"老板名字：郑老板
联系方式：6463067966
回拨时间：1个小时后
餐类型    ：外卖中餐 FL
电话订单：不确定
前台情况：有小孩帮忙 没有请人
送餐情况：第三方 - Beyond menu
客户来源：inbound
促销活动：朋友介绍
Notes (痛点等）：老板打进来问现在加入食客通有没有什么优惠 ，想了解PT细节。老板现在去接小孩 1小时后打给他，说是给他发个短信 如果提早有空他会直接回电",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006GTfJMAW/view
2024-02-13,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐buffet+外卖,Pickup,NA,"老板名字：李老板娘
联系方式：2294006982
回拨时间：ASAP
餐类型    ：美式中餐buffet+外卖
电话订单：一个月至少1w-2w
前台情况：请的前台不稳定
送餐情况：pickup，第三方 -  都没有
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板娘说电话单是能应付过来，但是请的前台不稳定 时常请假不来。想了解我们怎么操作和收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000001AH3vMAG/view
2024-02-13,DM,-,Mkt_DM_Snowflake_Airfryer,Febuary,nov-drop1tridfold,,,Unqualified,NA,Current Client,Kiera,,NA,,NA,NA,NA,打来投诉,NA
2024-02-13,WeChat - Ads,-DM,WeChat - Ads,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,FL,"老板名字：iris老板娘
联系方式：4077843178
回拨时间：ASAP
餐类型    ：美式中餐 FL
电话订单：30-40单
前台情况：有请人
送餐情况：-
客户来源：inbound
促销活动：DM
Notes (痛点等）：想对比一下食客通和请人那个更加划算，想知道怎么收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006GsqeMAC/view
2024-02-12,DM,-,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kiera,,NA,,中餐,Pickup,NY,"老板名字：Mr 陈
联系方式：(607) 968-1709
回拨时间：尽快 - NY州
餐类型：中餐
电话订单：没具体算过，估计30多单
前台情况：自己接，夫妻店
送餐情况：没送餐
客户来源：Inbound -DM
促销活动：-
Notes (痛点等）：NY上州中餐店，夫妻店，没做送餐，想咨询具体服务和收费情况
SFDC链接：https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006BVY5MAO/view",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000006BVY5MAO/view
2024-02-12,DM,-,DM,Febuary,NA,,,Rejected,No interest to talk to sales,NA,Kiera,,NA,,快餐店,NA,CA,快餐店，想咨询食客通都有什么服务，电话单非常少，主要都是网络订单了，感觉不是很合适,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000022FmLOEA0/view
2024-02-12,DM,-,DM,Febuary,NA,,,Unqualified,NA,Current Client,NA,,NA,,NA,NA,NA,NA,NA
2024-02-12,DM,-,DM,Febuary,NA,,,Unqualified,NA,Current Client,NA,,NA,,NA,NA,NA,NA,NA
2024-02-12,DM,-,DM,Febuary,NA,,,Unqualified,NA,Current Client,NA,,NA,,NA,NA,NA,NA,NA
2024-02-11,DM,-,DM,Febuary,NA,,,Unqualified,NA,Duplicate,NA,,NA,,NA,NA,NA,NA,NA
2024-02-11,DM,-,DM,Febuary,NA,,,Unqualified,NA,Duplicate,NA,,NA,,NA,NA,NA,NA,NA
2024-02-11,DM,-,DM,Febuary,NA,,,Unqualified,NA,Duplicate,NA,,NA,,NA,NA,NA,NA,NA
2024-02-11,DM,-,DM,Febuary,NA,,,Abandoned,NA,NA,NA,,NA,,NA,NA,NA,NA,NA
2024-02-10,DM,-,Mkt_DM_Snowflake_AirfryerV6,Febuary,nov-drop2,,,Unqualified,NA,Current Client,NA,,NA,,NA,NA,NA,NA,NA
2024-02-09,DM,DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kiera,,NA,,中餐外卖,NA,OK,"老板名字：Ms 王
联系方式：(405) 686-8113
回拨时间：尽快 - OK州
餐类型：中餐外卖
电话订单：-
前台情况：自己接，有时候有PT帮忙
送餐情况：-
客户来源：Inbound -DM
促销活动：苹果电脑+免费试用+短信
Notes (痛点等）：OK州中餐外卖，目前前台自己做，有时候有PT；咨询费率问题，收到了苹果电脑的DM，请经理回电介绍
SFDC链接：https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOfLEAW/view",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOfLEAW/view
2024-02-09,DM,-,Mkt_DM_Snowflake_AirfryerV6,Febuary,nov-drop2,,,Unqualified,NA,Current Client,Kiera,,NA,,NA,NA,NA,NA,NA
2024-02-09,DM,-,Mkt_DM_Snowflake_AirfryerV6,Febuary,nov-drop2,,,Unqualified,NA,Current Client,Kiera,,NA,,NA,NA,NA,NA,NA
2024-02-08,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,日餐,NA,michigan,"老板名字：宋老板
联系方式：8477529999
回拨时间：ASAP
餐类型    ：日餐 michigan
电话订单：不确定
前台情况：自己接
送餐情况：第三方 - doordash uberueat
客户来源：inbound
促销活动：DM
Notes (痛点等）：英文不太好 ，请不到人。想了解怎么开通食客通",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000020hwbREAQ/view
2024-02-08,DM,DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,Louisiana,"老板名字：陈姐
联系方式：9294101558
回拨时间：ASAP
餐类型    ：美式中餐
电话订单：50-70单
前台情况：有请人 但不太会英文
送餐情况：第三方- doordash ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板娘收到DM 想了解我们接电话和DE怎么收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005yak6MAA/view
2024-02-07,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,北卡,"老板名字：董老板
联系方式：9173799959
回拨时间：ASAP
餐类型    ：美式中餐  北卡
电话订单：50单昨天
前台情况：
送餐情况：第三方 - doordash ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：简单介绍了我们怎么操作，老板想了解怎么收费和报税的情况",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005tpocMAA/view
2024-02-07,DM,-,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kelvin,,NA,,NA,NA,NA,NA,NA
