Lead Create Month,Lead Channel,Group,Total Leads
Apr,Chinese Website,Unqualified Lead,1
Apr,Client Referral; Marketing Referral,Unqualified Lead,1
Apr,DM,Rejected Lead,6
Apr,DM,Unqualified Lead,3
Apr,DM; Raw Data Upload,Unqualified Lead,1
Apr,GetSKT.com Desktop,Rejected Lead,1
Apr,GetSKT.com Desktop,Unqualified Lead,9
Apr,GetSKT.com Desktop; Google,Rejected Lead,1
Apr,GetSKT.com Desktop; Google,Unqualified Lead,2
Apr,GetSKT.com Desktop; Raw Data Upload,Unqualified Lead,1
Apr,GetSKT.com Desktop; Wondersco.com,Unqualified Lead,1
Apr,Google,Rejected Lead,11
Apr,Google,Unqualified Lead,20
Apr,Hiring Post,Unqualified Lead,1
Apr,Newspaper,Unqualified Lead,2
Apr,Organic - Direct,Rejected Lead,1
Apr,Organic - Direct,Unqualified Lead,2
Apr,Organic - Direct; SMS,Unqualified Lead,1
Apr,SMS,Rejected Lead,25
Apr,SMS,Unqualified Lead,68
Apr,Telemarketer; Organic - Direct,Rejected Lead,1
Apr,WeChat - Ads,Rejected Lead,11
Apr,WeChat - Ads,Unqualified Lead,37
Apr,WeChat - Ads; SMS,Unqualified Lead,1
Apr,WeChat - Blog,Rejected Lead,1
Apr,WeChat - Blog,Unqualified Lead,4
Apr,Wondersco.com,Rejected Lead,3
Apr,Wondersco.com,Unqualified Lead,4
Apr,Youtube - Channel,Rejected Lead,1
Feb,,Unqualified Lead,2
Feb,Client Referral,Unqualified Lead,1
Feb,DM,Rejected Lead,7
Feb,DM,Unqualified Lead,7
Feb,DM; GetSKT.com Mobile,Unqualified Lead,1
Feb,DM; WeChat - Ads,Rejected Lead,1
Feb,Douyin,Rejected Lead,2
Feb,GetSKT.com Desktop,Rejected Lead,2
Feb,GetSKT.com Desktop,Unqualified Lead,2
Feb,GetSKT.com Desktop; GetSKT.com Mobile,Unqualified Lead,1
Feb,GetSKT.com Mobile,Unqualified Lead,2
Feb,Google,Rejected Lead,2
Feb,Google,Unqualified Lead,3
Feb,Influencer,Unqualified Lead,1
Feb,Organic - Direct,Rejected Lead,2
Feb,Organic - Direct,Unqualified Lead,1
Feb,Redbook,Unqualified Lead,1
Feb,SMS,Rejected Lead,3
Feb,SMS,Unqualified Lead,4
Feb,WeChat - Ads,Rejected Lead,18
Feb,WeChat - Ads,Unqualified Lead,47
Feb,WeChat - Blog,Rejected Lead,1
Feb,WeChat - Blog,Unqualified Lead,2
Feb,WeChat - Other,Rejected Lead,1
Feb,WeChat - Other,Unqualified Lead,51
Jan,Client Referral,Unqualified Lead,1
Jan,DM,Rejected Lead,8
Jan,DM,Unqualified Lead,16
Jan,DM; GetSKT.com Desktop,Unqualified Lead,1
Jan,DM; WeChat - Ads,Unqualified Lead,1
Jan,Douyin,Unqualified Lead,3
Jan,GetSKT.com Desktop,Rejected Lead,1
Jan,GetSKT.com Desktop; Google,Rejected Lead,1
Jan,GetSKT.com Desktop; SMS,Unqualified Lead,1
Jan,GetSKT.com Mobile,Rejected Lead,1
Jan,GetSKT.com Mobile,Unqualified Lead,1
Jan,Google,Rejected Lead,4
Jan,Google,Unqualified Lead,5
Jan,SMS,Rejected Lead,7
Jan,SMS,Unqualified Lead,2
Jan,WeChat - Ads,Rejected Lead,24
Jan,WeChat - Ads,Unqualified Lead,26
Jan,WeChat - Blog,Unqualified Lead,4
Jan,WeChat - Other,Rejected Lead,1
Jan,WeChat - Other,Unqualified Lead,1
Mar,DM,Rejected Lead,6
Mar,DM,Unqualified Lead,4
Mar,DM; GetSKT.com Desktop; SMS,Unqualified Lead,1
Mar,DM; Google,Unqualified Lead,1
Mar,DM; SMS,Unqualified Lead,1
Mar,DM; WeChat - Ads,Unqualified Lead,2
Mar,Douyin,Rejected Lead,1
Mar,Douyin,Unqualified Lead,2
Mar,Email,Unqualified Lead,1
Mar,GetSKT.com Desktop,Unqualified Lead,3
Mar,GetSKT.com Desktop; Google,Unqualified Lead,2
Mar,GetSKT.com Mobile,Rejected Lead,2
Mar,GetSKT.com Mobile,Unqualified Lead,7
Mar,GetSKT.com Mobile; Google,Unqualified Lead,1
Mar,Google,Rejected Lead,9
Mar,Google,Unqualified Lead,43
Mar,Marketing Referral,Unqualified Lead,2
Mar,Organic - Direct,Rejected Lead,1
Mar,Organic - Direct,Unqualified Lead,1
Mar,Radio,Unqualified Lead,1
Mar,SMS,Rejected Lead,19
Mar,SMS,Unqualified Lead,27
Mar,WeChat - Ads,Rejected Lead,21
Mar,WeChat - Ads,Unqualified Lead,44
Mar,WeChat - Blog,Rejected Lead,1
Mar,WeChat - Blog,Unqualified Lead,3
Mar,WeChat - Other,Rejected Lead,1
Mar,WeChat - Other,Unqualified Lead,3
Mar,Wondersco.com,Rejected Lead,2
Mar,Wondersco.com,Unqualified Lead,4
Mar,Youtube - Channel,Unqualified Lead,2
May,Chinese Website,Unqualified Lead,1
May,Client Referral,Unqualified Lead,1
May,DM,Rejected Lead,9
May,DM,Unqualified Lead,5
May,Email,Rejected Lead,1
May,Email,Unqualified Lead,2
May,GetSKT.com Desktop,Rejected Lead,8
May,GetSKT.com Desktop,Unqualified Lead,12
May,GetSKT.com Desktop; GetSKT.com Mobile,Rejected Lead,1
May,GetSKT.com Desktop; GetSKT.com Mobile,Unqualified Lead,1
May,Google,Rejected Lead,14
May,Google,Unqualified Lead,28
May,Influencer,Unqualified Lead,2
May,Marketing Referral; SMS,Rejected Lead,1
May,Organic - Direct,Unqualified Lead,2
May,SMS,Rejected Lead,17
May,SMS,Unqualified Lead,61
May,WeChat - Ads,Rejected Lead,29
May,WeChat - Ads,Unqualified Lead,72
May,WeChat - Blog,Rejected Lead,2
May,WeChat - Blog,Unqualified Lead,5
May,Wondersco.com,Unqualified Lead,5
